year,film,person,is_winner,raw_text,source_url
,"Dilip Kumar , Shah Rukh Khan",8,False,"Actor with most awards | Dilip Kumar , Shah Rukh Khan | 8",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan,34,False,Actor with most nominations | Amitabh Bachchan | 34,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Aamir Khan,9,False,Actor with most consecutive nominations | Aamir Khan (1989-97) | 9,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan,6,False,Actor with nominations in most decades | Amitabh Bachchan | 6,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan Shah Rukh Khan,3,False,"Actor with most nominations in a single year | Amitabh Bachchan (1979, 1983) Shah Rukh Khan (2005) | 3",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Salman Khan Ajay Devgn Akshay Kumar,10,False,Actor with most nominations without ever winning | Salman Khan Ajay Devgn Akshay Kumar | 10,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan,67,False,Oldest winner | Amitabh Bachchan | 67,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,80,,False,Oldest nominee | 80,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Rishi Kapoor,21,False,Youngest winner | Rishi Kapoor (1973) | 21,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Darsheel Safary,"10 years, 11 months",False,"Youngest nominee | Darsheel Safary (2008) | 10 years, 11 months",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Dilip Kumar , Shah Rukh Khan",,False,"8 | Dilip Kumar , Shah Rukh Khan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan,,False,5 | Amitabh Bachchan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Hrithik Roshan , Ranbir Kapoor",,False,"4 | Hrithik Roshan , Ranbir Kapoor",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Rajesh Khanna , Naseeruddin Shah , Aamir Khan , Ranveer Singh",,False,"3 | Rajesh Khanna , Naseeruddin Shah , Aamir Khan , Ranveer Singh",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Raj Kapoor , Dev Anand , Ashok Kumar , Sunil Dutt , Sanjeev Kumar , Anil Kapoor , Irrfan Khan",,False,"2 | Raj Kapoor , Dev Anand , Ashok Kumar , Sunil Dutt , Sanjeev Kumar , Anil Kapoor , Irrfan Khan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Amitabh Bachchan,,False,34 | Amitabh Bachchan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Shah Rukh Khan,,False,28 | Shah Rukh Khan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Dilip Kumar , Aamir Khan",,False,"19 | Dilip Kumar , Aamir Khan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Hrithik Roshan,,False,16 | Hrithik Roshan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Rajesh Khanna,,False,14 | Rajesh Khanna,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Sanjeev Kumar,,False,11 | Sanjeev Kumar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,"Salman Khan , Ajay Devgn Ranbir Kapoor",,False,"10 | Salman Khan , Ajay Devgn Ranbir Kapoor",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
,Indicates a posthumous winner,,False,† | Indicates a posthumous winner,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1954,,Dilip Kumar,True,1954 (1st) |  | Dilip Kumar ‡ | Shankar | Daag | [ 1 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1954,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1955,,Bharat Bhushan,True,1955 (2nd) |  | Bharat Bhushan ‡ | Chaitanya Mahaprabhu | Shri Chaitanya Mahaprabhu | [ 2 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1955,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1956,,Dilip Kumar,True,1956 (3rd) |  | Dilip Kumar ‡ | Kumar / Azaad / Abdul Rahim Khan | Azaad | [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1956,Mirza Ghalib,Mirza Ghalib,False,Bharat Bhushan | Mirza Ghalib | Mirza Ghalib,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1956,Amar / Raj,Munimji,False,Dev Anand | Amar / Raj | Munimji,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1957,Dilip Kumar,Devdas Mukherjee,True,1957 (4th) | Dilip Kumar ‡ | Devdas Mukherjee | Devdas | [ 4 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1957,Peasant,Jagte Raho,False,Raj Kapoor | Peasant | Jagte Raho,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1958,Dilip Kumar,Shankar,True,1958 (5th) | Dilip Kumar ‡ | Shankar | Naya Daur | [ 5 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1958,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1959,,Dev Anand,True,1959 (6th) |  | Dev Anand ‡ | Karan Mehra | Kala Pani | [ 6 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1959,Anand/Deven,Madhumati,False,Dilip Kumar | Anand/Deven | Madhumati,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1959,Ram Babu,Phir Subah Hogi,False,Raj Kapoor | Ram Babu | Phir Subah Hogi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1960,,Raj Kapoor,True,1960 (7th) |  | Raj Kapoor ‡ | Raj Kumar | Anari | [ 7 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1960,Sunil Kumar,Love Marriage,False,Dev Anand | Sunil Kumar | Love Marriage,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1960,Ratan Lal,Paigham,False,Dilip Kumar | Ratan Lal | Paigham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1961,,Dilip Kumar,True,1961 (8th) |  | Dilip Kumar ‡ | Rajkumar Dhivendra Pratap Bahadur Chandrabhan | Kohinoor | [ 8 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1961,Raghuvir,Kala Bazar,False,Dev Anand | Raghuvir | Kala Bazar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1961,Prince Salim,Mughal-e-Azam,False,Dilip Kumar | Prince Salim | Mughal-e-Azam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1961,Chhalia,Chhalia,False,Raj Kapoor | Chhalia | Chhalia,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1962,,Raj Kapoor,True,1962 (9th) |  | Raj Kapoor ‡ | Raju | Jis Desh Mein Ganga Behti Hai | [ 9 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1962,Capt. Anand/Major. Manohar Lal Verma,Hum Dono,False,Dev Anand | Capt. Anand/Major. Manohar Lal Verma | Hum Dono,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1962,Gungaram,Gunga Jumna,False,Dilip Kumar | Gungaram | Gunga Jumna,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1963,,Ashok Kumar,True,1963 (10th) |  | Ashok Kumar ‡ | Raj Kumar | Rakhi | [ 10 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1963,"Atulya ""Bhootnath"" Chakraborty",Sahib Bibi Aur Ghulam,False,"Guru Dutt | Atulya ""Bhootnath"" Chakraborty | Sahib Bibi Aur Ghulam",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1963,Pritam Khanna,Professor,False,Shammi Kapoor | Pritam Khanna | Professor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1964,,Sunil Dutt,True,1964 (11th) |  | Sunil Dutt ‡ | Thakur Jarnail Singh | Mujhe Jeene Do | [ 11 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1964,Barrister Ashok,Gumrah,False,Ashok Kumar | Barrister Ashok | Gumrah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1964,Dr. Dharmesh,Dil Ek Mandir,False,Rajendra Kumar | Dr. Dharmesh | Dil Ek Mandir,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1965,,Dilip Kumar,True,1965 (12th) |  | Dilip Kumar ‡ | Vijay Khanna | Leader | [ 12 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1965,Shyam,Ayee Milan Ki Bela,False,Rajendra Kumar | Shyam | Ayee Milan Ki Bela,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1965,Lieutenant Sundar Khanna,Sangam,False,Raj Kapoor | Lieutenant Sundar Khanna | Sangam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1966,,Sunil Dutt,True,1966 (13th) |  | Sunil Dutt ‡ | Govind S. Lal | Khandan | [ 13 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1966,Moti,Kaajal,False,Raaj Kumar | Moti | Kaajal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1966,Gopal Sarju,Arzoo,False,Rajendra Kumar | Gopal Sarju | Arzoo,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1967,,Dev Anand,True,1967 (14th) |  | Dev Anand ‡ | Raju | Guide | [ 14 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1967,"Shakti ""Shaaka"" Singh",Phool Aur Patthar,False,"Dharmendra | Shakti ""Shaaka"" Singh | Phool Aur Patthar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1967,Shankar / Rajasahab,Dil Diya Dard Liya,False,Dilip Kumar | Shankar / Rajasahab | Dil Diya Dard Liya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1968,,Dilip Kumar,True,1968 (15th) |  | Dilip Kumar ‡ | Ram Shyam | Ram Aur Shyam | [ 15 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1968,Bharat,Upkar,False,Manoj Kumar | Bharat | Upkar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1968,Gopikishan a.k.a. Gopi,Milan,False,Sunil Dutt | Gopikishan a.k.a. Gopi | Milan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1969,,Shammi Kapoor,True,1969 (16th) |  | Shammi Kapoor ‡ | Brahmachari | Brahmachari | [ 16 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1969,Rajesh Sahab,Aadmi,False,Dilip Kumar | Rajesh Sahab | Aadmi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1969,Sunghursh,,False,Kundan S. Prasad | Sunghursh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1970,,Ashok Kumar,True,1970 (17th) |  | Ashok Kumar ‡ | Shivnath Choudhary a.k.a. Jogi Thakur | Aashirwad | [ 17 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1970,Arun Prasad Saxena / Suraj Prasad Saxena,Aradhana,False,Rajesh Khanna | Arun Prasad Saxena / Suraj Prasad Saxena | Aradhana,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1970,Ittefaq,,False,Dilip Roy | Ittefaq,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1971,,Rajesh Khanna,True,1971 (18th) |  | Rajesh Khanna ‡ | Bhola / Ranjit Kumar | Sachaa Jhutha | [ 18 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1971,Gopiram a.k.a. Gopi,Gopi,False,Dilip Kumar | Gopiram a.k.a. Gopi | Gopi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1971,Vijay Kamal Singh,Khilona,False,Sanjeev Kumar | Vijay Kamal Singh | Khilona,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1972,Rajesh Khanna,Anand Saigal,True,1972 (19th) | Rajesh Khanna ‡ | Anand Saigal | Anand | [ 19 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1972,Ajit,Mera Gaon Mera Desh,False,Dharmendra | Ajit | Mera Gaon Mera Desh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1972,Kamal Sinha,Kati Patang,False,Rajesh Khanna | Kamal Sinha | Kati Patang,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1973,,Manoj Kumar,True,1973 (20th) |  | Manoj Kumar ‡ | Mohan | Be-Imaan | [ 20 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1973,Anand Babu,Amar Prem,False,Rajesh Khanna | Anand Babu | Amar Prem,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1973,Dushman,,False,Surjit Singh | Dushman,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1974,,Rishi Kapoor,True,1974 (21st) |  | Rishi Kapoor ‡ | Raj Nath | Bobby | [ 21 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1974,Inspector Vijay Khanna,Zanjeer,False,Amitabh Bachchan | Inspector Vijay Khanna | Zanjeer,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1974,Shankar,Yaadon Ki Baaraat,False,Dharmendra | Shankar | Yaadon Ki Baaraat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1974,Sunil Kohli,Daag:A Poem of Love,False,Rajesh Khanna | Sunil Kohli | Daag:A Poem of Love,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1974,Hari Charan Mathur,Koshish,False,Sanjeev Kumar | Hari Charan Mathur | Koshish,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1975,,Rajesh Khanna,True,1975 (22nd) |  | Rajesh Khanna ‡ | Amar | Avishkaar | [ 22 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1975,Ajit Singh,Resham Ki Dori,False,Dharmendra | Ajit Singh | Resham Ki Dori,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1975,Sagina,Sagina,False,Dilip Kumar | Sagina | Sagina,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1975,Bharat,Roti Kapda Aur Makaan,False,Manoj Kumar | Bharat | Roti Kapda Aur Makaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1975,Chhote Kunwar Karan U. Singh,Prem Nagar,False,Rajesh Khanna | Chhote Kunwar Karan U. Singh | Prem Nagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1976,,Sanjeev Kumar,True,1976 (23rd) |  | Sanjeev Kumar ‡ | J.K. | Aandhi | [ 23 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1976,Vijay Verma,Deewaar,False,Amitabh Bachchan | Vijay Verma | Deewaar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1976,Ram Rai,Sanyasi,False,Manoj Kumar | Ram Rai | Sanyasi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1976,Thakur Baldev Singh,Sholay,False,Sanjeev Kumar | Thakur Baldev Singh | Sholay,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1976,Madhusudan Roy Chaudhary,Amanush,False,Uttam Kumar | Madhusudan Roy Chaudhary | Amanush,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1977,Sanjeev Kumar,Arjun Pandit,True,1977 (24th) | Sanjeev Kumar ‡ | Arjun Pandit | Arjun Pandit | [ 24 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1977,Amitabh Malhotra,Kabhi Kabhie,False,Amitabh Bachchan | Amitabh Malhotra | Kabhi Kabhie,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1977,Arun Pradeep,Chhoti Si Baat,False,Amol Palekar | Arun Pradeep | Chhoti Si Baat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1977,Kailash / Bholenath,Bairaag,False,Dilip Kumar | Kailash / Bholenath | Bairaag,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1977,Dr. Amarnath Gill,Mausam,False,Sanjeev Kumar | Dr. Amarnath Gill | Mausam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1978,,Amitabh Bachchan,True,1978 (25th) |  | Amitabh Bachchan ‡ | Anthony Gonzalves | Amar Akbar Anthony | [ 25 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1978,Thakur Dharam Chand / Raju,Adaalat,False,Amitabh Bachchan | Thakur Dharam Chand / Raju | Adaalat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1978,Anand Narayan,Yehi Hai Zindagi,False,Sanjeev Kumar | Anand Narayan | Yehi Hai Zindagi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1978,Zindagi,,False,Raghu Shukla | Zindagi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1978,Vinod Joshi,Shaque,False,Vinod Khanna | Vinod Joshi | Shaque,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1979,Amitabh Bachchan,Don / Vijay,True,1979 (26th) | Amitabh Bachchan ‡ | Don / Vijay | Don | [ 26 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1979,Sikandar,Muqaddar Ka Sikandar,False,Amitabh Bachchan | Sikandar | Muqaddar Ka Sikandar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1979,Trishul,,False,Vijay Kumar | Trishul,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1979,Tony/Tarun Kumar Gupta,Devata,False,Sanjeev Kumar | Tony/Tarun Kumar Gupta | Devata,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1979,Pati Patni Aur Woh,,False,Ranjeet Chaddha | Pati Patni Aur Woh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1980,,Amol Palekar,True,1980 (27th) |  | Amol Palekar ‡ | Ram Prasad Sharma / Laxman Prasad Sharma | Golmaal | [ 27 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1980,Vijay Pal Singh,Kaala Patthar,False,Amitabh Bachchan | Vijay Pal Singh | Kaala Patthar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1980,Mr. Natwarlal,,False,Mr. Natwarlal | Mr. Natwarlal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1980,Raja / Sonu,Amar Deep,False,Rajesh Khanna | Raja / Sonu | Amar Deep,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1980,Raju,Sargam,False,Rishi Kapoor | Raju | Sargam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1981,,Naseeruddin Shah,True,1981 (28th) |  | Naseeruddin Shah ‡ | Bhaskar Kulkarni | Aakrosh | [ 28 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1981,Vijay Varma,Dostana,False,Amitabh Bachchan | Vijay Varma | Dostana,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1981,Ravi Kapoor,,False,Shatrughan Sinha | Ravi Kapoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1981,Ramesh R. Gupta,Insaaf Ka Tarazu,False,Raj Babbar | Ramesh R. Gupta | Insaaf Ka Tarazu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
1981,Arun Kumar Choudhary,Thodisi Bewafaii,False,Rajesh Khanna | Arun Kumar Choudhary | Thodisi Bewafaii,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor
