year,film,person,is_winner,raw_text,source_url
,Alia Bhatt,,False,6 | Alia Bhatt,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Nutan Kajol,,False,5 | Nutan Kajol,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Meena Kumari Madhuri Dixit Vidya Balan,,False,4 | Meena Kumari Madhuri Dixit Vidya Balan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Vyjayanthimala Jaya Bachchan Shabana Azmi,,False,3 | Vyjayanthimala Jaya Bachchan Shabana Azmi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Waheeda Rehman Dimple Kapadia Rekha Sridevi Karisma Kapoor Aishwarya Rai Rani Mukerji Deepika Padukone,,False,2 | Waheeda Rehman Dimple Kapadia Rekha Sridevi Karisma Kapoor Aishwarya Rai Rani Mukerji Deepika Padukone,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Madhuri Dixit,,False,14 | Madhuri Dixit,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Meena Kumari Vidya Balan,,False,12 | Meena Kumari Vidya Balan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Hema Malini Kajol Rani Mukerji,,False,11 | Hema Malini Kajol Rani Mukerji,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Aishwarya Rai Sridevi Deepika Padukone Kareena Kapoor,,False,10 | Aishwarya Rai Sridevi Deepika Padukone Kareena Kapoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Meena Kumari,3,False,Nominations full sweep | Meena Kumari (1963) | 3,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Shabana Azmi,4,False,Most nominations in a single year | Shabana Azmi (1984) | 4,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Alia Bhatt,3,False,Most consecutive wins | Alia Bhatt (2023–2025) | 3,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
,Madhuri Dixit,10,False,Most consecutive nominations | Madhuri Dixit (1989–1996) | 10,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actress
