year,film,person,is_winner,raw_text,source_url
,"M. R. Acharekar , Sudhendu Roy , Shanti Das, Ajit Banerjee, Sharmishta Roy , Nitin Chandrakant Desai , Subrata Chakraborty and Amit Ray",,False,"3 | M. R. Acharekar , Sudhendu Roy , Shanti Das, Ajit Banerjee, Sharmishta Roy , Nitin Chandrakant Desai , Subrata Chakraborty and Amit Ray",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
,"S. S. Samel, Bansi Chandragupta , N. B. Kulkarni, Madhukar Shinde, Ravi Verman , Sabu Cyril , Samir Chanda , Mansi Mehta",,False,"2 | S. S. Samel, Bansi Chandragupta , N. B. Kulkarni, Madhukar Shinde, Ravi Verman , Sabu Cyril , Samir Chanda , Mansi Mehta",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2025,Mayur Sharma,Kill,False,2025 | Mayur Sharma | Kill,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2024,Subrata Chakraborty and Amit Ray,Sam Bahadur,False,2024 | Subrata Chakraborty and Amit Ray | Sam Bahadur,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2023,Subrata Chakraborty and Amit Ray,Gangubai Kathiawadi,False,2023 | Subrata Chakraborty and Amit Ray | Gangubai Kathiawadi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2022,Mansi Mehta and Dmitrii Malich,Sardar Udham,False,2022 | Mansi Mehta and Dmitrii Malich | Sardar Udham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2021,Mansi Mehta,Gulabo Sitabo,False,2021 | Mansi Mehta | Gulabo Sitabo,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2020,Suzanne Caplan Merwanji,Gully Boy,False,2020 | Suzanne Caplan Merwanji | Gully Boy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2019,"Nitin Zihani Choudhary, Rakesh Yadav",Tumbbad,False,"2019 | Nitin Zihani Choudhary, Rakesh Yadav | Tumbbad",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2018,Parul Sondh,Daddy,False,2018 | Parul Sondh | Daddy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2017,Not Awarded,Not Awarded,False,2017 | Not Awarded | Not Awarded,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2016,"Sujeet Sawant, Sriram Iyengar and Saloni Dhatrak",Bajirao Mastani,False,"2016 | Sujeet Sawant, Sriram Iyengar and Saloni Dhatrak | Bajirao Mastani",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2015,Subrata Chakraborty and Amit Ray,Haider,False,2015 | Subrata Chakraborty and Amit Ray | Haider,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2014,Acropolis Design,Bhaag Milkha Bhaag,False,2014 | Acropolis Design | Bhaag Milkha Bhaag,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2013,Rajat Podar,Barfi!,False,2013 | Rajat Podar | Barfi!,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2012,Shashank Tere,Delhi Belly,False,2012 | Shashank Tere | Delhi Belly,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2011,Mukund Gupta,Do Dooni Chaar,False,2011 | Mukund Gupta | Do Dooni Chaar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2010,"Helen Jones, Sukanta Panigrahi",Dev.D,False,"2010 | Helen Jones, Sukanta Panigrahi | Dev.D",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2009,"Vandana Kataria, Angelica Bhowmick",Oye Lucky! Lucky Oye!,False,"2009 | Vandana Kataria, Angelica Bhowmick | Oye Lucky! Lucky Oye!",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2008,Samir Chanda,Guru,False,2008 | Samir Chanda | Guru,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2007,Omkara,,False,2007 | Omkara,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2006,"Keshto Mondal, Tanushree Sarkar and Pradeep Sarkar",Parineeta,False,"2006 | Keshto Mondal, Tanushree Sarkar and Pradeep Sarkar | Parineeta",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2005,Sabu Cyril,Yuva,False,2005 | Sabu Cyril | Yuva,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2004,Muneesh Sappel,Pinjar,False,2004 | Muneesh Sappel | Pinjar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2003,Nitin Chandrakant Desai,Devdas,False,2003 | Nitin Chandrakant Desai | Devdas,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2002,Sharmishta Roy,Kabhi Khushi Kabhie Gham,False,2002 | Sharmishta Roy | Kabhi Khushi Kabhie Gham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2001,Not Awarded,Not Awarded,False,2001 | Not Awarded | Not Awarded,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
2000,2000,,False,2000,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1999,Sharmishta Roy,Kuch Kuch Hota Hai,False,1999 | Sharmishta Roy | Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1998,Dil To Pagal Hai,,False,1998 | Dil To Pagal Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1997,Nitin Chandrakant Desai,Khamoshi: The Musical,False,1997 | Nitin Chandrakant Desai | Khamoshi: The Musical,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1996,Bijon Dasgupta,Prem,False,1996 | Bijon Dasgupta | Prem,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1995,Nitin Chandrakant Desai,1942: A Love Story,False,1995 | Nitin Chandrakant Desai | 1942: A Love Story,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1994,Sabu Cyril,Gardish,False,1994 | Sabu Cyril | Gardish,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1993,Ravi Verman,Angaar,False,1993 | Ravi Verman | Angaar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1992,Hum,,False,1992 | Hum,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1991,Nitish Roy,Ghayal,False,1991 | Nitish Roy | Ghayal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1989,Liladhar S. Sawant,Hatya,False,1989 | Liladhar S. Sawant | Hatya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1988,No Ceremony Held,No Ceremony Held,False,1988 | No Ceremony Held | No Ceremony Held,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1987,1987,,False,1987,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1986,Suresh J. Sawant,Ram Teri Ganga Maili,False,1986 | Suresh J. Sawant | Ram Teri Ganga Maili,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1985,Madhukar Shinde,Saaransh,False,1985 | Madhukar Shinde | Saaransh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1984,N. B. Kulkarni,Razia Sultan,False,1984 | N. B. Kulkarni | Razia Sultan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
1983,Ajit Banerjee,Namkeen,False,1983 | Ajit Banerjee | Namkeen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Art_Direction
