year,film,person,is_winner,raw_text,source_url
,A. R. Rahman,,False,4 | A. R. Rahman,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
,Amit Trivedi,,False,3 | Amit Trivedi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
,"Sandeep Chowta , Ranjit Barot , Pritam",,False,"2 | Sandeep Chowta , Ranjit Barot , Pritam",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2025,Ram Sampath,Laapataa Ladies,False,2025 | Ram Sampath | Laapataa Ladies,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2024,Harshavardhan Rameshwar,Animal,False,2024 | Harshavardhan Rameshwar | Animal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2023,Sanchit Balhara and Ankit Balhara,Gangubai Kathiawadi,False,2023 | Sanchit Balhara and Ankit Balhara | Gangubai Kathiawadi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2022,Shantanu Moitra,Sardar Udham,False,2022 | Shantanu Moitra | Sardar Udham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2021,Mangesh Dhakde,Thappad,False,2021 | Mangesh Dhakde | Thappad [ 1 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2020,Karsh Kale & The Salvage Audio Collective,Gully Boy,False,2020 | Karsh Kale & The Salvage Audio Collective | Gully Boy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2019,Daniel B. George,Andhadhun,False,2019 | Daniel B. George | Andhadhun,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2018,Pritam,Jagga Jasoos,False,2018 | Pritam | Jagga Jasoos,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2017,Sameer Uddin,Kapoor & Sons,False,2017 | Sameer Uddin | Kapoor & Sons,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2016,Anupam Roy,Piku,False,2016 | Anupam Roy [ 2 ] | Piku,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2015,Amit Trivedi,Queen,False,2015 | Amit Trivedi | Queen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2014,Hitesh Sonik,Kai Po Che!,False,2014 | Hitesh Sonik | Kai Po Che!,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2013,Pritam,Barfi!,False,2013 | Pritam | Barfi!,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2012,Ranjit Barot,Shaitan,False,2012 | Ranjit Barot | Shaitan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2011,Amit Trivedi,Udaan,False,2011 | Amit Trivedi | Udaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2010,Dev.D,,False,2010 | Dev.D,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2009,A. R. Rahman,Jodhaa Akbar,False,2009 | A. R. Rahman | Jodhaa Akbar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2008,Guru,,False,2008 | Guru,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2007,Salim–Sulaiman,Krrish,False,2007 | Salim–Sulaiman | Krrish,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2006,Monty Sharma,Black,False,2006 | Monty Sharma | Black,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2005,A. R. Rahman,Swades,False,2005 | A. R. Rahman | Swades,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2004,Wayne Sharpe,Gangaajal,False,2004 | Wayne Sharpe | Gangaajal [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2003,A. R. Rahman,The Legend of Bhagat Singh,False,2003 | A. R. Rahman | The Legend of Bhagat Singh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2002,Ranjit Barot,Aks,False,2002 | Ranjit Barot | Aks,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2001,Sandeep Chowta,Jungle,False,2001 | Sandeep Chowta | Jungle,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
2000,Anjan Biswas,Hum Dil De Chuke Sanam,False,2000 | Anjan Biswas | Hum Dil De Chuke Sanam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
1999,Sandeep Chowta,Satya,False,1999 | Sandeep Chowta | Satya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
1998,Viju Shah,Gupt,False,1998 | Viju Shah | Gupt,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Background_Score
