year,film,person,is_winner,raw_text,source_url
,Kamal Bose,,False,5 | Kamal Bose,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
,"Jal Mistry , Radhu Karmakar",,False,"4 | Jal Mistry , Radhu Karmakar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
,"Santosh Sivan , Binod Pradhan",,False,"3 | Santosh Sivan , Binod Pradhan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
,"V. K. Murthy , Krishnarao Vashirda, Faredoon Irani , Fali Mistry , Jaywant Pathare , Govind Nihalani , Manmohan Singh , Ravi K. Chandran , Avik Mukhopadhyay , Sudeep Chatterjee",,False,"2 | V. K. Murthy , Krishnarao Vashirda, Faredoon Irani , Fali Mistry , Jaywant Pathare , Govind Nihalani , Manmohan Singh , Ravi K. Chandran , Avik Mukhopadhyay , Sudeep Chatterjee",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2025,Rafey Mehmood,Kill,False,2025 | Rafey Mehmood | Kill,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2024,Avinash Arun,Three of Us,False,2024 | Avinash Arun | Three of Us,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2023,Sudeep Chatterjee,Gangubai Kathiawadi,False,2023 | Sudeep Chatterjee | Gangubai Kathiawadi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2022,Avik Mukhopadhyay,Sardar Udham,False,2022 | Avik Mukhopadhyay | Sardar Udham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2021,Gulabo Sitabo,,False,2021 | Gulabo Sitabo,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2020,Jay Oza,Gully Boy,False,2020 | Jay Oza | Gully Boy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2019,Pankaj Kumar,Tumbbad,False,2019 | Pankaj Kumar | Tumbbad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2018,Sirsha Ray,A Death in the Gunj,False,2018 | Sirsha Ray | A Death in the Gunj,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2017,Mitesh Mirchandani,Neerja,False,2017 | Mitesh Mirchandani | Neerja,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2016,Manu Anand,Dum Laga Ke Haisha,False,2016 | Manu Anand | Dum Laga Ke Haisha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2015,Bobby Singh and Siddharth Diwan,Queen,False,2015 | Bobby Singh (posthumously) and Siddharth Diwan | Queen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2014,Kamaljeet Negi,Madras Cafe,False,2014 | Kamaljeet Negi | Madras Cafe,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2013,Satyajit Pande,Kahaani,False,2013 | Satyajit Pande (Setu) | Kahaani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2012,Carlos Catalan,Zindagi Na Milegi Dobara,False,2012 | Carlos Catalan | Zindagi Na Milegi Dobara,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2011,Mahendra J. Shetty,Udaan,False,2011 | Mahendra J. Shetty | Udaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2010,Rajeev Ravi,Dev.D,False,2010 | Rajeev Ravi | Dev.D,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2009,Jason West,Rock On!!,False,2009 | Jason West | Rock On!!,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2008,Sudeep Chatterjee,Chak De India,False,2008 | Sudeep Chatterjee | Chak De India,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2007,Binod Pradhan,Rang De Basanti,False,2007 | Binod Pradhan | Rang De Basanti,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2006,Ravi K. Chandran,Black,False,2006 | Ravi K. Chandran | Black,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2005,Christopher Popp,Lakshya,False,2005 | Christopher Popp | Lakshya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2004,Aseem Bajaj,Chameli,False,2004 | Aseem Bajaj | Chameli,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2003,Binod Pradhan,Devdas,False,2003 | Binod Pradhan | Devdas,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2002,Santosh Sivan,Asoka,False,2002 | Santosh Sivan | Asoka,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2001,Bashir Ali,Refugee,False,2001 | Bashir Ali | Refugee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
2000,Kabir Lal,Taal,False,2000 | Kabir Lal | Taal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
1999,Santosh Sivan,Dil Se..,False,1999 | Santosh Sivan | Dil Se..,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
1997,Ashok Mehta,Bandit Queen,False,1997 | Ashok Mehta | Bandit Queen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
1996,Santosh Sivan,Barsaat,False,1996 | Santosh Sivan | Barsaat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
1995,Binod Pradhan,1942: A Love Story,False,1995 | Binod Pradhan | 1942: A Love Story,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
1994,Manmohan Singh,Darr,False,1994 | Manmohan Singh | Darr,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Cinematography
