year,film,person,is_winner,raw_text,source_url
,Dolly Ahluwalia,,False,3 | Dolly Ahluwalia,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
,"Manoshi Nath & Rushi Sharma , Veera Kapur EE, Sheetal Sharma , Nidhi Gambhir & Divya Gambhir",,False,"2 | Manoshi Nath & Rushi Sharma , Veera Kapur EE, Sheetal Sharma , Nidhi Gambhir & Divya Gambhir",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2025,Laapataa Ladies,Darshan Jalan,False,2025 | Laapataa Ladies | Darshan Jalan [ 2 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2024,Sam Bahadur,"Sachin Lovelekar, Divvya Gambhir, and Nidhhi Gambhir",False,"2024 | Sam Bahadur | Sachin Lovelekar, Divvya Gambhir, and Nidhhi Gambhir",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2023,Gangubai Kathiawadi,Sheetal Sharma,False,2023 | Gangubai Kathiawadi | Sheetal Sharma [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2022,Sardar Udham,Veera Kapur EE,False,2022 | Sardar Udham | Veera Kapur EE [ 4 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2021,Gulabo Sitabo,Veera Kapur EE,False,2021 | Gulabo Sitabo | Veera Kapur EE,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2020,Sonchiriya,"Nidhi Gambhir, Divya Gambhir",False,"2020 | Sonchiriya | Nidhi Gambhir, Divya Gambhir [ 5 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2019,Manto,Sheetal Sharma,False,2019 | Manto | Sheetal Sharma [ 6 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2018,A Death in the Gunj,Rohit Chaturvedi,False,2018 | A Death in the Gunj | Rohit Chaturvedi [ 7 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2017,Udta Punjab,Payal Saluja,False,2017 | Udta Punjab | Payal Saluja [ 8 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2016,Bajirao Mastani,"Anju Modi , Maxima Basu",False,"2016 | Bajirao Mastani | Anju Modi , Maxima Basu [ 9 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2015,Haider,Dolly Ahluwalia,False,2015 | Haider | Dolly Ahluwalia [ 10 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2014,Bhaag Milkha Bhaag,,False,2014 | Bhaag Milkha Bhaag [ 11 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2013,Shanghai,"Manoshi Nath , Rushi Sharma",False,"2013 | Shanghai | Manoshi Nath , Rushi Sharma [ 12 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2012,The Dirty Picture,Niharika Khan,False,2012 | The Dirty Picture | Niharika Khan [ 13 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2011,Do Dooni Chaar,Varsha Shilpa,False,2011 | Do Dooni Chaar | Varsha Shilpa [ 14 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2010,Firaaq,Vaishali Menon,False,2010 | Firaaq | Vaishali Menon [ 15 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2009,Oye Lucky! Lucky Oye!,"Manoshi Nath , Rushi Sharma",False,"2009 | Oye Lucky! Lucky Oye! | Manoshi Nath , Rushi Sharma [ 16 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2008,"Gandhi, My Father",Sujata Sharma,False,"2008 | Gandhi, My Father | Sujata Sharma [ 17 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
2007,Omkara,Dolly Ahluwalia,False,2007 | Omkara | Dolly Ahluwalia [ 18 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
1995,Rangeela,Manish Malhotra,False,1995 | Rangeela | Manish Malhotra [ 19 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Costume_Design
