year,film,person,is_winner,raw_text,source_url
,"Gulzar , Rajkumar Hirani",,False,"4 | Gulzar , Rajkumar Hirani",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
,"Rahi Masoom Raza , Aditya Chopra , Abhijat Joshi",,False,"3 | Rahi Masoom Raza , Aditya Chopra , Abhijat Joshi",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
,"Wajahat Mirza , Rajinder Singh Bedi , Akhtar ul Iman , Javed Akhtar , Kader Khan",,False,"2 | Wajahat Mirza , Rajinder Singh Bedi , Akhtar ul Iman , Javed Akhtar , Kader Khan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2025,Sneha Desai,Laapataa Ladies,False,2025 | Sneha Desai | Laapataa Ladies,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2024,Ishita Moitra,Rocky Aur Rani Kii Prem Kahaani,False,2024 | Ishita Moitra | Rocky Aur Rani Kii Prem Kahaani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2023,Prakash Kapadia & Utkarshini Vashishtha,Gangubai Kathiawadi,False,2023 | Prakash Kapadia & Utkarshini Vashishtha | Gangubai Kathiawadi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2022,Dibakar Banerjee & Varun Grover,Sandeep aur Pinky Faraar,False,2022 | Dibakar Banerjee & Varun Grover | Sandeep aur Pinky Faraar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2021,Juhi Chaturvedi,Gulabo Sitabo,False,2021 | Juhi Chaturvedi | Gulabo Sitabo,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2020,Vijay Maurya,Gully Boy,False,2020 | Vijay Maurya | Gully Boy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2019,Akshat Ghildial,Badhaai Ho,False,2019 | Akshat Ghildial | Badhaai Ho,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2018,Hitesh Kewaliya,Shubh Mangal Saavdhan,False,2018 | Hitesh Kewaliya | Shubh Mangal Saavdhan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2017,Ritesh Shah,Pink,False,2017 | Ritesh Shah | Pink,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2016,Himanshu Sharma,Tanu Weds Manu Returns,False,2016 | Himanshu Sharma | Tanu Weds Manu Returns,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2015,Rajkumar Hirani & Abhijat Joshi,PK,False,2015 | Rajkumar Hirani & Abhijat Joshi | PK,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2014,Subhash Kapoor,Jolly LLB,False,2014 | Subhash Kapoor | Jolly LLB,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2013,"Anurag Kashyap , Zeishan Quadri , Abhishek Jaiswal & Sachin Ladia",Gangs of Wasseypur,False,"2013 | Anurag Kashyap , Zeishan Quadri , Abhishek Jaiswal & Sachin Ladia | Gangs of Wasseypur",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2012,Farhan Akhtar,Zindagi Na Milegi Dobara,False,2012 | Farhan Akhtar | Zindagi Na Milegi Dobara,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2011,Habib Faisal,Do Dooni Chaar,False,2011 | Habib Faisal | Do Dooni Chaar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2010,Rajkumar Hirani & Abhijat Joshi,3 Idiots,False,2010 | Rajkumar Hirani & Abhijat Joshi | 3 Idiots,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2009,Manu Rishi,Oye Lucky! Lucky Oye!,False,2009 | Manu Rishi | Oye Lucky! Lucky Oye!,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2008,Imtiaz Ali,Jab We Met,False,2008 | Imtiaz Ali | Jab We Met,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2007,Rajkumar Hirani & Abhijat Joshi,Lage Raho Munnabhai,False,2007 | Rajkumar Hirani & Abhijat Joshi | Lage Raho Munnabhai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2006,Prakash Jha,Apaharan,False,2006 | Prakash Jha | Apaharan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2005,Aditya Chopra,Veer-Zaara,False,2005 | Aditya Chopra | Veer-Zaara,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2004,Abbas Tyrewala,Munnabhai M.B.B.S.,False,2004 | Abbas Tyrewala | Munnabhai M.B.B.S.,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2003,Gulzar Jaideep Sahni,Saathiya Company,False,2003 | Gulzar Jaideep Sahni | Saathiya Company,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2002,Karan Johar,Kabhi Khushi Kabhie Gham,False,2002 | Karan Johar | Kabhi Khushi Kabhie Gham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
2001,O. P. Dutta,Refugee,False,2001 | O. P. Dutta | Refugee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Dialogue
