year,film,person,is_winner,raw_text,source_url
,Bimal Roy,7,False,Most awards | Bimal Roy | 7,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Yash Chopra,12,False,Most nominations | Yash Chopra | 12,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy ;,3,False,Most consecutive wins | Bimal Roy (1954–1956); (1959–1961) | 3,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Mahesh Bhatt,6,False,Most nominations without a Win | Mahesh Bhatt | 6,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Aditya Chopra,age 24,False,Youngest winner | Aditya Chopra | age 24,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Vidhu Vinod Chopra,age 71,False,Oldest winner | Vidhu Vinod Chopra | age 71,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Do Bigha Zamin,True,1954 (1st) | Bimal Roy | Do Bigha Zamin | [ 1 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Parineeta,True,1955 (2nd) | Bimal Roy | Parineeta | [ 2 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Biraj Bahu,True,1956 (3rd) | Bimal Roy | Biraj Bahu | [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,V. Shantaram,Jhanak Jhanak Payal Baaje,True,1957 (4th) | V. Shantaram | Jhanak Jhanak Payal Baaje | [ 4 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Mehboob Khan,Mother India,True,1958 (5th) | Mehboob Khan | Mother India | [ 5 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Madhumati,True,1959 (6th) | Bimal Roy | Madhumati | [ 6 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Sadhna,,False,B. R. Chopra | Sadhna,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Talaaq,,False,Mahesh Kaul | Talaaq,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Sujata,True,1960 (7th) | Bimal Roy | Sujata | [ 7 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Choti Bahen,,False,L. V. Prasad | Choti Bahen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Navrang,,False,V. Shantaram | Navrang,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bimal Roy,Parakh,True,1961 (8th) | Bimal Roy | Parakh | [ 8 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Mughal-e-Azam,,False,K. Asif | Mughal-e-Azam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Dil Apna Aur Preet Parai,,False,Kishore Sahu | Dil Apna Aur Preet Parai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,B. R. Chopra,Kanoon,True,1962 (9th) | B. R. Chopra | Kanoon | [ 9 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Gunga Jumna,,False,Nitin Bose | Gunga Jumna,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Jis Desh Men Ganga Behti Hai,,False,Radhu Karmakar | Jis Desh Men Ganga Behti Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Abrar Alvi,Sahib Bibi Aur Ghulam,True,1963 (10th) | Abrar Alvi | Sahib Bibi Aur Ghulam | [ 10 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Bees Saal Baad,,False,Biren Nag | Bees Saal Baad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
,Son of India,,False,Mehboob Khan | Son of India,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director
