year,film,person,is_winner,raw_text,source_url
,A. Sreekar Prasad,,False,4 | A. Sreekar Prasad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
,"Hrishikesh Mukherjee , Raj Kapoor , Sanjay Verma",,False,"3 | Hrishikesh Mukherjee , Raj Kapoor , Sanjay Verma",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
,"G.G. Mayekar , B. S. Glaad, Kamlakar Karkhanis, Keshav Naidu, M. S. Shinde, Renu Saluja , V. N. Mayekar, Namrata Rao , Shivkumar V. Panicker",,False,"2 | G.G. Mayekar , B. S. Glaad, Kamlakar Karkhanis, Keshav Naidu, M. S. Shinde, Renu Saluja , V. N. Mayekar, Namrata Rao , Shivkumar V. Panicker",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2025,Shivkumar V. Panicker,Kill,False,2025 | Shivkumar V. Panicker | Kill,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2024,Jaskunwar Kohli and Vidhu Vinod Chopra,12th Fail,False,2024 | Jaskunwar Kohli and Vidhu Vinod Chopra | 12th Fail,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2023,Ninad Khanolkar,An Action Hero,False,2023 | Ninad Khanolkar | An Action Hero,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2022,A. Sreekar Prasad,Shershaah,False,2022 | A. Sreekar Prasad | Shershaah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2021,Yasha Ramchandani,Thappad,False,2021 | Yasha Ramchandani | Thappad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2020,Shivkumar V. Panicker,Uri: The Surgical Strike,False,2020 | Shivkumar V. Panicker | Uri: The Surgical Strike,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2019,Pooja Ladha Surti,Andhadhun,False,2019 | Pooja Ladha Surti | Andhadhun,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2018,Nitin Baid,Trapped,False,2018 | Nitin Baid | Trapped,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2017,Monisha R Baldawa,Neerja,False,2017 | Monisha R Baldawa | Neerja,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2016,A. Sreekar Prasad,Talvar,False,2016 | A. Sreekar Prasad | Talvar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2015,Abhijit Kokate & Anurag Kashyap,Queen,False,2015 | Abhijit Kokate & Anurag Kashyap | Queen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2014,Aarif Sheikh,D-Day,False,2014 | Aarif Sheikh | D-Day,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2013,Namrata Rao,Kahaani,False,2013 | Namrata Rao | Kahaani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2012,Huzefa Lokhandwala,Delhi Belly,False,2012 | Huzefa Lokhandwala | Delhi Belly,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2011,Namrata Rao,Love Sex aur Dhokha,False,2011 | Namrata Rao | Love Sex aur Dhokha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2010,A. Sreekar Prasad,Firaaq,False,2010 | A. Sreekar Prasad | Firaaq,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2009,Amit Pawar,Mumbai Meri Jaan,False,2009 | Amit Pawar | Mumbai Meri Jaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2008,Amitabh Shukla,Chak De India,False,2008 | Amitabh Shukla | Chak De India,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2007,P. S. Bharati,Rang de Basanti,False,2007 | P. S. Bharati | Rang de Basanti,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2006,Bela Sehgal,Black,False,2006 | Bela Sehgal | Black,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2005,Rameshwar S. Bhagat,Dhoom,False,2005 | Rameshwar S. Bhagat | Dhoom,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2004,Shimit Amin,Bhoot,False,2004 | Shimit Amin | Bhoot,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2003,Chandan Arora,Company,False,2003 | Chandan Arora | Company,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2002,A. Sreekar Prasad,Dil Chahta Hai,False,2002 | A. Sreekar Prasad | Dil Chahta Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2001,Sanjay Verma,Kaho Naa... Pyaar Hai,False,2001 | Sanjay Verma | Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
2000,Jethu Mundul,Sarfarosh,False,2000 | Jethu Mundul | Sarfarosh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
1999,"Apurva Asrani , Bhanodaya",Satya,False,"1999 | Apurva Asrani , Bhanodaya | Satya",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
1998,Rajiv Rai,Gupt: The Hidden Truth,False,1998 | Rajiv Rai | Gupt: The Hidden Truth,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Editing
