year,film,person,is_winner,raw_text,source_url
,Gulzar,13,False,Most awards | Gulzar | 13 (from 35 nominations),https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Anand Bakshi,41,False,Most nominations | Anand Bakshi | 41 (resulted in 4 wins),https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Javed Akhtar,5,False,Most nominations in a single year | Javed Akhtar (2005) | 5 (all),https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Anjaan,6,False,Most nominations without ever winning a single award | Anjaan | 6,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Gulzar,,False,13 | Gulzar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Javed Akhtar,,False,8 | Javed Akhtar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Anand Bakshi , Amitabh Bhattacharya",,False,"4 | Anand Bakshi , Amitabh Bhattacharya",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Shakeel Badayuni , Shailendra , Sameer , Prasoon Joshi , Irshad Kamil",,False,"3 | Shakeel Badayuni , Shailendra , Sameer , Prasoon Joshi , Irshad Kamil",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Hasrat Jaipuri , Verma Malik, Gulshan Kumar Mehta , Sahir Ludhianvi , Santosh Anand",,False,"2 | Hasrat Jaipuri , Verma Malik, Gulshan Kumar Mehta , Sahir Ludhianvi , Santosh Anand",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Anand Bakshi,,False,41 | Anand Bakshi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Gulzar,,False,36 | Gulzar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Javed Akhtar,,False,27 | Javed Akhtar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Sameer,,False,17 | Sameer,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Amitabh Bhattacharya,,False,14 | Amitabh Bhattacharya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Sahir Ludhianvi , Irshad Kamil",,False,"9 | Sahir Ludhianvi , Irshad Kamil",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Majrooh Sultanpuri,,False,8 | Majrooh Sultanpuri,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,Prasoon Joshi,,False,7 | Prasoon Joshi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Shakeel Badayuni , Shailendra , Hasrat Jaipuri , Anjaan",,False,"6 | Shakeel Badayuni , Shailendra , Hasrat Jaipuri , Anjaan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Santosh Anand , Indeevar , Kausar Munir",,False,"5 | Santosh Anand , Indeevar , Kausar Munir",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Hasan Kamal , Mehboob , Swanand Kirkire",,False,"4 | Hasan Kamal , Mehboob , Swanand Kirkire",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Neeraj , Gulshan Kumar Mehta , Dev Kohli , Niranjan Iyengar , Vishal Dadlani",,False,"3 | Neeraj , Gulshan Kumar Mehta , Dev Kohli , Niranjan Iyengar , Vishal Dadlani",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
,"Verma Malik, Saawan Kumar Tak , Prakash Mehra , Ravindra Jain , Sudhakar Sharma, Faaiz Anwar",,False,"2 | Verma Malik, Saawan Kumar Tak , Prakash Mehra , Ravindra Jain , Sudhakar Sharma, Faaiz Anwar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
1959,,Shailendra,True,"1959 ( 6th ) |  | Shailendra † | "" Yeh Mera Deewanapan Hain "" | Yahudi | [ 2 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Lyricist
