year,film,person,is_winner,raw_text,source_url
,Anupam Kher,5 awards,False,Most Awards | Anupam Kher | 5 awards | Awards resulted from 10 nominations,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Mehmood,19 nominations,False,Most Nominations | Mehmood | 19 nominations | Nominations resulted in 4 awards.,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Jagdeep , Laxmikant Berde",4 nominations,False,"Most Nominations without a Win | Jagdeep , Laxmikant Berde | 4 nominations | –",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Anupam Kher,,False,5 | Anupam Kher,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Mehmood,,False,4 | Mehmood,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Deven Verma , Utpal Dutt",,False,"3 | Deven Verma , Utpal Dutt",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Asrani , Paintal , Satish Kaushik , Johnny Lever , Paresh Rawal , Saif Ali Khan",,False,"2 | Asrani , Paintal , Satish Kaushik , Johnny Lever , Paresh Rawal , Saif Ali Khan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Mehmood,,False,19 | Mehmood,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Deven Verma , Johnny Lever",,False,"13 | Deven Verma , Johnny Lever",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Asrani,,False,12 | Asrani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Kader Khan , Anupam Kher",,False,"10 | Kader Khan , Anupam Kher",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Paresh Rawal,,False,9 | Paresh Rawal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,Shakti Kapoor,,False,6 | Shakti Kapoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
,"Keshto Mukherjee , Govinda",,False,"5 | Keshto Mukherjee , Govinda",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Comic_Role
