year,film,person,is_winner,raw_text,source_url
,Ashutosh Rana,2 awards,False,Most Awards | Ashutosh Rana | 2 awards | From 2 nominations,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,From 3 nominations,,False,Nana Patekar | From 3 nominations,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,Amrish Puri,7 nominations,False,Most Nominations | Amrish Puri | 7 nominations | 0 awards [ 1 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,Ashutosh Rana,,False,2 | Ashutosh Rana,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,Amrish Puri,,False,7 | Amrish Puri,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,Danny Denzongpa,,False,5 | Danny Denzongpa,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,Naseeruddin Shah,,False,4 | Naseeruddin Shah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,"Shah Rukh Khan , Ajay Devgn , Nana Patekar",,False,"3 | Shah Rukh Khan , Ajay Devgn , Nana Patekar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
,"Ashish Vidyarthi , Milind Gunaji , Sadashiv Amrapurkar , Manoj Bajpayee , Suniel Shetty , John Abraham",,False,"2 | Ashish Vidyarthi , Milind Gunaji , Sadashiv Amrapurkar , Manoj Bajpayee , Suniel Shetty , John Abraham",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
1992,,Sadashiv Amrapurkar,True,1992 (37th) |  | Sadashiv Amrapurkar ‡ | Maharani | Sadak | [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
1992,Chuniya Chand Chaukhan a.k.a. Chuniya Mama,Saudagar,False,Amrish Puri | Chuniya Chand Chaukhan a.k.a. Chuniya Mama | Saudagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
1992,Bhaktawar,Hum,False,Danny Dengzongpa | Bhaktawar | Hum,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Performance_in_a_Negative_Role
