year,film,person,is_winner,raw_text,source_url
2025,Subhash Sahoo,Kill,False,2025 | Subhash Sahoo | Kill,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2024,Kunal Sharma,Sam Bahadur,False,2024 | Kunal Sharma (MPSE) | Sam Bahadur,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2024,Animal,,False,Sachin Sudhakaran & Hariharan Muralidharan (Sync Cinema) | Animal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2023,Bishwadeep Chatterjee,Brahmāstra: Part One – Shiva,False,2023 | Bishwadeep Chatterjee | Brahmāstra: Part One – Shiva,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2022,Dipankar Chaki and Nihar Ranjan Samal,Sardar Udham,False,2022 | Dipankar Chaki and Nihar Ranjan Samal | Sardar Udham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2021,Kaamod Kharade,Thappad,False,2021 | Kaamod Kharade | Thappad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2020,"Bishwadeep Dipak Chatterjee, Nihar Ranjan Samal",Uri: The Surgical Strike,False,"2020 | Bishwadeep Dipak Chatterjee, Nihar Ranjan Samal | Uri: The Surgical Strike",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2019,Kunal Sharma,Tumbbad,False,2019 | Kunal Sharma | Tumbbad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2018,Anish John,Trapped,False,2018 | Anish John | Trapped,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2017,Vivek Sachidananda,Phobia,False,2017 | Vivek Sachidananda | Phobia,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2017,Ravi Soni,Neerja,False,2017 | Ravi Soni | Neerja,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2016,Shajith Koyeri,Talvar,False,2016 | Shajith Koyeri | Talvar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2015,Anilkumar Konakandla and Prabal Pradhan,Mardaani,False,2015 | Anilkumar Konakandla and Prabal Pradhan | Mardaani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2014,Bishwadeep Chatterjee & Nihar Ranjan Samar,Madras Cafe,False,2014 | Bishwadeep Chatterjee & Nihar Ranjan Samar | Madras Cafe,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2013,Sanjay Maurya & Allwin Rego,Kahaani,False,2013 | Sanjay Maurya & Allwin Rego | Kahaani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2012,Nakul Kamte,Don 2,False,2012 | Nakul Kamte | Don 2,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2011,Pritam Das Kunal Sharma,Love Sex aur Dhokha Udaan,False,2011 | Pritam Das Kunal Sharma | Love Sex aur Dhokha Udaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2010,Manas Chaudhury,Firaaq,False,2010 | Manas Chaudhury | Firaaq,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2009,"Baylon Fonseca , Vinod Subramanian",Rock On!!,False,"2009 | Baylon Fonseca , Vinod Subramanian | Rock On!!",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2008,Leslie Fernandes,Johnny Gaddaar,False,2008 | Leslie Fernandes | Johnny Gaddaar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2007,"Shajith Koyeri , Subash Sahu & K. J. Singh",Omkara,False,"2007 | Shajith Koyeri , Subash Sahu & K. J. Singh | Omkara",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2006,Bishwadeep Chatterjee,Parineeta,False,2006 | Bishwadeep Chatterjee | Parineeta,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2005,Dwarak Warrier,Dhoom,False,2005 | Dwarak Warrier | Dhoom,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2004,Dwarak Warrior,Bhoot,False,2004 | Dwarak Warrior | Bhoot,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2003,Arun Nambiar,Road,False,2003 | Arun Nambiar | Road,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2002,Ranjit Ranjan,Aks,False,2002 | Ranjit Ranjan | Aks,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2001,Anuj Mathur,Mohabbatein,False,2001 | Anuj Mathur | Mohabbatein,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
2000,Rakesh Ranjan,Taal,False,2000 | Rakesh Ranjan | Taal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1999,H. Sridhar,Satya,False,1999 | H. Sridhar | Satya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1998,Vinod Potdar,Border,False,1998 | Vinod Potdar | Border,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1997,Jitendra Chowdhary,Khamoshi: The Musical,False,1997 | Jitendra Chowdhary | Khamoshi: The Musical,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1996,Rakesh Ranjan,Barsaat,False,1996 | Rakesh Ranjan | Barsaat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1995,Jitendra Chaudhary and Namita Nayak,1942: A Love Story,False,1995 | Jitendra Chaudhary and Namita Nayak | 1942: A Love Story,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1994,Rakesh Ranjan,Damini – Lightning,False,1994 | Rakesh Ranjan | Damini – Lightning,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1993,Bhagat Singh Rathod and Kuldeep Sood,Khuda Gawah,False,1993 | Bhagat Singh Rathod and Kuldeep Sood | Khuda Gawah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1992,S.C. Bhambri,Pathar Ke Insan,False,1992 | S.C. Bhambri | Pathar Ke Insan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1991,E. Rudra,Azaad Desh Ke Gulam,False,1991 | E. Rudra | Azaad Desh Ke Gulam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
1990,B.V. Chaturvedi,Tridev,False,1990 | B.V. Chaturvedi | Tridev,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Sound_Design
