year,film,person,is_winner,raw_text,source_url
,Anil Kapoor,4,False,Actor with most awards | Anil Kapoor | 4,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,"Pran , Amitabh Bachchan",9,False,"Actor with most nominations | Pran , Amitabh Bachchan | 9",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,Abhishek Bachchan,3,False,Actor with most consecutive wins | Abhishek Bachchan | 3,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,Naseeruddin Shah,8,False,Actor with most nominations without ever winning | Naseeruddin Shah | 8,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,"Mehmood , Raaj Kumar , Feroz Khan , Prem Nath , Pran , Amjad Khan , Naseeruddin Shah , Akshay Kumar , Pankaj Tripathi",2,False,"Actors with most nominations in a single year | Mehmood (1962) , Raaj Kumar (1965) , Feroz Khan (1970) , Prem Nath (1974) , Pran (1975) , Amjad Khan (1981) , Naseeruddin Shah (1983) , Akshay Kumar (2005) , Pankaj Tripathi (2021-2022) | 2",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,"3 Idiots – Boman Irani , R. Madhavan , Sharman Joshi Raajneeti – Arjun Rampal , Manoj Bajpayee , Nana Patekar Kapoor & Sons – Fawad Khan , Rajat Kapoor , Rishi Kapoor",3,False,"Films with most nominations in a single year | 3 Idiots (2010) – Boman Irani , R. Madhavan , Sharman Joshi Raajneeti (2011) – Arjun Rampal , Manoj Bajpayee , Nana Patekar Kapoor & Sons (2017) – Fawad Khan , Rajat Kapoor , Rishi Kapoor | 3",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,Anil Kapoor,66,False,Oldest winner | Anil Kapoor | 66,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,Vivek Oberoi,26,False,Youngest winner | Vivek Oberoi | 26,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
,Akshaye Khanna,22,False,Youngest nominee | Akshaye Khanna | 22,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1955,,David Abraham Cheulkar,True,1955 (2nd) |  | David Abraham Cheulkar ‡ | John | Boot Polish | [ 2 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1955,No Other Nominee,,True,No Other Nominee,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1956,,Abhi Bhattacharya,True,1956 (3rd) |  | Abhi Bhattacharya ‡ | Shekhar | Jagriti | [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1956,Johnny,Railway Platform,False,Johnny Walker | Johnny | Railway Platform,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1956,Inspector Sher Singh,Kundan,False,Ulhas | Inspector Sher Singh | Kundan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1957,,Motilal,True,1957 (4th) |  | Motilal ‡ | Chunni Babu | Devdas | [ 4 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1957,Master,C.I.D.,False,Johnny Walker | Master | C.I.D.,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1958,,Raj Mehra,True,1958 (5th) |  | Raj Mehra ‡ | Kashiram | Sharada | [ 5 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1958,Krishna,Naya Daur,False,Ajit | Krishna | Naya Daur,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1959,,Johnny Walker,True,1959 (6th) |  | Johnny Walker ‡ | Charandas | Madhumati | [ 6 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1959,Rehman,Phir Subha Hogi,False,Rehman | Rehman | Phir Subha Hogi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1959,Ezra,Yahudi,False,Sohrab Modi | Ezra | Yahudi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1960,,Manmohan Krishna,True,1960 (7th) |  | Manmohan Krishna ‡ | Abdul Rasheed | Dhool Ka Phool | [ 7 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1960,Ram Lal,Paigham,False,Raaj Kumar | Ram Lal | Paigham,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1960,Mahesh,Chhoti Bahen,False,Mehmood | Mahesh | Chhoti Bahen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1961,,Motilal,True,1961 (8th) |  | Motilal ‡ | Sir Jagdish Chandra Roy | Parakh | [ 8 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1961,Agha,Ghunghat,False,Agha | Agha | Ghunghat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1961,Emperor Akbar,Mughal-e-Azam,False,Prithviraj Kapoor | Emperor Akbar | Mughal-e-Azam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1961,Pyaare Mohan/Nawab Saheb,Chaudhvin Ka Chand,False,Rehman | Pyaare Mohan/Nawab Saheb | Chaudhvin Ka Chand,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1962,,Nana Palsikar,True,1962 (9th) |  | Nana Palsikar ‡ | Kaalia | Kanoon | [ 9 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1962,Mahesh,Sasural,False,Mehmood | Mahesh | Sasural,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1962,Raka,Jis Desh Men Ganga Behti Hai,False,Pran | Raka | Jis Desh Men Ganga Behti Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1963,,Mehmood,True,1963 (10th) |  | Mehmood ‡ | Anokhe | Dil Tera Diwana | [ 10 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1963,Kasturi,Rakhi,False,Mehmood | Kasturi | Rakhi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1963,Chhote Sarkar,Sahib Bibi Aur Ghulam,False,Rehman | Chhote Sarkar | Sahib Bibi Aur Ghulam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1964,,Raaj Kumar,True,1964 (11th) |  | Raaj Kumar ‡ | Ram | Dil Ek Mandir | [ 11 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1964,Ghayal,Mere Mehboob,False,Johnny Walker | Ghayal | Mere Mehboob,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1964,Sunder,Ghar Basake Dekho,False,Mehmood | Sunder | Ghar Basake Dekho,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1965,,Nana Palsikar,True,1965 (12th) |  | Nana Palsikar ‡ | Johnny | Shehar Aur Sapna | [ 12 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1965,Ranjit,Ayee Milan Ki Bela,False,Dharmendra | Ranjit | Ayee Milan Ki Bela,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1965,Gopal Verma,Sangam,False,Rajendra Kumar | Gopal Verma | Sangam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1966,,Raaj Kumar,True,1966 (13th) |  | Raaj Kumar ‡ | Raju | Waqt | [ 13 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1966,The Butler,Gumnaam,False,Mehmood | The Butler | Gumnaam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1966,Moti,Kaajal,False,Raaj Kumar | Moti | Kaajal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1967,,Ashok Kumar,True,1967 (14th) |  | Ashok Kumar ‡ | Gopal | Afsana | [ 14 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1967,Thakur Ramesh,Dil Diya Dard Liya,False,Pran | Thakur Ramesh | Dil Diya Dard Liya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1967,Amjad,Dil Ne Phir Yaad Kiya,False,Rehman | Amjad | Dil Ne Phir Yaad Kiya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1968,,Pran,True,1968 (15th) |  | Pran ‡ | Malang | Upkar | [ 15 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1968,Shanti Swarup,Mehrban,False,Ashok Kumar | Shanti Swarup | Mehrban,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1968,Gokulchand,Dus Lakh,False,Om Prakash | Gokulchand | Dus Lakh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1969,,Sanjeev Kumar,True,1969 (16th) |  | Sanjeev Kumar ‡ | Inspector Rai | Shikar | [ 16 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1969,Dr. Shekhar,Aadmi,False,Manoj Kumar | Dr. Shekhar | Aadmi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1969,Chitrasen,Neelkamal,False,Raaj Kumar | Chitrasen | Neelkamal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1970,,Pran,True,1970 (17th) |  | Pran ‡ | Shambhu Mahadev Rao | Aansoo Ban Gaye Phool | [ 17 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1970,Shivnath 'Joggi Thakur' Choudhary,Aashirwad,False,Ashok Kumar | Shivnath 'Joggi Thakur' Choudhary | Aashirwad,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1970,Kailash Nath Kaushal,Ek Phool Do Mali,False,Balraj Sahni | Kailash Nath Kaushal | Ek Phool Do Mali,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1971,,Feroz Khan,True,"1971 (18th) |  | Feroz Khan ‡ | Jai Kishan ""JK"" | Aadmi Aur Insaan | [ 18 ]",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1971,Boss,Himmat,False,Prem Chopra | Boss | Himmat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1971,Shekhar Kapoor,Safar,False,Feroz Khan | Shekhar Kapoor | Safar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1972,,Amitabh Bachchan,True,1972 (19th) |  | Amitabh Bachchan ‡ | Dr. Bhaskar K. Bannerjee | Anand | [ 19 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1972,Shikari Banne Khan Bhopali,Adhikar,False,Pran | Shikari Banne Khan Bhopali | Adhikar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1972,Thakur Arjun Singh,Paras,False,Shatrughan Sinha | Thakur Arjun Singh | Paras,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1973,,Pran,True,1973 (20th) |  | Pran ‡ | Ram Singh | Be-Imaan | [ 20 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1973,Khan Badshah,Shor,False,Prem Nath | Khan Badshah | Shor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1974,,Amitabh Bachchan,True,1974 (21st) |  | Amitabh Bachchan ‡ | Vikram 'Vicky' Maharaj | Namak Haraam | [ 21 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1974,Raja,Victoria No. 203,False,Ashok Kumar | Raja | Victoria No. 203,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1974,Chandru Kriplani,Abhimaan,False,Asrani | Chandru Kriplani | Abhimaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1974,Sher Khan,Zanjeer,False,Pran | Sher Khan | Zanjeer,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1974,Jack Braganza,Bobby,False,Prem Nath | Jack Braganza | Bobby,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1975,,Vinod Khanna,True,1975 (22nd) |  | Vinod Khanna ‡ | Shankar Kumar | Haath Ki Safai | [ 22 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1975,SP Rajesh,International Crook,False,Feroz Khan | SP Rajesh | International Crook,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1975,Daulatram,Amir Garib,False,Prem Nath | Daulatram | Amir Garib,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1975,Roti Kapda Aur Makaan,,False,Harnam Singh | Roti Kapda Aur Makaan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1975,Gopichand 'Gopi' Sharma,Dost,False,Shatrughan Sinha | Gopichand 'Gopi' Sharma | Dost,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1976,,Shashi Kapoor,True,1976 (23rd) |  | Shashi Kapoor ‡ | Ravi Verma | Deewar | [ 23 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1976,Gabbar Singh,Sholay,False,Amjad Khan | Gabbar Singh | Sholay,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1976,Chaudhary Pratap Rai,Do Jhoot,False,Pran | Chaudhary Pratap Rai | Do Jhoot,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1976,Majboor,,False,Michael D'Souza | Majboor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1976,Maheem Ghoshal,Amanush,False,Utpal Dutt | Maheem Ghoshal | Amanush,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1977,,Prem Chopra,True,1977 (24th) |  | Prem Chopra ‡ | Ronjit Malik | Do Anjaane | [ 24 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1977,Julius Nagendranath Wilfred Singh,Chhoti Si Baat,False,Ashok Kumar | Julius Nagendranath Wilfred Singh | Chhoti Si Baat,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1977,Appa,Mehbooba,False,Prem Chopra | Appa | Mehbooba,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1977,Vijay Khanna,Kabhi Kabhie,False,Shashi Kapoor | Vijay Khanna | Kabhi Kabhie,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1977,Ajay Pirachand,Hera Pheri,False,Vinod Khanna | Ajay Pirachand | Hera Pheri,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1978,,Shriram Lagoo,True,1978 (25th) |  | Shriram Lagoo ‡ | Mr. Modi | Gharaonda | [ 25 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1978,Architect,Kinara,False,Shriram Lagoo | Architect | Kinara,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1978,Sanjay Khan,Hum Kisise Kum Naheen,False,Tariq | Sanjay Khan | Hum Kisise Kum Naheen,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1978,Chandramohan 'Chander' U. Nath,Aadmi Sadak Ka,False,Vikram | Chandramohan 'Chander' U. Nath | Aadmi Sadak Ka,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1978,Shrikanth Mathur,Anurodh,False,Vinod Mehra | Shrikanth Mathur | Anurodh,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1979,,Saeed Jaffrey,True,1979 (26th) |  | Saeed Jaffrey ‡ | Mir Roshan Ali | Shatranj Ke Khilari | [ 26 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1979,Inspector Lawrence,Devata,False,Danny Denzongpa | Inspector Lawrence | Devata,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1979,Raju,Kasme Vaade,False,Randhir Kapoor | Raju | Kasme Vaade,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1979,Raj Kumar Gupta,Trishul,False,Sanjeev Kumar | Raj Kumar Gupta | Trishul,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1979,Vishal Anand,Muqaddar Ka Sikandar,False,Vinod Khanna | Vishal Anand | Muqaddar Ka Sikandar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1980,,Amjad Khan,True,1980 (27th) |  | Amjad Khan ‡ | Fazlu | Dada | [ 27 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1980,Sarfaraz Khan,Junoon,False,Naseeruddin Shah | Sarfaraz Khan | Junoon,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1980,Mangal Singh,Kaala Patthar,False,Shatrughan Sinha | Mangal Singh | Kaala Patthar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1980,Bhavani Shankar,Gol Maal,False,Utpal Dutt | Bhavani Shankar | Gol Maal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1980,Kishan,Amar Deep,False,Vinod Mehra | Kishan | Amar Deep,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1981,,Om Puri,True,1981 (28th) |  | Om Puri ‡ | Bhikhu Lahniya | Aakrosh | [ 28 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1981,Inspector Amjad Khan,Qurbani,False,Amjad Khan | Inspector Amjad Khan | Qurbani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1981,Ravi Kapoor,Aasha,False,Girish Karnad | Ravi Kapoor | Aasha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1981,Abdullah,Abdullah,False,Raj Kapoor | Abdullah | Abdullah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1981,Mr. Chandra,Insaf Ka Tarazu,False,Shriram Lagoo | Mr. Chandra | Insaf Ka Tarazu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1982,,Amjad Khan,True,1982 (29th) |  | Amjad Khan ‡ | Bishan | Yaarana | [ 29 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1982,Havaldar Sher Singh,Love Story,False,Amjad Khan | Havaldar Sher Singh | Love Story,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1982,Anil,Dhanwan,False,Rakesh Roshan | Anil | Dhanwan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1982,Lalan Mian,Chashme Buddoor,False,Saeed Jaffery | Lalan Mian | Chashme Buddoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1982,Ram Singh,Laawaris,False,Suresh Oberoi | Ram Singh | Laawaris,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1983,,Shammi Kapoor,True,1983 (30th) |  | Shammi Kapoor ‡ | Gurbaksh | Vidhaata | [ 30 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1983,Rakesh,Teri Kasam,False,Girish Karnad | Rakesh | Teri Kasam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1983,Abu Baba,Vidhaata,False,Sanjeev Kumar | Abu Baba | Vidhaata,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1983,Raja,Namak Halaal,False,Shashi Kapoor | Raja | Namak Halaal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1983,Dr. Prashant Chaturvedi,Bemisal,False,Vinod Mehra | Dr. Prashant Chaturvedi | Bemisal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1984,,Sadashiv Amrapurkar,True,1984 (31st) |  | Sadashiv Amrapurkar ‡ | Rama Shetty | Ardh Satya | [ 31 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1984,Jan Nisar Akhtar Khan,Andha Kanoon,False,Amitabh Bachchan | Jan Nisar Akhtar Khan | Andha Kanoon,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1984,Rajaram Purshottam Joshi,Katha,False,Naseeruddin Shah | Rajaram Purshottam Joshi | Katha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1984,Mandi,,False,Tungrus | Mandi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1984,Raj Bedi,Agar Tum Na Hote,False,Raj Babbar | Raj Bedi | Agar Tum Na Hote,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1985,,Anil Kapoor,True,1985 (32nd) |  | Anil Kapoor ‡ | Raja | Mashaal | [ 32 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1985,Raghuvir Singh,Kanoon Kya Karega,False,Danny Denzongpa | Raghuvir Singh | Kanoon Kya Karega,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1985,Raghu,Hip Hip Hurray,False,Nikhil Bhagat | Raghu | Hip Hip Hurray,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1985,Inspector Shafi,Aaj Ki Awaaz,False,Shafi Inamdar | Inspector Shafi | Aaj Ki Awaaz,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1985,Rahim,Ghar Ek Mandir,False,Suresh Oberoi | Rahim | Ghar Ek Mandir,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,,Amrish Puri,True,1986 (33rd) |  | Amrish Puri ‡ | G D Thakral | Meri Jung | [ 33 ],https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,Virendra,Janam,False,Anupam Kher | Virendra | Janam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,Raja,Saagar,False,Kamal Haasan | Raja | Saagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,Havaldar Gopi Dada,Ghulami,False,Kulbhushan Kharbanda | Havaldar Gopi Dada | Ghulami,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,Kunj Bihari,Ram Teri Ganga Maili,False,Saeed Jaffery | Kunj Bihari | Ram Teri Ganga Maili,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1986,Badri Prasad Sharma,Saaheb,False,Utpal Dutt | Badri Prasad Sharma | Saaheb,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1987,NO CEREMONY,,True,1987 | NO CEREMONY | ,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
1988,NO CEREMONY,,True,1988 | NO CEREMONY | ,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Supporting_Actor
