year,film,person,is_winner,raw_text,source_url
,Tabu,,False,5 | Tabu,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,"Manisha Koirala , Rani Mukerji",,False,"3 | Manisha Koirala , Rani Mukerji",https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,"Dimple Kapadia , Kareena Kapoor , Vidya Balan , Bhumi Pednekar , Shefali Shah",,False,"2 | Dimple Kapadia , Kareena Kapoor , Vidya Balan , Bhumi Pednekar , Shefali Shah",https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,Tabu,,False,6 | Tabu,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,"Taapsee Pannu , Vidya Balan",,False,"5 | Taapsee Pannu , Vidya Balan",https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,Bhumi Pednekar,,False,4 | Bhumi Pednekar,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
,"Manisha Koirala , Rani Mukerji , Kangana Ranaut , Kareena Kapoor , Alia Bhatt",,False,"3 | Manisha Koirala , Rani Mukerji , Kangana Ranaut , Kareena Kapoor , Alia Bhatt",https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1991,Award Won by an Actor,,True,1991 (36th) | Award Won by an Actor,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1992,,Dimple Kapadia,True,1992 (37th) |  | Dimple Kapadia ‡ | Sandhya | Drishti [ 3 ],https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1993,,Dimple Kapadia,True,1993 (38th) |  | Dimple Kapadia ‡ | Shanichari | Rudaali,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1994,Award Won by an Actor,,True,1994 (39th) | Award Won by an Actor,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1995,,Farida Jalal,True,1995 (40th) |  | Farida Jalal ‡ | Mammo | Mammo,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1996,,Manisha Koirala,True,1996 (41st) |  | Manisha Koirala ‡ | Shaila Banu | Bombay,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1997,Annie Braganza,Khamoshi: The Musical,True,1997 (42nd) | Annie Braganza | Khamoshi: The Musical,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1998,,Tabu,True,1998 (43rd) |  | Tabu ‡ | Gehna | Virasat,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
1999,,Shefali Shah,True,1999 (44th) |  | Shefali Shah ‡ | Pyari Mhatre | Satya,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
2000,,Tabu,True,2000 (45th) |  | Tabu ‡ | Panna Barve | Hu Tu Tu,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
2001,Aditi Pandit,Astitva,True,2001 (46th) | Aditi Pandit | Astitva,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
2002,,Karisma Kapoor,True,2002 (47th) |  | Karisma Kapoor ‡ | Zubeidaa Suleiman Seth | Zubeidaa,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
2003,,Manisha Koirala,True,2003 (48th) |  | Manisha Koirala ‡ | Saroja | Company,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
2003,Rani Mukerji,Suhani Sharma,True, | Rani Mukerji ‡ | Suhani Sharma | Saathiya,https://en.wikipedia.org/wiki/Filmfare_Critics_Award_for_Best_Actress
