year,film,person,is_winner,raw_text,source_url
1991,,Amitabh Bachchan,True,1991 |  | Amitabh Bachchan † | Actor | 48,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1992,No award,,True,1992 | No award,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1993,,Dev Anand,True,1993 |  | Dev Anand † | Actor | 69,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1994,,Dilip Kumar,True,1994 |  | Dilip Kumar † | 71,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1994,Lata Mangeshkar,Singer,True, | Lata Mangeshkar † | Singer | 64,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1995,,Waheeda Rehman,True,1995 |  | Waheeda Rehman † | Actress | 57,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1995,Shammi Kapoor,Actor,True, | Shammi Kapoor | Actor | 63,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1996,,Ashok Kumar,True,1996 |  | Ashok Kumar † | 84,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1996,Vyjayantimala,Actress,True, | Vyjayantimala | Actress | 62,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1996,Sunil Dutt,Actor,True, | Sunil Dutt | Actor | 66,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1997,,Dharmendra,True,1997 |  | Dharmendra | 61,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1997,Mumtaz,Actress,True, | Mumtaz | Actress | 49,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1998,,Sharmila Tagore,True,1998 |  | Sharmila Tagore | 53,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1999,,Helen,True,1999 |  | Helen | 60,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
1999,Manoj Kumar,Actor,True, | Manoj Kumar † | Actor | 61,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2000,,Hema Malini,True,2000 |  | Hema Malini | Actress | 51,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2000,Vinod Khanna,Actor,True, | Vinod Khanna † | Actor | 53,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2001,,Feroz Khan,True,2001 |  | Feroz Khan | 61,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2001,Asha Bhosle,Singer,True, | Asha Bhosle † | Singer | 67,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2002,,Gulzar,True,2002 |  | Gulzar † | Screenwriter / Lyricist | 67,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2002,Asha Parekh,Actress,True, | Asha Parekh † | Actress | 59,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2003,,Jeetendra,True,2003 |  | Jeetendra | Actor | 61,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2003,Rekha,Actress,True, | Rekha | Actress | 48,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2004,,Sulochana Latkar,True,2004 |  | Sulochana Latkar | 75,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2004,B. R. Chopra,Director,True, | B. R. Chopra † | Director | 89,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2004,Nirupa Roy,Actress,True, | Nirupa Roy | Actress | 73,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2005,,Rajesh Khanna,True,2005 |  | Rajesh Khanna | Actor | 62,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
2006,,Shabana Azmi,True,2006 |  | Shabana Azmi | Actress | 55,https://en.wikipedia.org/wiki/Filmfare_Lifetime_Achievement_Award
