year,film,person,is_winner,raw_text,source_url
,Bernhard Wicki,,False,4 | Bernhard Wicki,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Andreas Dresen,,False,3 | Andreas Dresen,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Fatih Akin,,False,2 | Fatih Akin,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Andreas Dresen,,False,7 | Andreas Dresen,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Tom Tykwer,,False,6 | Tom Tykwer,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Dominik Graf,,False,5 | Dominik Graf,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
,Fatih Akin,,False,4 | Fatih Akin,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1951,Josef von Báky,Two Times Lotte,False,1951 | Josef von Báky | Two Times Lotte | Das doppelte Lottchen,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1952,Award not given,,False,1952 | Award not given,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1953,Rudolf Jugert,Nights on the Road,False,1953 | Rudolf Jugert | Nights on the Road (aka The Mistress ) | Nachts auf den Straßen,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1954,Helmut Käutner,The Last Bridge,False,1954 | Helmut Käutner | The Last Bridge | Die letzte Brücke,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1955,Alfred Weidenmann,Canaris,False,1955 | Alfred Weidenmann | Canaris,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1956,Award not given,,False,1956 | Award not given,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
1957,Helmut Käutner,The Captain from Köpenick,False,1957 | Helmut Käutner | The Captain from Köpenick | Der Hauptmann von Köpenick,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Direction
