year,film,person,is_winner,raw_text,source_url
1951,Two Times Lotte,Das doppelte Lottchen,False,1951 | Two Times Lotte | Das doppelte Lottchen | Josef von Báky | Golden Candlestick,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1952,No award given.,,False,1952 | No award given.,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1953,Nights on the Road aka The Mistress,Nachts auf den Straßen,False,1953 | Nights on the Road aka The Mistress | Nachts auf den Straßen | Rudolf Jugert | Golden Candlestick,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1954,No Way Back,Weg ohne Umkehr,False,1954 | No Way Back | Weg ohne Umkehr | Victor Vicas | Golden Bowl,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1955,Canaris: Master Spy,Canaris,False,1955 | Canaris: Master Spy | Canaris | Alfred Weidenmann,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1956,No award given.,,False,1956 | No award given.,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1957,The Captain from Köpenick,Der Hauptmann von Köpenick,False,1957 | The Captain from Köpenick | Der Hauptmann von Köpenick | Helmut Käutner | Golden Bowl,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1958,The Devil Strikes at Night,"Nachts, wenn der Teufel kam",False,"1958 | The Devil Strikes at Night | Nachts, wenn der Teufel kam | Robert Siodmak",https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1959,Arms and the Man,Helden,False,1959 | Arms and the Man | Helden | Franz Peter Wirth,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1960,The Bridge,Die Brücke,False,1960 | The Bridge | Die Brücke | Bernhard Wicki,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1961,No award given.,,False,1961 | No award given.,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1962,The Bread of Those Early Years,Das Brot der frühen Jahre,False,1962 | The Bread of Those Early Years | Das Brot der frühen Jahre | Herbert Vesely | Film Award in Silver,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1963,The Endless Night,Die endlose Nacht,False,1963 | The Endless Night | Die endlose Nacht | Will Tremper,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1963,Das Feuerschiff,Ladislao Vajda,False,The Lightship | Das Feuerschiff | Ladislao Vajda,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1964,The River Line,Kennwort... Reiher,False,1964 | The River Line | Kennwort... Reiher | Rudolf Jugert | Film Award in Gold,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1965,The House in Karp Lane,Das Haus in der Karpfengasse,False,1965 | The House in Karp Lane | Das Haus in der Karpfengasse | Kurt Hoffmann,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1966,Young Törless,Der junge Törless,False,1966 | Young Törless | Der junge Törless | Volker Schlöndorff,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1967,Yesterday Girl,Abschied von gestern,False,1967 | Yesterday Girl | Abschied von gestern | Alexander Kluge,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1968,Tattoo,Tätowierung,False,1968 | Tattoo | Tätowierung | Johannes Schaaf,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1969,Artists Under the Big Top: Perplexed,Die Artisten in der Zirkuskuppel: Ratlos,False,1969 | Artists Under the Big Top: Perplexed | Die Artisten in der Zirkuskuppel: Ratlos | Alexander Kluge,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1970,Katzelmacher,Rainer Werner Fassbinder,False,1970 | Katzelmacher | Rainer Werner Fassbinder,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
1970,Peter Lilienthal,,False,Malatesta | Peter Lilienthal,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Feature_Film
