year,film,person,is_winner,raw_text,source_url
,Amparo Rivelles,Laura García,True,1986 (1st) [ 1 ] [ 2 ] [ 3 ] | Amparo Rivelles ‡ | Laura García | We Must Undo the House | Hay que deshacer la casa,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Dorita,Time of Silence,False,Victoria Abril | Dorita | Time of Silence | Tiempo de silencio,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Rosa,Half of Heaven,False,Ángela Molina | Rosa | Half of Heaven | La mitad del cielo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Verónica Forqué,Ana Chamorro,True,1987 (2nd) | Verónica Forqué ‡ | Ana Chamorro | The Happy Life | La vida alegre,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,"Consuelo ""Chelo"" García",El Lute: Run for Your Life,False,"Victoria Abril | Consuelo ""Chelo"" García | El Lute: Run for Your Life | El lute: camina o revienta",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Bernarda Alba,The House of Bernarda Alba,False,Irene Gutiérrez Caba [ es ] | Bernarda Alba | The House of Bernarda Alba | La casa de Bernada Alba,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Carmen Maura,Pepa Marcos,True,1988 (3rd) | Carmen Maura ‡ | Pepa Marcos | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Ana Alonso,Baton Rouge,False,Victoria Abril | Ana Alonso | Baton Rouge,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Alejandra Barrachina,Miss Caribe,False,Ana Belén | Alejandra Barrachina | Miss Caribe [ ca ],https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Sor Mercedes,Caminos de tiza,False,María Fernanda D'Ocón [ es ] | Sor Mercedes | Caminos de tiza [ ca ],https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Charo,Lights and Shadows,False,Ángela Molina | Charo | Lights and Shadows | Luces y sombras,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Rafaela Aparicio,Grandmother,True,1989 (4th) | Rafaela Aparicio ‡ | Grandmother | The Sea and the Weather | El mar y el tiempo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Ramona / Menchu / Aurora Nin,If They Tell You I Fell,False,Victoria Abril | Ramona / Menchu / Aurora Nin | If They Tell You I Fell | Si te dicen que caí,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Paloma,The Flight of the Dove,False,Ana Belén | Paloma | The Flight of the Dove | El vuelo de la paloma,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Chusa,Going South Shopping,False,Verónica Forqué | Chusa | Going South Shopping | Bajarse al moro,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Pepita Morán,The Things of Love,False,Ángela Molina | Pepita Morán | The Things of Love | Las cosas del querer,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Carmen Maura,Carmela,True,"1990 (5th) | Carmen Maura ‡ | Carmela | Ay, Carmela! | ¡Ay, Carmela!",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Marina Osorio,Tie Me Up! Tie Me Down!,False,Victoria Abril | Marina Osorio | Tie Me Up! Tie Me Down! | ¡Átame!,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Clara,The Most Natural Thing,False,Charo López | Clara | The Most Natural Thing | Lo más natural,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Sílvia Munt,Carmen Galán,True,1991 (6th) | Sílvia Munt ‡ | Carmen Galán | Butterfly Wings | Alas de mariposa,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Luisa,Lovers,False,Victoria Abril | Luisa | Lovers | Amantes,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
,Trini,,False,Maribel Verdú | Trini,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Actress
