year,film,person,is_winner,raw_text,source_url
,Fernando Fernán Gómez,Voyage to Nowhere,True,1986 (1st) [ 1 ] [ 2 ] | Fernando Fernán Gómez | Voyage to Nowhere | El viaje a ninguna parte,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Lulu by Night,Lulú de noche,False,Emilio Martínez Lázaro | Lulu by Night | Lulú de noche,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Werther,,False,Pilar Miró | Werther,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,José Luis Garci,Course Completed,True,1987 (2nd) | José Luis Garci | Course Completed | Asignatura aprobada,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Anguish,Angustia,False,Bigas Luna | Anguish | Angustia,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,El Lute: Run for Your Life,El Lute: camina o revienta,False,Vicente Aranda | El Lute: Run for Your Life | El Lute: camina o revienta,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Gonzalo Suárez,Rowing with the Wind,True,1988 (3rd) | Gonzalo Suárez | Rowing with the Wind | Remando al viento,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Women on the Verge of a Nervous Breakdown,Mujeres al borde de un ataque de nervios,False,Pedro Almodóvar | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Berlin Blues,,False,Ricardo Franco | Berlin Blues,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Wait for Me in Heaven,Espérame en el cielo,False,Antonio Mercero | Wait for Me in Heaven | Espérame en el cielo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Winter Diary,Diario de invierno,False,Francisco Regueiro | Winter Diary | Diario de invierno,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Fernando Trueba,Twisted Obsession,True,1989 (4th) | Fernando Trueba | Twisted Obsession | El sueño del mono loco,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,If They Tell You I Fell,Si te dicen que caí,False,Vicente Aranda | If They Tell You I Fell | Si te dicen que caí,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,The Sea and the Weather,El mar y el tiempo,False,Fernando Fernán Gómez | The Sea and the Weather | El mar y el tiempo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Esquilache,,False,Josefina Molina | Esquilache,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Moon Child,El niño de la luna,False,Agustí Villaronga | Moon Child | El niño de la luna,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Carlos Saura,"¡Ay, Carmela!",True,"1990 (5th) | Carlos Saura | ¡Ay, Carmela!",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Tie Me Up! Tie Me Down!,¡Átame!,False,Pedro Almodóvar | Tie Me Up! Tie Me Down! | ¡Átame!,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Letters from Alou,Las cartas de Alou,False,Montxo Armendáriz | Letters from Alou | Las cartas de Alou,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Vicente Aranda,Lovers,True,1991 (6th) | Vicente Aranda | Lovers | Amantes,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Prince of Shadows,Beltenebros,False,Pilar Miró | Prince of Shadows | Beltenebros,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,The Dumbfounded King,El rey pasmado,False,Imanol Uribe | The Dumbfounded King | El rey pasmado,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Fernando Trueba,Belle Époque,True,1992 (7th) | Fernando Trueba | Belle Époque,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,A Tale of Ham and Passion,"Jamón, jamón",False,"Bigas Luna | A Tale of Ham and Passion | Jamón, jamón",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,The Fencing Master,El maestro de esgrima,False,Pedro Olea | The Fencing Master | El maestro de esgrima,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Luis García Berlanga,Everyone to Jail,True,1993 (8th) | Luis García Berlanga | Everyone to Jail | Todos a la cárcel,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Intruder,Intruso,False,Vicente Aranda | Intruder | Intruso,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,The Dead Mother,La madre muerta,False,Juanma Bajo Ulloa | The Dead Mother | La madre muerta,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Imanol Uribe,Running Out of Time,True,1994 (9th) | Imanol Uribe | Running Out of Time | Días contados,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Turkish Passion,La pasión turca,False,Vicente Aranda | Turkish Passion | La pasión turca,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Cradle Song,Canción de cuna,False,José Luis Garci | Cradle Song | Canción de cuna,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,Álex de la Iglesia,The Day of the Beast,True,1995 (10th) | Álex de la Iglesia | The Day of the Beast | El día de la bestia,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
,The Flower of My Secret,La flor de mi secreto,False,Pedro Almodóvar | The Flower of My Secret | La flor de mi secreto,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Director
