year,film,person,is_winner,raw_text,source_url
,Voyage to Nowhere,El viaje a ninguna parte,True,1986 (1st) [ 1 ] [ 2 ] | Voyage to Nowhere | El viaje a ninguna parte | Fernando Fernán Gómez | Ganesh,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,27 horas,Montxo Armendáriz,False,27 Hours | 27 horas | Montxo Armendáriz | Elías Querejeta,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,La mitad del cielo,Manuel Gutiérrez Aragón,False,Half of Heaven | La mitad del cielo | Manuel Gutiérrez Aragón | Luis Megino,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,The Enchanted Forest,El bosque animado,True,1987 (2nd) | The Enchanted Forest | El bosque animado | José Luis Cuerda | Classic Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Divinas palabras,José Luis García Sánchez,False,"Divine Words | Divinas palabras | José Luis García Sánchez | Lola 2002, Ion Producciones",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El Lute: camina o revienta,Vicente Aranda,False,El Lute: Run for Your Life | El Lute: camina o revienta | Vicente Aranda | Multivídeo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Women on the Verge of a Nervous Breakdown,Mujeres al borde de un ataque de nervios,True,"1988 (3rd) | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios | Pedro Almodóvar | El Deseo , Lauren Films",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Remando al viento,Gonzalo Suárez,False,"Rowing with the Wind | Remando al viento | Gonzalo Suárez | Ditirambo Films, Viking Films",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El túnel,Antonio Drove,False,The Tunnel | El túnel | Antonio Drove | Santiago Cinematográfica,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Espérame en el cielo,Antonio Mercero,False,Wait for Me in Heaven | Espérame en el cielo | Antonio Mercero | B.M.G. Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Diario de invierno,Francisco Regueiro,False,Winter Diary | Diario de invierno | Francisco Regueiro | Castor Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Twisted Obsession,El sueño del mono loco,True,"1989 (4th) | Twisted Obsession | El sueño del mono loco | Fernando Trueba | X Y Z Desarrollos, French Production, International Production, Sofica Valor",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Josefina Molina,Sabre Films,False,Esquilache | Josefina Molina | Sabre Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Montoyas y Tarantos,Vicente Escrivá,False,Montoyas y Tarantos | Montoyas y Tarantos | Vicente Escrivá | C.V.C,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El niño de la luna,Agustí Villaronga,False,Moon Child | El niño de la luna | Agustí Villaronga | Ganesh,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El mar y el tiempo,Fernando Fernán Gómez,False,The Sea and the Weather | El mar y el tiempo | Fernando Fernán Gómez | Ion Producciones,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,¡Ay Carmela!,Carlos Saura,True,"1990 (5th) | ¡Ay Carmela! | Carlos Saura | Iberoamericana Films, Ellepi Films",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Las cartas de Alou,Montxo Armendáriz,False,Letters from Alou | Las cartas de Alou | Montxo Armendáriz | Elías Querejeta,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,¡Átame!,Pedro Almodóvar,False,Tie Me Up! Tie Me Down! | ¡Átame! | Pedro Almodóvar | El Deseo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Lovers,Amantes,True,1991 (6th) | Lovers | Amantes | Vicente Aranda | Pedro Costa,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Don Juan en los infiernos,Gonzalo Suárez,False,Don Juan in Hell | Don Juan en los infiernos | Gonzalo Suárez | Ditirambo Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El rey pasmado,Imanol Uribe,False,"The Dumbfounded King | El rey pasmado | Imanol Uribe | Siete Films, Ariane Films, Arion Productions, Infor Filmes",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Belle Époque,Fernando Trueba,True,"1992 (7th) | Belle Époque | Fernando Trueba | Fernando Trueba , Lolafilms",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,El maestro de esgrima,Pedro Olea,False,"The Fencing Master | El maestro de esgrima | Pedro Olea | Altube Filmeak, Origen P.C.",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,"Jamón, jamón",Bigas Luna,False,"A Tale of Ham and Passion | Jamón, jamón | Bigas Luna | Lolafilms, Ovideo",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Everyone to Jail,Todos a la cárcel,True,"1993 (8th) | Everyone to Jail | Todos a la cárcel | Luis García Berlanga | Sogetel, Central de Producciones Audiovisuales, Antea Films",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Intruso,Vicente Aranda,False,Intruder | Intruso | Vicente Aranda | Pedro Costa,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Sombras en una batalla,Mario Camus,False,Shadows in a Conflict | Sombras en una batalla | Mario Camus | Cayo Largo Films,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Running Out of Time,Días contados,True,"1994 (9th) | Running Out of Time | Días contados | Imanol Uribe | Aiete Films, Ariane Films",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Canción de cuna,José Luis Garci,False,Cradle Song | Canción de cuna | José Luis Garci | Nickel Odeon Dos,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,La pasión turca,Vicente Aranda,False,"Turkish Passion | La pasión turca | Vicente Aranda | Lolafilms, Cartel",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
,Nobody Will Speak of Us When We're Dead,Nadie hablará de nosotras cuando hayamos muerto,True,"1995 (10th) | Nobody Will Speak of Us When We're Dead | Nadie hablará de nosotras cuando hayamos muerto | Agustín Díaz Yanes | Flamenco Films, Xaloc",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
