year,film,person,is_winner,raw_text,source_url
,Miguel Rellán,Alberto Goicoechea,True,1986 (1st) [ 1 ] [ 2 ] [ 3 ] [ 4 ] | Miguel Rellán | Alberto Goicoechea | Dear Nanny | Tata mía,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Hilario,Mambru Went to War,False,Agustín González | Hilario | Mambru Went to War | Mambrú se fue a la guerra,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Ángel,Matador,False,Antonio Banderas | Ángel | Matador,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Juan Echanove,Miguelín,True,1987 (2nd) | Juan Echanove | Miguelín | Divine Words | Divinas palabras,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Agustín Planchadell,Moors and Christians,False,Agustín González | Agustín Planchadell | Moors and Christians | Moros y cristianos,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Pepe Planchadell,,False,Pedro Ruiz | Pepe Planchadell,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,José Sazatornil,Alberto Sinsoles,True,1988 (3rd) | José Sazatornil | Alberto Sinsoles | Wait for Me in Heaven | Espérame en el cielo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Policeman,Baton Rouge,False,Ángel de Andrés López | Policeman | Baton Rouge,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Toto,El Lute II: Tomorrow I'll be Free,False,Jorge Sanz | Toto | El Lute II: Tomorrow I'll be Free | El Lute II: Mañana seré libre,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Taxi driver,Women on the Verge of a Nervous Breakdown,False,Guillermo Montesinos | Taxi driver | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,John William Polidori,Rowing with the Wind,False,José Luis Gómez | John William Polidori | Rowing with the Wind | Remando al viento,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Adolfo Marsillach,Charles III of Spain,True,1989 (4th) | Adolfo Marsillach | Charles III of Spain | Esquilache,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Roberto,El baile del pato,False,Enrique San Francisco | Roberto | El baile del pato [ ca ],https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Vailer,The Dark Night,False,Fernando Guillén | Vailer | The Dark Night | La noche oscura,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Juancho,The Flight of the Dove,False,Juan Echanove | Juancho | The Flight of the Dove | El vuelo de la paloma,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Luis Doncel,,False,Juan Luis Galiardo | Luis Doncel,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Ciri,,False,Manuel Huete | Ciri,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Gabino Diego,Gustavete,True,1990 (5th) | Gabino Diego | Gustavete | ¡Ay Carmela!,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Álvaro,Alone Together,False,Juan Echanove | Álvaro | Alone Together | A solas contigo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Máximo Espejo,Tie Me Up! Tie Me Down!,False,Francisco Rabal | Máximo Espejo | Tie Me Up! Tie Me Down! | ¡Átame!,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Juan Diego,Father Villaescusa,True,1991 (6th) | Juan Diego | Father Villaescusa | The Dumbfounded King | El rey pasmado,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Ugarte / Valdivia,Prince of Shadows,False,José Luis Gómez | Ugarte / Valdivia | Prince of Shadows | Beltenegros,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Valido,The Dumbfounded King,False,Javier Gurruchaga | Valido | The Dumbfounded King | El rey pasmado,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Fernando Fernán Gómez,Manolo,True,1992 (7th) | Fernando Fernán Gómez | Manolo | Belle Époque,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Curt,Club Virginia Orchestra,False,Enrique San Francisco | Curt | Club Virginia Orchestra | Orquesta Club Virginia,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Juanito,Belle Époque,False,Gabino Diego | Juanito | Belle Époque,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Tito Valverde,Darío,True,1993 (8th) | Tito Valverde | Darío | Shadows in a Conflict | Sombras en una batalla,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Sebastián,My Soul Brother,False,Juan Echanove | Sebastián | My Soul Brother | Mi hermano del alma,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Baron of Benicarles,"Banderas, the Tyrant",False,"Javier Gurruchaga | Baron of Benicarles | Banderas, the Tyrant | Tirano Banderas",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Javier Bardem,Lisardo,True,1994 (9th) | Javier Bardem | Lisardo | Running Out of Time | Días contados,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Pablo,Alegre ma non troppo,False,Óscar Ladoire | Pablo | Alegre ma non troppo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,The father,The Worst Years of Our Lives,False,Agustín González | The father | The Worst Years of Our Lives | Los peores años de nuestra vida,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Luis Ciges,Matacanes,True,1995 (10th) | Luis Ciges | Matacanes | Así en el cielo como en la tierra,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Raúl,Mouth to Mouth,False,Fernando Guillén Cuervo | Raúl | Mouth to Mouth | Boca a boca,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,El Argentino,The Law of the Frontier,False,Federico Luppi | El Argentino | The Law of the Frontier | La ley de la frontera,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Luis Cuenca,Grandfather,True,1996 (11th) | Luis Cuenca | Grandfather | The Good Life | La buena vida,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Pármeno,La celestina,False,Jordi Mollà | Pármeno | La celestina,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Sempronio,,False,Nancho Novo | Sempronio,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,José Sancho,Sancho,True,1997 (12th) | José Sancho | Sancho | Live Flesh | Carne Trémula,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Valerio,The Color of the Clouds,False,Antonio Valero | Valerio | The Color of the Clouds | El color de las nubes,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Justo,The Rats,False,Juan Jesús Valverde [ es ] | Justo | The Rats [ ca ] | Las ratas,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Tony Leblanc,Felipe Torrente,True,"1998 (13th) | Tony Leblanc | Felipe Torrente | Torrente, el brazo tonto de la ley",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Senén Corchado,The Grandfather,False,Agustín González | Senén Corchado | The Grandfather | El abuelo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Ángel,Barrio,False,Francisco Algora | Ángel | Barrio,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Julián Torralba,The Girl of Your Dreams,False,Jorge Sanz | Julián Torralba | The Girl of Your Dreams | La niña de tus ojos,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Juan Diego,Boronat,True,1999 (14th) | Juan Diego | Boronat | París-Tombuctú [ es ],https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Pere,Beloved/Friend,False,Mario Gas | Pere | Beloved/Friend | Amic/Amat,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Young Francisco de Goya,Goya in Bordeaux,False,José Coronado | Young Francisco de Goya | Goya in Bordeaux | Goya en Burdeos,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
,Julián,Dying of Laughter,False,Álex Angulo | Julián | Dying of Laughter | Muertos de risa,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actor
