year,film,person,is_winner,raw_text,source_url
,Verónica Forqué,Irene,True,1986 (1st) [ 1 ] [ 2 ] [ 3 ] [ 4 ] | Verónica Forqué ‡ | Irene | Year of Enlightment | El año de las luces,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Alejandra,The Bastard Brother of God,False,María Luisa Ponte | Alejandra | The Bastard Brother of God | El hermano bastardo de Dios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Doña Tránsito,Year of Enlightment,False,Chus Lampreave | Doña Tránsito | Year of Enlightment | El año de las luces,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Verónica Forqué,Monique,True,1987 (2nd) | Verónica Forqué ‡ | Monique | Moors and Christians | Moros y cristianos,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Olga,Turnip Top,False,Marisa Paredes | Olga | Turnip Top | Cara de acelga,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Teresa,Laura,False,"Terele Pávez | Teresa | Laura | Laura, del cielo llega la noche",https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,María Barranco,Candela,True,1988 (3rd) | María Barranco ‡ | Candela | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Policía,Baton Rouge,False,Laura Cepeda | Policía | Baton Rouge,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Emilia,Wait for Me in Heaven,False,Chus Lampreave | Emilia | Wait for Me in Heaven | Espérame en el cielo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Madre,Winter Diary,False,Terele Pávez | Madre | Winter Diary | Diario de invierno,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Lucía,Women on the Verge of a Nervous Breakdown,False,Julieta Serrano | Lucía | Women on the Verge of a Nervous Breakdown | Mujeres al borde de un ataque de nervios,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,María Asquerino,Marcela,True,1989 (4th) | María Asquerino ‡ | Marcela | The Sea and the Weather | El mar y el tiempo,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Nena Colman,The Things of Love,False,María Barranco | Nena Colman | The Things of Love | Las cosas del querer,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Doña Antonia,Going South Shopping,False,Chus Lampreave | Doña Antonia | Going South Shopping | Bajarse al moro,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
,Isabel de Farnesio,Esquilache,False,Amparo Rivelles | Isabel de Farnesio | Esquilache,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Supporting_Actress
