year,film,person,is_winner,raw_text,source_url
,Jarl Kulle Göran Stangertz Stellan Skarsgård Sven Wollter Max von Sydow Rolf Lassgård Sven-Bertil Taube Krister Henriksson Mikael Persbrandt,2,False,Actor with most awards | Jarl Kulle Göran Stangertz Stellan Skarsgård Sven Wollter Max von Sydow Rolf Lassgård Sven-Bertil Taube Krister Henriksson Mikael Persbrandt | 2 | — | — | Jarl Kulle Göran Stangertz Stellan Skarsgård Sven Wollter Max von Sydow Rolf Lassgård Sven-Bertil Taube Krister Henriksson Mikael Persbrandt | 2,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Mikael Persbrandt Rolf Lassgård,5,False,Actor with most nominations | Mikael Persbrandt Rolf Lassgård | 5 | Anders Ahlbom [ sv ] Thommy Berggren Kjell Bergqvist Brasse Brännström David Dencik Dan Ekborg Sverrir Gudnason Michael Nyqvist Shanti Roney Sven-Bertil Taube Johan Widerberg | 2 | Mikael Persbrandt Rolf Lassgård | 5,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Keve Hjelm,Raven's End,True,1963/64 (1st) | Keve Hjelm | Raven's End | The father | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Jarl Kulle,Swedish Wedding Night,True,1964/65 (2nd) | Jarl Kulle | Swedish Wedding Night | Hilmer Westlund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Thommy Berggren,Heja Roland!,True,1965/66 (3rd) | Thommy Berggren | Heja Roland! | Roland Jung | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Per Oscarsson,Hunger,True,1966/67 (4th) | Per Oscarsson | Hunger | Pontus | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Halvar Björk,Badarna,True,1967/68 (5th) | Halvar Björk | Badarna | Knoppen Berglund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Roland Hedlund,Ådalen 31,True,1968/69 (6th) | Roland Hedlund | Ådalen 31 | Harald | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Carl-Gustaf Lindstedt,Harry Munter,True,1969/70 (7th) | Carl-Gustaf Lindstedt | Harry Munter | Valle | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Eddie Axberg,The Emigrants The New Land,True,1971/72 (8th) | Eddie Axberg | The Emigrants The New Land | Robert Nilsson | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Gösta Ekman,The Man Who Quit Smoking,True,1972/73 (9th) | Gösta Ekman | The Man Who Quit Smoking | Dante Alighieri | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Allan Edwall,Emil and the Piglet,True,1973/74 (10th) | Allan Edwall | Emil and the Piglet | Anton Svensson | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Göran Stangertz,The Last Adventure,True,"1974/75 (11th) | Göran Stangertz | The Last Adventure | Karl-Erik ""Jimmy"" Mattsson | ",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Toivo Pawlo,Hallo Baby,True,1975/76 (12th) | Toivo Pawlo | Hallo Baby | The girl's father | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Håkan Serner,The Man on the Roof Bang!,True,1976/77 (13th) | Håkan Serner | The Man on the Roof Bang! | Einar Rönn Magnus Hinder | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
,Anders Lönnbro,The Score,True,1977/78 (14th) | Anders Lönnbro | The Score | Kennet Ahl | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actor
