year,film,person,is_winner,raw_text,source_url
,Ingrid Thulin,The Silence,True,1963/64 (1st) | Ingrid Thulin ‡ | The Silence | Ester | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Eva Dahlbeck,The Cats,True,1964/65 (2nd) | Eva Dahlbeck ‡ | The Cats | Marta Alleus | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Christina Schollin,Ormen,True,1965/66 (3rd) | Christina Schollin ‡ | Ormen | Iréne Sandström | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Bibi Andersson,Persona,True,"1966/67 (4th) | Bibi Andersson ‡ | Persona | Alma, the Nurse | ",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Lena Nyman,I Am Curious I Am Curious,True,1967/68 (5th) | Lena Nyman ‡ | I Am Curious (Yellow) I Am Curious (Blue) | Lena | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Liv Ullmann,Shame,True,1968/69 (6th) | Liv Ullmann ‡ | Shame | Eva Rosenberg | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Anita Ekström,Jänken,True,1969/70 (7th) | Anita Ekström ‡ | Jänken | Inger | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Monica Zetterlund,The Apple War The New Land,True,1971/72 (8th) | Monica Zetterlund ‡ | The Apple War The New Land | Anna Lindberg Ulrika | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Harriet Andersson,Cries and Whispers,True,1972/73 (9th) | Harriet Andersson ‡ | Cries and Whispers | Agnes | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Inga Tidblad,Pistol,True,1973/74 (10th) | Inga Tidblad ‡ | Pistol | Alisia von Swärd | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Lis Nilheim,Maria,True,1974/75 (11th) | Lis Nilheim ‡ | Maria | Maria Widén | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Margaretha Krook,Release the Prisoners to Spring,True,1975/76 (12th) | Margaretha Krook ‡ | Release the Prisoners to Spring | Flora | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Birgitta Valberg,Summer Paradise,True,1976/77 (13th) | Birgitta Valberg ‡ | Summer Paradise | Katha Wik | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Lil Terselius,Games of Love and Loneliness,True,1977/78 (14th) | Lil Terselius ‡ | Games of Love and Loneliness | Lydia Stille | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Sif Ruud,A Walk in the Sun,True,1978/79 (15th) | Sif Ruud ‡ | A Walk in the Sun | Siv Gustavsson | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Gunn Wållgren,Sally and Freedom,True,1980/81 (17th) | Gunn Wållgren ‡ | Sally and Freedom | Sally's Mother | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Sunniva Lindekleiv,Little Ida,True,1981/82 (18th) | Sunniva Lindekleiv ‡ | Little Ida | Ida | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Ida's mother,,True,Lise Fjeldstad ‡ | Ida's mother ‡,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Mrs. Revaasen,,True,Rønnaug Alten | Mrs. Revaasen,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Malin Ek,Mamma,True,1982/83 (19th) | Malin Ek ‡ | Mamma | Gerd | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Second Dance,Anna,True,Kim Anderzon ‡ | Second Dance | Anna,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Gunilla Nyroos,A Hill on the Dark Side of the Moon,True,1984 (20th) | Gunilla Nyroos ‡ | A Hill on the Dark Side of the Moon | Sofia Kovalevskaya | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
,Malin Ek,False as Water,True,1985 (21st) | Malin Ek ‡ | False as Water | Clara | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Actress
