year,film,person,is_winner,raw_text,source_url
,Ingmar Bergman,The Silence,True,1963/64 (1st) | Ingmar Bergman ‡ | The Silence | [ 6 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Arne Sucksdorff,My Home Is Copacabana,True,1964/65 (2nd) | Arne Sucksdorff ‡ | My Home Is Copacabana | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Alf Sjöberg,Ön,True,1965/66 (3rd) | Alf Sjöberg ‡ | Ön | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Jan Troell,Here's Your Life,True,1966/67 (4th) | Jan Troell ‡ | Here's Your Life | [ 7 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Kjell Grede,Hugo and Josephine,True,1967/68 (5th) | Kjell Grede ‡ | Hugo and Josephine | [ 8 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Bo Widerberg,Ådalen 31,True,1968/69 (6th) | Bo Widerberg ‡ | Ådalen 31 | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Lars Lennart Forsberg,Mistreatment,True,1969/70 (7th) | Lars Lennart Forsberg ‡ | Mistreatment | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Tage Danielsson,The Apple War,True,1971/72 (8th) | Tage Danielsson ‡ | The Apple War | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Johan Bergenstråhle,Foreigners,True,1972/73 (9th) | Johan Bergenstråhle ‡ | Foreigners | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Vilgot Sjöman,A Handful of Love,True,1973/74 (10th) | Vilgot Sjöman ‡ | A Handful of Love | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Hans Alfredson,Egg! Egg! A Hardboiled Story,True,1974/75 (11th) | Hans Alfredson ‡ | Egg! Egg! A Hardboiled Story | [ 9 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
,Jan Halldoff,Buddies,True,1975/76 (12th) | Jan Halldoff ‡ | Buddies | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Director
