year,film,person,is_winner,raw_text,source_url
,The Silence,Ingmar Bergman,True,1963/64 (1st) | The Silence | Ingmar Bergman | Allan Ekelund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Swedish Wedding Night,Åke Falck,True,1964/65 (2nd) | Swedish Wedding Night | Åke Falck | Tore Sjöberg and Lorens Marmstedt | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Heja Roland!,Bo Widerberg,True,1965/66 (3rd) | Heja Roland! | Bo Widerberg | — N/a | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Persona §,Ingmar Bergman,True,1966/67 (4th) | Persona § | Ingmar Bergman | Ingmar Bergman | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Hugo and Josephine,Kjell Grede,True,1967/68 (5th) | Hugo and Josephine | Kjell Grede | Göran Lindgren | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The White Game,Grupp 13,True,1968/69 (6th) | The White Game | Grupp 13 [ a ] | — N/a | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,A Swedish Love Story,Roy Andersson,True,1969/70 (7th) | A Swedish Love Story | Roy Andersson | Ejnar Gunnerholm | [ b ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Lars Lennart Forsberg,N/a,True,Mistreatment | Lars Lennart Forsberg | — N/a,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Emigrants,Jan Troell,True,1970/71 | The Emigrants | Jan Troell | Bengt Forslund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Apple War,Tage Danielsson,True,1971/72 (8th) | The Apple War | Tage Danielsson | — N/a | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Cries and Whispers,Ingmar Bergman,True,1972/73 (9th) | Cries and Whispers | Ingmar Bergman | Lars-Owe Carlberg | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,A Handful of Love,Vilgot Sjöman,True,1973/74 (10th) | A Handful of Love | Vilgot Sjöman | Bengt Forslund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Last Adventure,Jan Halldoff,True,1974/75 (11th) | The Last Adventure | Jan Halldoff | Hasse Seiden | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Release the Prisoners to Spring,Tage Danielsson,True,1975/76 (12th) | Release the Prisoners to Spring | Tage Danielsson | — N/a | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Man on the Roof,Bo Widerberg,True,1976/77 (13th) | The Man on the Roof | Bo Widerberg | Per Berglund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Adventures of Picasso,Tage Danielsson,True,1977/78 (14th) | The Adventures of Picasso | Tage Danielsson | Staffan Hedqvist | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,A Respectable Life,Stefan Jarl,True,1978/79 (15th) | A Respectable Life | Stefan Jarl | Stefan Jarl | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,To Be a Millionaire,Mats Arehn,True,1979/80 (16th) | To Be a Millionaire | Mats Arehn | Olle Hellbom | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Children's Island,Kay Pollak,True,1980/81 (17th) | Children's Island | Kay Pollak | Bengt Forslund | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Simple-Minded Murderer,Hans Alfredson,True,1981/82 (18th) | The Simple-Minded Murderer | Hans Alfredson | — N/a | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Fanny and Alexander,Ingmar Bergman,True,1982/83 (19th) | Fanny and Alexander | Ingmar Bergman | Jörn Donner | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,"Beyond Sorrow, Beyond Pain",Agneta Elers-Jarleman,True,"1984 (20th) | Beyond Sorrow, Beyond Pain | Agneta Elers-Jarleman | — N/a | ",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,My Life as a Dog,Lasse Hallström,True,1985 (21st) | My Life as a Dog | Lasse Hallström | Waldemar Bergendahl | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Sacrifice,Andrei Tarkovsky,True,1986 (22nd) | The Sacrifice | Andrei Tarkovsky | Anna-Lena Wibom | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Pelle the Conqueror,Bille August,True,1987 (23rd) | Pelle the Conqueror | Bille August | Per Holst | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Katinka,Max von Sydow,True,1988 (24th) | Katinka | Max von Sydow | Bo Christensen and Katinka Faragó | [ b ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,"Jim Downing , Göran Gunér , Per-Åke Holmquist and Suzanne Khardalian",PeÅ Holmquist,True,"Back to Ararat | Jim Downing , Göran Gunér , Per-Åke Holmquist and Suzanne Khardalian | PeÅ Holmquist",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Miracle in Valby,Åke Sandgren,True,1989 (25th) | The Miracle in Valby | Åke Sandgren | Bo Christensen | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,"Good Evening, Mr. Wallenberg",Kjell Grede,True,"1990 (26th) | Good Evening, Mr. Wallenberg | Kjell Grede | Katinka Faragó | [ 4 ]",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Il Capitano: A Swedish Requiem,Jan Troell,True,1991 (27th) | Il Capitano: A Swedish Requiem | Jan Troell | Göran Setterberg | [ 5 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Anders Grönros,Ingrid Dalunde and Waldemar Bergendahl,False,Agnes Cecilia – en sällsam historia | Anders Grönros | Ingrid Dalunde and Waldemar Bergendahl,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Clas Lindberg,Lennart Dunér,False,Underground Secrets | Clas Lindberg | Lennart Dunér,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,House of Angels,Colin Nutley,True,1992 (28th) | House of Angels | Colin Nutley | Lars Jönsson and Lars Dahlquist | [ 6 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Kjell-Åke Andersson,Anders Granström and Bert Sundberg,False,Night of the Orangutan | Kjell-Åke Andersson | Anders Granström and Bert Sundberg,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Bille August,Ingrid Dahlberg,False,The Best Intentions | Bille August | Ingrid Dahlberg,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,The Slingshot,Åke Sandgren,True,1993 (29th) | The Slingshot | Åke Sandgren | Waldemar Bergendahl | [ 7 ],https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Daniel Alfredson,Hans Lönnerheden,False,The Man on the Balcony | Daniel Alfredson | Hans Lönnerheden,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Clas Lindberg,Lennart Dunér,False,The Ferris Wheel | Clas Lindberg | Lennart Dunér,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,A Pizza in Jordbro,Rainer Hartleb,True,1994 (30th) | A Pizza in Jordbro | Rainer Hartleb | Rainer Hartleb | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Ole Bjørn Salvesen,Anders Birkeland,False,Kalle och änglarna | Ole Bjørn Salvesen | Anders Birkeland,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Ulf Hultberg and Åsa Faringer,Peter Ringgaard,False,The Daughter of the Puma | Ulf Hultberg and Åsa Faringer | Peter Ringgaard,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,All Things Fair,Bo Widerberg,True,1995 (31st) | All Things Fair | Bo Widerberg | Per Holst | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Måns Herngren and Hannes Holm,Waldemar Bergendahl,False,One in a Million | Måns Herngren and Hannes Holm | Waldemar Bergendahl,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Susanne Bier,Stefan Baron,False,Like It Never Was Before | Susanne Bier | Stefan Baron,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Hamsun,Jan Troell,True,1996 (32nd) | Hamsun | Jan Troell | Erik Crone | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Kjell Sundvall,Joakim Hansson and Björn Carlström,False,The Hunters | Kjell Sundvall | Joakim Hansson and Björn Carlström,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Kjell-Åke Andersson,Dorothee Pinfold,False,Christmas Oratorio | Kjell-Åke Andersson | Dorothee Pinfold,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Tic Tac,Daniel Alfredson,True,1997 (33rd) | Tic Tac | Daniel Alfredson | Katinka Faragó | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Måns Herngren and Hannes Holm,Waldemar Bergendahl,False,Adam & Eva | Måns Herngren and Hannes Holm | Waldemar Bergendahl,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Richard Hobert,Göran Lindström and Bengt Linné,False,Run for Your Life | Richard Hobert | Göran Lindström and Bengt Linné,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Show Me Love,Lukas Moodysson,True,1998 (34th) | Show Me Love | Lukas Moodysson | Lars Jönsson | ,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Stefan Jarl,Stefan Jarl,False,Liv till varje pris | Stefan Jarl | Stefan Jarl,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Lisa Ohlin,Anna Eriksson,False,Waiting for the Tenor | Lisa Ohlin | Anna Eriksson,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,"Tsatsiki, morsan och polisen",Ella Lemhagen,True,"1999 (35th) | Tsatsiki, morsan och polisen | Ella Lemhagen | Anne Ingvar | ",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Anders Nilsson,Björn Carlström and Joakim Hansson,False,Zero Tolerance | Anders Nilsson | Björn Carlström and Joakim Hansson,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Jan Lindqvist,"Klas Olofsson , Ingrid Edström and Anna-Lena Wibom",False,"Tiden är en dröm | Jan Lindqvist | Klas Olofsson , Ingrid Edström and Anna-Lena Wibom",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Songs from the Second Floor,Roy Andersson,True,"2000 (36th) | Songs from the Second Floor | Roy Andersson | Lisa Alwert , Roy Andersson , Philippe Bober , Sanne Glæsel and Johan Mardell | ",https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
,Josef Fares,Anna Anthony,False,Jalla! Jalla! | Josef Fares | Anna Anthony,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
