year,film,person,is_winner,raw_text,source_url
,Shreya Ghoshal,10,False,Most awards | Shreya Ghoshal | 10,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,29,,False,Most nominations | 29,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Shreya Ghoshal,3,False,Most consecutive wins | Shreya Ghoshal (2012-2014) | 3,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Shreya Ghoshal,17,False,Most consecutive nominations | Shreya Ghoshal (2006-2016) | 17,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Shreya Ghoshal,4,False,Most wins in a decade | Shreya Ghoshal (2000s) | 4,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Shreya Ghoshal,4,False,Most nominations in a single year | Shreya Ghoshal (2008) | 4,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Meghna Mishra,16,False,Youngest winner | Meghna Mishra (2018) | 16,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Sunidhi Chauhan,18,False,Youngest nominee | Sunidhi Chauhan (2001) | 18 [ 2 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Asha Bhosle,69,False,Oldest winner | Asha Bhosle (2002) | 69,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Lata Mangeshkar,78,False,Oldest nominee | Lata Mangeshkar (2007) | 78,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Rekha Bhardwaj,4,False,Most nominations without ever winning | Rekha Bhardwaj | 4,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,10,"2003, 2004, 2008, 2009, 2012, 2013, 2014, 2020, 2023, 2025",False,"Shreya Ghoshal | 10 | 2003, 2004, 2008, 2009, 2012, 2013, 2014, 2020, 2023, 2025",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,2,"2000, 2001",False,"Alka Yagnik | 2 | 2000, 2001",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,"2005, 2007",,False,"2005, 2007",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2015,"2015, 2017",,False,"2015, 2017",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Shreya Ghoshal,29,True,1 | Shreya Ghoshal | 29 | 10,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Sunidhi Chauhan,17,False,2 | Sunidhi Chauhan | 17 | 2,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
,Alka Yagnik,13,False,3 | Alka Yagnik | 13,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2000,2000,,True,2000 (1st),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2000,Taal Se Taal,Taal,True,Alka Yagnik † | Taal Se Taal | Taal,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,2001,,True,2001 (2nd),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,Kaho Naa Pyaar Hai,Kaho Naa... Pyaar Hai,True,Alka Yagnik | Kaho Naa Pyaar Hai | Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,Dil Ne Yeh Kaha,Dhadkan,False,Alka Yagnik † | Dil Ne Yeh Kaha | Dhadkan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,Aey Dil Laya Hai Bahar,Kya Kehna,False,Kavita Krishnamurthy | Aey Dil Laya Hai Bahar | Kya Kehna,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,Piya Piya,Har Dil Jo Pyar Karega,False,Preeti & Pinky ‡ | Piya Piya | Har Dil Jo Pyar Karega,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2001,Mehboob Mere,Fiza,False,Sunidhi Chauhan ‡ | Mehboob Mere | Fiza,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,2002,,True,2002 (3rd),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,Radha Kaisa Na Jale,Lagaan,True,Asha Bhosle | Radha Kaisa Na Jale | Lagaan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,Jaane Kyun,Dil Chahta Hai,False,Alka Yagnik ‡ | Jaane Kyun | Dil Chahta Hai,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,Bole Chudiyan,Kabhi Khushi Kabhie Gham,False,Alka Yagnik | Bole Chudiyan | Kabhi Khushi Kabhie Gham,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,Suraj Hua Maddham,,False,Suraj Hua Maddham,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2002,So Gaye Hain,Zubeidaa,False,Lata Mangeshkar | So Gaye Hain | Zubeidaa,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2003,2003,,True,2003 (4th),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2003,Dola Re Dola,Devdas,True,Kavita Krishnamurthy † | Dola Re Dola | Devdas,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2003,Shreya Ghoshal,,True,Shreya Ghoshal †,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,2004,,True,2004 (5th),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,Jaadu Hai Nasha Hai,Jism,True,Shreya Ghoshal † | Jaadu Hai Nasha Hai | Jism,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,Kal Ho Naa Ho,Kal Ho Naa Ho,False,Alka Yagnik | Kal Ho Naa Ho (Sad Version) | Kal Ho Naa Ho,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,LOC Kargil,,False,Seemaaye Bulaaye | LOC Kargil,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,Oodhni,Tere Naam,False,Alka Yagnik ‡ | Oodhni | Tere Naam,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2004,Dekhle Aankhon Mein Aankhien Daal,Munna Bhai M.B.B.S.,False,Sunidhi Chauhan | Dekhle Aankhon Mein Aankhien Daal | Munna Bhai M.B.B.S.,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,2005,,True,2005 (6th),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,Dhoom Machale,Dhoom,True,Sunidhi Chauhan ‡ | Dhoom Machale | Dhoom,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,Aankhen Bandh Karke,Aitraaz,False,Alka Yagnik | Aankhen Bandh Karke | Aitraaz,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,Hum Tum,Hum Tum,False,Alka Yagnik † | Hum Tum | Hum Tum,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,Lal Dupatta,Mujhse Shaadi Karogi,False,Alka Yagnik ‡ | Lal Dupatta | Mujhse Shaadi Karogi,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2005,Sajna Ve,Chameli,False,Sunidhi Chauhan | Sajna Ve | Chameli,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,2006,,True,2006 (7th),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,Kajra Re,Bunty Aur Babli,True,Alisha Chinai † | Kajra Re | Bunty Aur Babli,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,Main Vaari Vaari,Mangal Pandey: The Rising,False,Kavita Krishnamurthy | Main Vaari Vaari | Mangal Pandey: The Rising,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,Piyu Bole,Parineeta,False,Shreya Ghoshal ‡ | Piyu Bole | Parineeta,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,Deedar De,Dus,False,Sunidhi Chauhan ‡ | Deedar De | Dus,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2006,Parineeta,,False,Kaisi Paheli | Parineeta,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2007,2007,,True,2007 (8th),https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2007,Beedi,Omkara,True,Sunidhi Chauhan † | Beedi | Omkara,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2007,Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna,False,Alka Yagnik ‡ | Kabhi Alvida Naa Kehna | Kabhi Alvida Naa Kehna,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2007,Luka Chhupi,Rang De Basanti,False,Lata Mangeshkar | Luka Chhupi | Rang De Basanti,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
2007,Pal Pal,Lage Raho Munnabhai,False,Shreya Ghoshal ‡ | Pal Pal | Lage Raho Munnabhai,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Female_Playback_Singer
