year,film,person,is_winner,raw_text,source_url
,SLB Films & Jhamu Sughand Productions,"Sanjay Leela Bhansali , Jhamu Sughand",True,"Hum Dil De Chuke Sanam | SLB Films & Jhamu Sughand Productions | Sanjay Leela Bhansali , Jhamu Sughand",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Puja Films,Vashu Bhagnani,True,Biwi No.1 | Puja Films | Vashu Bhagnani,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Cinematt Pictures,John Matthew Matthan,True,Sarfarosh | Cinematt Pictures | John Matthew Matthan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Mukta Arts,Subhash Ghai,True,Taal | Mukta Arts | Subhash Ghai,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Adishakti Films,Deepak Nikhalje,True,Vaastav: The Reality | Adishakti Films | Deepak Nikhalje,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Film Kraft,Rakesh Roshan,True,Kaho Naa... Pyaar Hai | Film Kraft | Rakesh Roshan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Aamir Khan Productions, Ashutosh Gowariker Productions , Jhamu Sughand Productions",Aamir Khan,True,"Lagaan | Aamir Khan Productions, Ashutosh Gowariker Productions , Jhamu Sughand Productions | Aamir Khan",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Mega Bollywood,Satish Kaushik,True,Devdas | Mega Bollywood | Satish Kaushik,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Dharma Productions,Yash Johar,True,Kal Ho Naa Ho | Dharma Productions | Yash Johar,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Yash Raj Films,"Aditya Chopra , Yash Chopra",True,"Veer-Zaara | Yash Raj Films | Aditya Chopra , Yash Chopra",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Yash Raj Films,Aditya Chopra,True,Dhoom | Yash Raj Films | Aditya Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Yash Chopra,,True,Hum Tum | Yash Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Red Chillies Entertainment,"Shahrukh Khan , Gauri Khan",True,"Main Hoon Na | Red Chillies Entertainment | Shahrukh Khan , Gauri Khan",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Nadiadwala Grandson Entertainment,Sajid Nadiadwala,True,Mujhse Shaadi Karogi | Nadiadwala Grandson Entertainment | Sajid Nadiadwala,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Ashutosh Gowariker Productions,"Ashutosh Gowariker , Ronnie Screwvala",True,"Swades | Ashutosh Gowariker Productions | Ashutosh Gowariker , Ronnie Screwvala",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Applause Entertainment,"Sanjay Leela Bhansali , Anshuman Swami",True,"Black | Applause Entertainment | Sanjay Leela Bhansali , Anshuman Swami",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Yash Raj Films,"Aditya Chopra , Yash Chopra",True,"Bunty Aur Babli | Yash Raj Films | Aditya Chopra , Yash Chopra",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Mukta Searchlight Films,Subhash Ghai,True,Iqbal | Mukta Searchlight Films | Subhash Ghai,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"S K Films Enterprises, Sahara One","Boney Kapoor , Surinder Kapoor",True,"No Entry | S K Films Enterprises, Sahara One | Boney Kapoor , Surinder Kapoor",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Light House Films Pvt. Ltd., Sahara One","Baldev Pushkarna, Bobby Pushkarna",True,"Page 3 | Light House Films Pvt. Ltd., Sahara One | Baldev Pushkarna, Bobby Pushkarna",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Vinod Chopra Productions,Vidhu Vinod Chopra,True,Parineeta | Vinod Chopra Productions | Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,UTV Motion Pictures,"Rakeysh Omprakash Mehra , Ronnie Screwvala",True,"Rang De Basanti | UTV Motion Pictures | Rakeysh Omprakash Mehra , Ronnie Screwvala",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Yash Raj Films , AMC Entertainment","Aditya Chopra , Aashish Singh",True,"Dhoom 2 | Yash Raj Films , AMC Entertainment | Aditya Chopra , Aashish Singh",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Dharma Productions,Hiroo Johar,True,Kabhi Alvida Naa Kehna | Dharma Productions | Hiroo Johar,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Filmkraft Productions,Rakesh Roshan,True,Krrish | Filmkraft Productions | Rakesh Roshan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Vinod Chopra Productions,Vidhu Vinod Chopra,True,Lage Raho Munna Bhai | Vinod Chopra Productions | Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Rajshri Productions,"Ajit Kumar Barjatya, Kamal Kumar Barjatya, Rajkumar Barjatya",True,"Vivah | Rajshri Productions | Ajit Kumar Barjatya, Kamal Kumar Barjatya, Rajkumar Barjatya",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Yash Raj Films,"Aditya Chopra , Yash Chopra",True,"Chak De! India | Yash Raj Films | Aditya Chopra , Yash Chopra",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Madras Talkies,"Mani Ratnam , G. Srinivasan",True,"Guru | Madras Talkies | Mani Ratnam , G. Srinivasan",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Shree Ashtavinayak Cine Vision Ltd,Dhillin Mehta,True,Jab We Met | Shree Ashtavinayak Cine Vision Ltd | Dhillin Mehta,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,UTV Motion Pictures,Ronnie Screwvala,True,Life in a... Metro | UTV Motion Pictures | Ronnie Screwvala,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Red Chillies Entertainment,Gauri Khan,True,Om Shanti Om | Red Chillies Entertainment | Gauri Khan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"UTV Motion Pictures , Ashutosh Gowariker Productions","Ronnie Screwvala , Ashutosh Gowariker",True,"Jodhaa Akbar | UTV Motion Pictures , Ashutosh Gowariker Productions | Ronnie Screwvala , Ashutosh Gowariker",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"UTV Motion Pictures , Anjum Rizvi Film Company, A Friday Filmworks","Ronnie Screwvala , Shital Bhatia, Anjum Rizvi",True,"A Wednesday! | UTV Motion Pictures , Anjum Rizvi Film Company, A Friday Filmworks | Ronnie Screwvala , Shital Bhatia, Anjum Rizvi",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Dharma Productions , Yash Raj Films","Yash Johar , Karan Johar",True,"Dostana | Dharma Productions , Yash Raj Films | Yash Johar , Karan Johar",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Geetha Arts , Reliance Entertainment","Tagore Madhu, Madhu Mantena",True,"Ghajini | Geetha Arts , Reliance Entertainment | Tagore Madhu, Madhu Mantena",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Tips Music Films , UTV Motion Pictures","Ramesh Taurani, Kumar Taurani",True,"Race | Tips Music Films , UTV Motion Pictures | Ramesh Taurani, Kumar Taurani",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Excel Entertainment , Reliance Big Pictures","Farhan Akhtar , Ritesh Sidhwani",True,"Rock On!! | Excel Entertainment , Reliance Big Pictures | Farhan Akhtar , Ritesh Sidhwani",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Vinod Chopra Productions,Vidhu Vinod Chopra,True,3 Idiots | Vinod Chopra Productions | Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"UTV Spot Boy , Bindass",Ronnie Screwvala,True,"Dev.D | UTV Spot Boy , Bindass | Ronnie Screwvala",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,UTV Motion Pictures,,True,Kaminey | UTV Motion Pictures,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,Illuminati Films and Eros International,"Saif Ali Khan , Dinesh Vijan",True,"Love Aaj Kal | Illuminati Films and Eros International | Saif Ali Khan , Dinesh Vijan",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
,"Reliance Big Pictures , MAD Entertainment Ltd., Amitabh Bachchan Corporation",Sunil Manchanda,True,"Paa | Reliance Big Pictures , MAD Entertainment Ltd., Amitabh Bachchan Corporation | Sunil Manchanda",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Film
