year,film,person,is_winner,raw_text,source_url
,Mickey Contractor,,False,2 | Mickey Contractor,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2017,Greg Cannom,Fan,False,2017 | Greg Cannom | Fan |  | ,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2016,Vikram Gaikwad,Tanu Weds Manu Returns,False,2016 | Vikram Gaikwad | Tanu Weds Manu Returns [ 1 ] | ,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2015,Preetisheel Singh & Clover Wootton,Haider,False,2015 | Preetisheel Singh & Clover Wootton | Haider,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2011,Banu,Robot,False,2011 | Banu | Robot [ 2 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2010,"Christien Tinsley, Domini Till",Paa,False,"2010 | Christien Tinsley, Domini Till | Paa [ 3 ]",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2009,Madhav Kadam,Jodhaa Akbar,False,2009 | Madhav Kadam | Jodhaa Akbar,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2008,"Bharat-Dorris, Ravi Indulkar and Namrata Soni",Om Shanti Om,False,"2008 | Bharat-Dorris, Ravi Indulkar and Namrata Soni | Om Shanti Om [ 4 ]",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2007,G. A. James,Dhoom 2,False,2007 | G. A. James | Dhoom 2 [ 5 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2006,Vidyadhar Bhatte,Parineeta,False,2006 | Vidyadhar Bhatte | Parineeta [ 6 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2005,Anil Pemgirikar,Veer-Zaara,False,2005 | Anil Pemgirikar | Veer-Zaara [ 7 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2004,Mickey Contractor,Kal Ho Naa Ho,False,2004 | Mickey Contractor | Kal Ho Naa Ho,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2002,Kabhi Khushi Kabhie Gham,,False,2002 | Kabhi Khushi Kabhie Gham [ 8 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
2000,Jayanti Shevale,Hum Saath Saath Hain,False,2000 | Jayanti Shevale | Hum Saath Saath Hain [ 9 ],https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Makeup
