year,film,person,is_winner,raw_text,source_url
,Belli Moda,T. N. Srinivasan,False,1967-68 | Belli Moda | T. N. Srinivasan | Puttanna Kanagal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Hannele Chiguridaga,• Srikanth Nahta • Srikanth Patel,False,1968-69 | Hannele Chiguridaga | • Srikanth Nahta • Srikanth Patel | M. R. Vittal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Gejje Pooje,Rashi Brothers,False,1969-70 | Gejje Pooje | Rashi Brothers | Puttanna Kanagal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Sharapanjara,C. S. Raja,False,1970-71 | Sharapanjara | C. S. Raja | Puttanna Kanagal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Vamsha Vriksha,G. V. Iyer,False,1971-72 | Vamsha Vriksha | G. V. Iyer | • B. V. Karanth • Girish Karnad | [ 1 ],https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Sankalpa,P. V. Nanjaraja Urs,False,1972-73 | Sankalpa | P. V. Nanjaraja Urs | P. V. Nanjaraja Urs | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Bhootayyana Maga Ayyu,• Siddalingaiah • S. P. Varadappa • N. Veeraswamy • Chandulal Jain,False,1973-74 | Bhootayyana Maga Ayyu | • Siddalingaiah • S. P. Varadappa • N. Veeraswamy • Chandulal Jain | Siddalingaiah | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Upasane,Rashi Brothers,False,1974-75 | Upasane | Rashi Brothers | Puttanna Kanagal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Chomana Dudi,Ashok Kumar,False,1975-76 | Chomana Dudi | Ashok Kumar | B. V. Karanth | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Pallavi,K. S. Indira Lankesh,False,1976-77 | Pallavi | K. S. Indira Lankesh | P. Lankesh | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Ghatashraddha,Sadananda Suvarna,False,1977-78 | Ghatashraddha | Sadananda Suvarna | Girish Kasaravalli | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Grahana,• D. Ramegowda • D. Venkatesh • D. Shivaram,False,1978-79 | Grahana | • D. Ramegowda •  D. Venkatesh •  D. Shivaram | T. S. Nagabharana | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Arivu,K. R. Lalitha,False,1979-80 | Arivu | K. R. Lalitha | Katte Ramachandra | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
,Ranganayaki,B. Thimmanna,False,1980-81 | Ranganayaki | B. Thimmanna | Puttanna Kanagal | ,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
