year,film,person,is_winner,raw_text,source_url
1969,A. Vincent,Nadhi,False,1969 | A. Vincent | Nadhi | [ 9 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1970,K. S. Sethumadhavan,Aranazhika Neram,False,1970 | K. S. Sethumadhavan | Aranazhika Neram | [ 10 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1971,K. S. Sethumadhavan,Karakanakadal,False,1971 | K. S. Sethumadhavan | Karakanakadal | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1972,K. S. Sethumadhavan,Panitheeratha Veedu,False,1972 | K. S. Sethumadhavan | Panitheeratha Veedu | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1973,M. T. Vasudevan Nair,Nirmaalyam,False,1973 | M. T. Vasudevan Nair | Nirmaalyam | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1974,G. Aravindan,Uttarayanam,False,1974 | G. Aravindan | Uttarayanam | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1975,P. A. Backer,Kabani Nadi Chuvannappol,False,1975 | P. A. Backer | Kabani Nadi Chuvannappol | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1976,T. Rajeevnath,Thanal,False,1976 | T. Rajeevnath | Thanal | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1977,Adoor Gopalakrishnan,Kodiyettam,False,1977 | Adoor Gopalakrishnan | Kodiyettam | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1978,G. Aravindan,Thampu,False,1978 | G. Aravindan | Thampu | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1979,G. Aravindan,Esthappan,False,1979 | G. Aravindan | Esthappan | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1980,K. S. Sethumadhavan,Oppol,False,1980 | K. S. Sethumadhavan | Oppol | [ 11 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1981,G. Aravindan,Pokkuveyil,False,1981 | G. Aravindan | Pokkuveyil | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1982,Bharathan,Marmaram,False,1982 | Bharathan | Marmaram | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1983,Fazil,Ente Mamattukkuttiyammakku,False,1983 | Fazil | Ente Mamattukkuttiyammakku | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1984,Adoor Gopalakrishnan,Mukhamukham,False,1984 | Adoor Gopalakrishnan | Mukhamukham | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1985,G. Aravindan,Chidambaram,False,1985 | G. Aravindan | Chidambaram | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
1986,G. Aravindan,Oridathu,False,1986 | G. Aravindan | Oridathu | [ 12 ],https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Director
