year,film,person,is_winner,raw_text,source_url
1991,Susan Sarandon,Thelma & Louise,True,1991 | Susan Sarandon | Thelma & Louise | Louise Sawyer,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1991,Nora Baker,,False,White Palace | Nora Baker,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,Judy Davis,Husbands and Wives,True,1992 | Judy Davis | Husbands and Wives | Sally,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,Audrey Taylor,,False,Barton Fink | Audrey Taylor,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,Joan Lee / Joan Frost,,False,Naked Lunch | Joan Lee / Joan Frost,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1993,Holly Hunter *,The Piano,True,1993 | Holly Hunter * | The Piano | Ada McGrath,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1994,Linda Fiorentino,The Last Seduction,True,1994 | Linda Fiorentino | The Last Seduction | Bridget Gregory / Wendy Kroy,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1995,Nicole Kidman,To Die For,True,1995 | Nicole Kidman | To Die For | Suzanne Stone-Maretto,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1996,Frances McDormand *,Fargo,True,1996 | Frances McDormand * | Fargo | Marge Gunderson,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1997,Claire Danes,Romeo + Juliet,True,1997 | Claire Danes | Romeo + Juliet | Juliet Capulet,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1998,Cate Blanchett,Elizabeth,True,1998 | Cate Blanchett | Elizabeth | Queen Elizabeth I,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1999,Annette Bening,American Beauty,True,1999 | Annette Bening | American Beauty | Carolyn Burnham,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2000,Julia Roberts *,Erin Brockovich,True,2000 | Julia Roberts * | Erin Brockovich | Erin Brockovich,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2001,Nicole Kidman,The Others,True,2001 | Nicole Kidman | The Others | Grace Stewart,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2001,Satine,,False,Moulin Rouge! | Satine,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2002,Stockard Channing,The Business of Strangers,True,2002 | Stockard Channing | The Business of Strangers | Julie Styron,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
