year,film,person,is_winner,raw_text,source_url
1991,Alan Rickman,"Close My Eyes , Truly, Madly, Deeply , Quigley Down Under , and Robin Hood: Prince of Thieves",True,"1991 | Alan Rickman | Close My Eyes , Truly, Madly, Deeply , Quigley Down Under , and Robin Hood: Prince of Thieves | Sinclair Bryant, Jamie, Elliot Marston, and Sheriff of Nottingham",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1992,Daniel Day-Lewis,The Last of the Mohicans,True,"1992 | Daniel Day-Lewis | The Last of the Mohicans | Nathaniel ""Hawkeye"" Poe",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1993,David Thewlis,Naked,True,1993 | David Thewlis | Naked | Johnny,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1994,Ralph Fiennes,Schindler's List,True,1994 | Ralph Fiennes | Schindler's List | Amon Goeth,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1995,Nigel Hawthorne,The Madness of King George,True,1995 | Nigel Hawthorne | The Madness of King George | King George III,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1996,Ewan McGregor,"Trainspotting , Brassed Off , Emma , and The Pillow Book",True,"1996 | Ewan McGregor | Trainspotting , Brassed Off , Emma , and The Pillow Book | Mark Renton, Andy Barrow, Frank Churchill, and Jerome",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1996,Richard III,"Richard, Duke of Gloucester",True,"Ian McKellen | Richard III | Richard, Duke of Gloucester ( King Richard III )",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1997,Robert Carlyle,"The Full Monty , Face , and Carla's Song",True,"1997 | Robert Carlyle | The Full Monty , Face , and Carla's Song | Gary “Gaz” Schofield, Ray, and George Lennox",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1998,Brendan Gleeson,The General,True,1998 [ 1 ] | Brendan Gleeson | The General | Martin Cahill,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1999,Jeremy Northam,"Happy, Texas , An Ideal Husband , and The Winslow Boy",True,"1999 | Jeremy Northam | Happy, Texas , An Ideal Husband , and The Winslow Boy | Harry Sawyer, Sir Robert Chiltern, and Sir Robert Morton",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2000,Jim Broadbent,Topsy-Turvy,True,2000 | Jim Broadbent | Topsy-Turvy | W. S. Gilbert,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2001,Ewan McGregor,Moulin Rouge!,True,2001 | Ewan McGregor | Moulin Rouge! | Christian,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2002,Hugh Grant,About a Boy,True,2002 | Hugh Grant | About a Boy | Will Freeman,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2003,Paul Bettany,Master and Commander: The Far Side of the World,True,2003 | Paul Bettany | Master and Commander: The Far Side of the World | Dr. Stephen Maturin,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2004,Daniel Craig,Enduring Love,True,2004 | Daniel Craig | Enduring Love | Joe Rose,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2005,Ralph Fiennes,The Constant Gardener,True,2005 | Ralph Fiennes | The Constant Gardener | Justin Quayle,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2006,Toby Jones,Infamous,True,2006 | Toby Jones | Infamous | Truman Capote,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2007,James McAvoy,Atonement,True,2007 | James McAvoy | Atonement | Robbie Turner,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2008,Michael Fassbender,Hunger,True,2008 | Michael Fassbender | Hunger | Bobby Sands,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2009,Colin Firth,A Single Man,True,2009 | Colin Firth | A Single Man | George Falconer,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2010,Christian Bale,The Fighter,True,2010 | Christian Bale | The Fighter | Dick “Dicky” Eklund,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2011,Michael Fassbender,A Dangerous Method and Shame,True,2011 | Michael Fassbender | A Dangerous Method and Shame | Carl Jung and Brandon Sullivan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2012,Toby Jones,Berberian Sound Studio,True,2012 | Toby Jones | Berberian Sound Studio | Gilderoy,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2013,James McAvoy,"Filth , Trance , and Welcome to the Punch",True,"2013 | James McAvoy | Filth , Trance , and Welcome to the Punch | Bruce Robertson, Simon Newton, and Max Lewinsky",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2014,Timothy Spall,Mr. Turner,True,2014 | Timothy Spall | Mr. Turner | J. M. W. Turner,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2015,Tom Hardy,"Legend , London Road , Mad Max: Fury Road , and The Revenant",True,"2015 | Tom Hardy | Legend , London Road , Mad Max: Fury Road , and The Revenant | Ronnie Kray and Reggie Kray , Mark, Max Rockatansky , and John Fitzgerald",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2016,Andrew Garfield,Hacksaw Ridge and Silence,True,2016 | Andrew Garfield | Hacksaw Ridge and Silence | Desmond T. Doss and Father Sebastião Rodrigues,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2017,Daniel Kaluuya,Get Out,True,2017 | Daniel Kaluuya | Get Out | Chris Washington,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2018,Rupert Everett,The Happy Prince,True,2018 | Rupert Everett | The Happy Prince | Oscar Wilde,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2019,Robert Pattinson,"High Life , The King and The Lighthouse",True,"2019 | Robert Pattinson | High Life , The King and The Lighthouse | Monte, The Dauphin and Ephraim Winslow",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2020,Riz Ahmed,Mogul Mowgli and Sound of Metal,True,2020 | Riz Ahmed | Mogul Mowgli and Sound of Metal | Zed and Ruben Stone,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2021,Andrew Garfield,"The Eyes of Tammy Faye , Mainstream , Spider-Man: No Way Home and Tick, Tick... Boom!",True,"2021 | Andrew Garfield | The Eyes of Tammy Faye , Mainstream , Spider-Man: No Way Home and Tick, Tick... Boom! | Jim Bakker , Link, Peter Parker/Spider-Man and Jonathan Larson",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2022,Bill Nighy,Living,True,2022 | Bill Nighy | Living | Mr. Rodney Williams,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
