year,film,person,is_winner,raw_text,source_url
1993,Miranda Richardson,Damage,True,1993 | Miranda Richardson | Damage | Ingrid Fleming,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1994,Crissy Rock,"Ladybird, Ladybird",True,"1994 | Crissy Rock | Ladybird, Ladybird | Maggie Conlan",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1995,Kate Winslet,Heavenly Creatures,True,1995 | Kate Winslet | Heavenly Creatures | Juliet Hulme,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1996,Brenda Blethyn,Secrets & Lies,True,1996 | Brenda Blethyn | Secrets & Lies | Cynthia Rose Purley,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1997,Judi Dench,Mrs Brown,True,1997 | Judi Dench | Mrs Brown | Queen Victoria,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,Helena Bonham Carter,The Wings of the Dove,True,1998 [ 1 ] | Helena Bonham Carter | The Wings of the Dove | Kate Croy,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,Afterglow,Phyllis Hart,False,Julie Christie | Afterglow | Phyllis Hart,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,The Governess,Rosina da Silva / Mary Blackchurch,False,Minnie Driver | The Governess | Rosina da Silva / Mary Blackchurch,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,My Name Is Joe,Sarah Downie,False,Louise Goodall | My Name Is Joe | Sarah Downie,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,The Horse Whisperer,Annie Maclean,False,Kristin Scott Thomas | The Horse Whisperer | Annie Maclean,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,Titanic,Rose DeWitt Bukater,False,Kate Winslet | Titanic | Rose DeWitt Bukater,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,The Mask of Zorro,Elena Montero,False,Catherine Zeta-Jones | The Mask of Zorro | Elena Montero,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1999,Emily Watson,Angela's Ashes and Hilary and Jackie,True,1999 | Emily Watson | Angela's Ashes and Hilary and Jackie | Angela McCourt and Jacqueline du Pré,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,Julie Walters,Billy Elliot,True,2000 | Julie Walters | Billy Elliot | Sandra Wilkinson,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,Saving Grace,Grace Trevethyn,False,Brenda Blethyn | Saving Grace | Grace Trevethyn,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,Tumbleweeds,Mary Jo Walker,False,Janet McTeer | Tumbleweeds | Mary Jo Walker,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,The Luzhin Defence,Natalia Katkov,False,Emily Watson | The Luzhin Defence | Natalia Katkov,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
