year,film,person,is_winner,raw_text,source_url
1991,Life Is Sweet,Mike Leigh,False,1991 | Life Is Sweet | Mike Leigh,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1992,Howards End,James Ivory,False,1992 | Howards End | James Ivory,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1993,The Remains of the Day,James Ivory,False,1993 | The Remains of the Day | James Ivory (2),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1994,Four Weddings and a Funeral,Mike Newell,False,1994 | Four Weddings and a Funeral | Mike Newell,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1995,The Madness of King George,Nicholas Hytner,False,1995 | The Madness of King George | Nicholas Hytner,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1996,Secrets & Lies,Mike Leigh,False,1996 | Secrets & Lies | Mike Leigh (2),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1997,The Full Monty,Peter Cattaneo,False,1997 | The Full Monty | Peter Cattaneo,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1998,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,False,"1998 | Lock, Stock and Two Smoking Barrels | Guy Ritchie",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1999,East Is East,Damien O'Donnell,False,1999 | East Is East | Damien O'Donnell,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2000,Billy Elliot,Stephen Daldry,False,2000 | Billy Elliot | Stephen Daldry,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2001,Gosford Park,Robert Altman,False,2001 | Gosford Park | Robert Altman,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2002,All or Nothing,Mike Leigh,False,2002 | All or Nothing | Mike Leigh (3),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2003,The Magdalene Sisters,Peter Mullan,False,2003 | The Magdalene Sisters | Peter Mullan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2004,Vera Drake,Mike Leigh,False,2004 | Vera Drake | Mike Leigh (4),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2005,The Constant Gardener,Fernando Meirelles,False,2005 | The Constant Gardener | Fernando Meirelles,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2006,The Queen,Stephen Frears,False,2006 | The Queen | Stephen Frears,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2007,Control,Anton Corbijn,False,2007 | Control | Anton Corbijn,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2008,Slumdog Millionaire,Danny Boyle,False,2008 | Slumdog Millionaire | Danny Boyle,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2009,Fish Tank,Andrea Arnold,False,2009 | Fish Tank | Andrea Arnold,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
