year,film,person,is_winner,raw_text,source_url
1980,Nicolas Roeg,Bad Timing,False,1980 | Nicolas Roeg | Bad Timing,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1981,Andrzej Wajda,Man of Iron,False,1981 | Andrzej Wajda | Man of Iron,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1982,Costa Gavras,Missing,False,1982 | Costa Gavras | Missing,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1983,Andrzej Wajda,Danton,False,1983 | Andrzej Wajda | Danton,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1984,Neil Jordan,The Company of Wolves,False,1984 | Neil Jordan | The Company of Wolves,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1985,Roland Joffé,The Killing Fields °,False,1985 | Roland Joffé | The Killing Fields °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1986,Akira Kurosawa,Ran °,False,1986 | Akira Kurosawa | Ran °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1987,Stanley Kubrick,Full Metal Jacket,False,1987 | Stanley Kubrick | Full Metal Jacket,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1988,John Huston,The Dead,False,1988 | John Huston | The Dead,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1989,Terence Davies,"Distant Voices, Still Lives",False,"1989 | Terence Davies | Distant Voices, Still Lives",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1990,Woody Allen,Crimes and Misdemeanors °,False,1990 | Woody Allen | Crimes and Misdemeanors °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1991,Ridley Scott,Thelma & Louise °,False,1991 | Ridley Scott | Thelma & Louise °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1992,Robert Altman,The Player °,False,1992 | Robert Altman | The Player °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1993,James Ivory,The Remains of the Day °,False,1993 | James Ivory | The Remains of the Day °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1994,Steven Spielberg,Schindler's List ≈,False,1994 | Steven Spielberg | Schindler's List ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1995,Peter Jackson,Heavenly Creatures,False,1995 | Peter Jackson | Heavenly Creatures,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1996,Joel Coen,Fargo °,False,1996 | Joel Coen | Fargo °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1997,Curtis Hanson,L.A. Confidential °,False,1997 | Curtis Hanson | L.A. Confidential °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1998,Peter Weir,The Truman Show °,False,1998 | Peter Weir | The Truman Show °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1999,Sam Mendes,American Beauty ≈,False,1999 | Sam Mendes | American Beauty ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2000,Spike Jonze,Being John Malkovich °,False,2000 | Spike Jonze | Being John Malkovich °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2001,Alejandro González Iñárritu,Love's a Bitch,False,2001 | Alejandro González Iñárritu | Love's a Bitch (Amores perros),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2002,Phillip Noyce,The Quiet American and Rabbit-Proof Fence,False,2002 | Phillip Noyce | The Quiet American and Rabbit-Proof Fence,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2003,Clint Eastwood,Mystic River °,False,2003 | Clint Eastwood | Mystic River °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2004,Martin Scorsese,The Aviator °,False,2004 | Martin Scorsese | The Aviator °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2005,Ang Lee,Brokeback Mountain ≈,False,2005 | Ang Lee | Brokeback Mountain ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2006,Paul Greengrass,United 93 °,False,2006 | Paul Greengrass | United 93 °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2007,Paul Thomas Anderson,There Will Be Blood °,False,2007 | Paul Thomas Anderson | There Will Be Blood °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
