year,film,person,is_winner,raw_text,source_url
1980,1980,,True,1980 (1st),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1980,Francis Ford Coppola,Francis Ford Coppola,True,Apocalypse Now | Francis Ford Coppola | Francis Ford Coppola,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1981,1981,,True,1981 (2nd),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1981,Hugh Hudson,David Puttnam,True,Chariots of Fire | Hugh Hudson | David Puttnam,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1982,1982,,True,1982 (3rd),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1982,Costa-Gavras,"Edward Lewis , Mildred Lewis",True,"Missing | Costa-Gavras | Edward Lewis , Mildred Lewis",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1983,1983,,True,1983 (4th),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1983,Martin Scorsese,Arnon Milchan,True,The King of Comedy | Martin Scorsese | Arnon Milchan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1984,1984,,True,1984 (5th),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1984,Wim Wenders,Anatole Dauman and Don Guest,True,"Paris, Texas | Wim Wenders | Anatole Dauman and Don Guest",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1985,1985,,True,1985 (6th),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1985,Woody Allen,Robert Greenhut and Woody Allen,True,The Purple Rose of Cairo | Woody Allen | Robert Greenhut and Woody Allen,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1986,1986,,True,1986 (7th),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1986,James Ivory,Ismail Merchant and James Ivory,True,A Room with a View | James Ivory | Ismail Merchant and James Ivory,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1987,1987,,True,1987 (8th),https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
