year,film,person,is_winner,raw_text,source_url
1980,Steve Tesich,Breaking Away,False,1980 | Steve Tesich | Breaking Away,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1981,Colin Welland,Chariots of Fire,False,1981 | Colin Welland | Chariots of Fire,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1982,Costa-Gavras and Donald E. Stewart,Missing,False,1982 | Costa-Gavras and Donald E. Stewart | Missing,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1983,Ruth Prawer Jhabvala,Heat and Dust,False,1983 | Ruth Prawer Jhabvala | Heat and Dust,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1984,Philip Kaufman,The Right Stuff,False,1984 | Philip Kaufman | The Right Stuff,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1985,Alan Bennett,A Private Function,False,1985 | Alan Bennett | A Private Function,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1986,Woody Allen,Hannah and Her Sisters,False,1986 | Woody Allen | Hannah and Her Sisters,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1987,Alan Bennett,Prick Up Your Ears,False,1987 | Alan Bennett (2) | Prick Up Your Ears,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1988,David Mamet,House of Games,False,1988 | David Mamet | House of Games,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1989,Christopher Hampton,Dangerous Liaisons,False,1989 | Christopher Hampton | Dangerous Liaisons,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1990,Woody Allen,Crimes and Misdemeanors,False,1990 | Woody Allen (2) | Crimes and Misdemeanors,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1991,David Mamet,Homicide,False,1991 | David Mamet (2) | Homicide,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1992,Michael Tolkin,The Player,False,1992 | Michael Tolkin | The Player,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1993,Harold Ramis and Danny Rubin,Groundhog Day,False,1993 | Harold Ramis and Danny Rubin | Groundhog Day,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1994,Quentin Tarantino,Pulp Fiction,False,1994 | Quentin Tarantino | Pulp Fiction,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1995,Paul Attanasio,Quiz Show and Disclosure,False,1995 | Paul Attanasio | Quiz Show and Disclosure,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1996,Joel Coen and Ethan Coen,Fargo,False,1996 | Joel Coen and Ethan Coen | Fargo,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1997,Curtis Hanson and Brian Helgeland,L.A. Confidential,False,1997 | Curtis Hanson and Brian Helgeland | L.A. Confidential,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1998,Andrew Niccol,The Truman Show and Gattaca,False,1998 [ 1 ] | Andrew Niccol | The Truman Show and Gattaca,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1999,Alan Ball,American Beauty,False,1999 | Alan Ball | American Beauty,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2000,Charlie Kaufman,Being John Malkovich,False,2000 | Charlie Kaufman | Being John Malkovich,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2001,Joel Coen and Ethan Coen,The Man Who Wasn't There,False,2001 | Joel Coen and Ethan Coen (2) | The Man Who Wasn't There,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2002,Andrew Bovell,Lantana,False,2002 | Andrew Bovell | Lantana,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2003,John Collee and Peter Weir,Master and Commander: The Far Side of the World,False,2003 [ 2 ] | John Collee and Peter Weir | Master and Commander: The Far Side of the World,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2004,Charlie Kaufman,Eternal Sunshine of the Spotless Mind,False,2004 [ 3 ] | Charlie Kaufman (2) | Eternal Sunshine of the Spotless Mind,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2005,Paul Haggis and Bobby Moresco,Crash,False,2005 [ 4 ] | Paul Haggis and Bobby Moresco | Crash,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
