year,film,person,is_winner,raw_text,source_url
2011,Kenneth Branagh,My Week with Marilyn,False,2011 [ 1 ] | Kenneth Branagh | My Week with Marilyn | Sir Laurence Olivier,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2012,Philip Seymour Hoffman,The Master,False,2012 [ 2 ] | Philip Seymour Hoffman | The Master | Lancaster Dodd,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2013,Barkhad Abdi,Captain Phillips,False,2013 [ 3 ] | Barkhad Abdi | Captain Phillips | Abduwali Muse,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2014,J. K. Simmons,Whiplash,False,2014 [ 4 ] | J. K. Simmons | Whiplash | Terence Fletcher,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2015,Mark Rylance,Bridge of Spies,False,2015 [ 5 ] | Mark Rylance | Bridge of Spies | Rudolf Abel,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2016,Mahershala Ali,Moonlight,False,2016 [ 6 ] | Mahershala Ali | Moonlight | Juan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2016,Love and Friendship,Sir James Martin,False,Tom Bennett | Love and Friendship | Sir James Martin,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2017,Hugh Grant,Paddington 2,False,2017 [ 7 ] | Hugh Grant | Paddington 2 | Phoenix Buchanan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2018,Richard E. Grant,Can You Ever Forgive Me?,False,2018 [ 8 ] | Richard E. Grant | Can You Ever Forgive Me? | Jack Hock,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2019,Joe Pesci,The Irishman,False,2019 [ 9 ] | Joe Pesci | The Irishman | Russell Bufalino,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2020,Shaun Parkes,Small Axe: Mangrove,False,2020 [ 10 ] | Shaun Parkes | Small Axe: Mangrove | Frank Crichlow,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2021,Kodi Smit-McPhee,The Power of the Dog,False,2021 [ 11 ] | Kodi Smit-McPhee | The Power of the Dog | Peter Gordon,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2022,Barry Keoghan,The Banshees of Inisherin,False,2022 [ 12 ] | Barry Keoghan | The Banshees of Inisherin | Dominic Kearney,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2023,Charles Melton,May December,False,2023 [ 13 ] | Charles Melton | May December | Joe Yoo,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2024,Kieran Culkin,A Real Pain,False,2024 [ 14 ] | Kieran Culkin | A Real Pain | Benji Kaplan,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
2025,Sean Penn,One Battle After Another,False,2025 | Sean Penn | One Battle After Another | Col. Steven J. Lockjaw,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actor_of_the_Year
