year,film,person,is_winner,raw_text,source_url
2011,Sareh Bayat,A Separation,True,2011 [ 1 ] | Sareh Bayat | A Separation | Razieh,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2012,Anne Hathaway,Les Misérables,True,2012 [ 2 ] | Anne Hathaway | Les Misérables | Fantine,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2013,Lupita Nyong'o,12 Years a Slave,True,2013 [ 3 ] | Lupita Nyong'o | 12 Years a Slave | Patsey,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2014,Patricia Arquette,Boyhood,True,2014 [ 4 ] | Patricia Arquette | Boyhood | Olivia Evans,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2015,Kate Winslet,Steve Jobs,True,2015 [ 5 ] | Kate Winslet | Steve Jobs | Joanna Hoffman,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2016,Naomie Harris,Moonlight,True,2016 [ 6 ] | Naomie Harris | Moonlight | Paula Harris,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2017,Lesley Manville,Phantom Thread,True,2017 [ 7 ] [ 8 ] | Lesley Manville | Phantom Thread | Cyril Woodcock,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2017,Certain Women,Jamie,False,Lily Gladstone | Certain Women | Jamie,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2017,The Big Sick,Beth Gardner,False,Holly Hunter | The Big Sick | Beth Gardner,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2017,"I, Tonya",LaVona Golden,False,"Allison Janney | I, Tonya | LaVona Golden",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2017,Lady Bird,Marion McPherson,False,Laurie Metcalf | Lady Bird | Marion McPherson,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2018,Rachel Weisz,The Favourite,True,2018 [ 9 ] [ 10 ] | Rachel Weisz | The Favourite | Sarah Churchill,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2018,Widows,Alice,False,Elizabeth Debicki | Widows | Alice,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2018,Bad Times at the El Royale,Darlene Sweet,False,Cynthia Erivo | Bad Times at the El Royale | Darlene Sweet,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2018,First Man,Janet Armstrong,False,Claire Foy | First Man | Janet Armstrong,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2018,If Beale Street Could Talk,Sharon Rivers,False,Regina King | If Beale Street Could Talk | Sharon Rivers,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2019,Laura Dern,Marriage Story,True,2019 [ 11 ] [ 12 ] | Laura Dern [ 13 ] | Marriage Story | Nora Fanshaw,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
2019,Hustlers,Ramona Vega,False,Jennifer Lopez | Hustlers | Ramona Vega,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Supporting_Actress_of_the_Year
