year,film,person,is_winner,raw_text,source_url
2011,Maria Djurkovic – production design,Tinker Tailor Soldier Spy,False,2011 [ 1 ] | Maria Djurkovic – production design | Tinker Tailor Soldier Spy,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2012,Bill Westenhofer – visual effects,Life of Pi,False,2012 [ 2 ] | Bill Westenhofer – visual effects | Life of Pi,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2013,Tim Webber – visual effects,Gravity,False,2013 [ 3 ] | Tim Webber – visual effects | Gravity,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2014,Mica Levi – score,Under the Skin,False,2014 [ 4 ] | Mica Levi – score | Under the Skin,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2015,Edward Lachman – cinematography,Carol,False,2015 [ 5 ] | Edward Lachman – cinematography | Carol,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2016,Sturla Brandth Grøvlen – cinematography,Victoria,False,2016 [ 6 ] | Sturla Brandth Grøvlen – cinematography | Victoria,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2017,Dennis Gassner – production design,Blade Runner 2049,False,2017 [ 7 ] | Dennis Gassner – production design | Blade Runner 2049,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2018,Łukasz Żal – cinematography,Cold War,False,2018 [ 8 ] | Łukasz Żal – cinematography | Cold War,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2019,Barbara Ling – production design,Once Upon a Time in Hollywood,False,2019 [ 9 ] | Barbara Ling – production design | Once Upon a Time in Hollywood,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2020,Lucy Pardee – casting,Rocks,False,2020 [ 10 ] | Lucy Pardee – casting | Rocks,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2021,"Brian Connor , Paul Lambert , Tristan Myles and Gerd Nefzer – visual effects",Dune,False,"2021 [ 11 ] | Brian Connor , Paul Lambert , Tristan Myles and Gerd Nefzer – visual effects | Dune",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2022,Brian Leif Hansen and Guillermo del Toro – animation,Guillermo del Toro's Pinocchio,False,2022 [ 12 ] | Brian Leif Hansen and Guillermo del Toro – animation | Guillermo del Toro's Pinocchio,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2023,Mica Levi and Johnnie Burn – music & sound,The Zone of Interest,False,2023 [ 13 ] | Mica Levi and Johnnie Burn – music & sound | The Zone of Interest,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
2024,Jomo Fray – cinematography,Nickel Boys,False,2024 [ 14 ] | Jomo Fray – cinematography | Nickel Boys,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Technical_Achievement
