year,film,person,is_winner,raw_text,source_url
1981,Bharathiraja,Seethakoka Chiluka,False,1981 | Bharathiraja | Seethakoka Chiluka | [ 2 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1982,U. Visweswar Rao,Keerthi Kantha Kanakam,False,1982 | U. Visweswar Rao | Keerthi Kantha Kanakam | [ 3 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1983,Jandhyala,Ananda Bhairavi,False,1983 | Jandhyala | Ananda Bhairavi | [ 4 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1984,K. Raghavendra Rao,Bobbili Brahmanna,False,1984 | K. Raghavendra Rao | Bobbili Brahmanna | [ 5 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1985,Singeetam Srinivas Rao,Mayuri,False,1985 | Singeetam Srinivas Rao | Mayuri | [ 6 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1986,K. Viswanath,Swati Mutyam,False,1986 | K. Viswanath | Swati Mutyam | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1987,K. Viswanath,Srutilayalu,False,1987 | K. Viswanath | Srutilayalu | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1988,Suresh Krishna,Prema,False,1988 | Suresh Krishna | Prema | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1989,Ram Gopal Varma,Siva,False,1989 | Ram Gopal Varma | Siva | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1990,Kranthi Kumar,Seetharamaiah Gari Manavaralu,False,1990 | Kranthi Kumar | Seetharamaiah Gari Manavaralu | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1991,Ram Gopal Varma,Kshana Kshanam,False,1991 | Ram Gopal Varma | Kshana Kshanam | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1992,C. Umamaheswara Rao,Ankuram,False,1992 | C. Umamaheswara Rao | Ankuram | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1993,K. Raghavendra Rao,Allari Priyudu,False,1993 | K. Raghavendra Rao | Allari Priyudu | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1994,Singeetam Srinivas Rao,Bhairava Dweepam,False,1994 | Singeetam Srinivas Rao | Bhairava Dweepam | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1995,K. Raghavendra Rao,Pelli Sandadi,False,1995 | K. Raghavendra Rao | Pelli Sandadi | [ 7 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1996,Gangaraju Gunnam,Little Soldiers,False,1996 | Gangaraju Gunnam | Little Soldiers | [ 8 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1997,K. Raghavendra Rao,Annamayya,False,1997 | K. Raghavendra Rao | Annamayya | [ 9 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1998,Dasari Narayana Rao,Kante Koothurne Kanu,False,1998 | Dasari Narayana Rao | Kante Koothurne Kanu | [ 9 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
1999,Ram Gopal Varma,Prema Katha,False,1999 | Ram Gopal Varma | Prema Katha | [ 9 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2000,S.V. Krishna Reddy,Sakutumba Saparivara Sametam,False,2000 | S.V. Krishna Reddy | Sakutumba Saparivara Sametam | [ 9 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2001,Teja,Nuvvu Nenu,False,2001 | Teja | Nuvvu Nenu | [ 10 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2002,Krishna Vamsi,Khadgam,False,2002 | Krishna Vamsi | Khadgam | [ 10 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2003,Gunasekhar,Okkadu,False,2003 | Gunasekhar | Okkadu | [ 10 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2004,Sekhar Kammula,Anand,False,2004 | Sekhar Kammula | Anand | [ 10 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2005,Krishna Vamsi,Chakram,False,2005 | Krishna Vamsi | Chakram | [ 10 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2006,Sekhar Kammula,Godavari,False,2006 | Sekhar Kammula | Godavari | [ 11 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2007,Krishna Vamsi,Chandamama,False,2007 | Krishna Vamsi | Chandamama | [ 12 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2008,Radhakrishna Jagarlamudi,Gamyam,False,2008 | Radhakrishna Jagarlamudi | Gamyam | [ 13 ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
2009,S. S. Rajamouli,Magadheera,False,2009 | S. S. Rajamouli | Magadheera | [ citation needed ],https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Director
