year,film,person,is_winner,raw_text,source_url
2016,Pelli Choopulu,Tharun Bhascker Dhaassyam,False,"2016 | Pelli Choopulu | Tharun Bhascker Dhaassyam | Raj Kandukuri Yash Rangineni | Vivek Sagar | Vijay Deverakonda , Ritu Varma",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2015,Baahubali: The Beginning,S. S. Rajamouli,False,"2015 | Baahubali: The Beginning | S. S. Rajamouli | Shobu Yarlagadda | M. M. Keeravani | Prabhas , Rana Daggubati , Anushka Shetty , Ramya Krishnan , Satyaraj , Tamannaah",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2014,Legend,Boyapati Srinu,False,"2014 | Legend | Boyapati Srinu | Korrapati Ranganatha Sai | Devi Sri Prasad | Nandamuri Balakrishna , Radhika Apte",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2013,Mirchi,Koratala Siva,False,"2013 | Mirchi | Koratala Siva | V. Vamsi Krishna Reddy | Devi Sri Prasad | Prabhas , Anushka Shetty",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2012,Eega,S. S. Rajamouli,False,"2012 | Eega | S. S. Rajamouli | Korrapati Ranganatha Sai | M. M. Keeravani | Sudeepa , Nani , Samantha Ruth Prabhu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2011,Sri Rama Rajyam,Bapu,False,"2011 | Sri Rama Rajyam | Bapu | Yalamanchali Sai Babu | Ilaiyaraaja | Nandamuri Balakrishna , Nayantara , Srikanth , Sai Kumar , Akkineni Nageswara Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2010,Vedam,Radhakrishna Jagarlamudi,False,"2010 | Vedam | Radhakrishna Jagarlamudi | Devineni Prasad Yarlagadda Sobhu | M. M. Keeravani | Allu Arjun , Anushka Shetty , Manoj Manchu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2009,Sontha Vooru,P. Sunil Kumar Reddy,False,2009 | Sontha Vooru | P. Sunil Kumar Reddy | Y Ravindra Babu Kishore Basireddy | Saketh Sairam | L. B. Sriram,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2008,Gamyam,Radhakrishna Jagarlamudi,False,"2008 | Gamyam | Radhakrishna Jagarlamudi | Saibabu Jagarlamudi | R. Anil, E. S. Murthy | Allari Naresh , Sharwanand , Kamalinee Mukherjee",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2007,Mee Sreyobhilashi,Eswar Reddy,False,"2007 | Mee Sreyobhilashi | Eswar Reddy | Y. Sonia Reddy | Koti | Rajendra Prasad , Radha Kumari",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2006,Bommarillu,Bhaskar,False,"2006 | Bommarillu | Bhaskar | Dil Raju | Devi Sri Prasad | Siddharth , Genelia D'Souza , Jayasudha , Prakash Raj",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2005,Pothe Poni,Tammareddy Bharadwaja,False,"2005 | Pothe Poni | Tammareddy Bharadwaja | V. Y. Praveen Kumar | Mickey J. Meyer | Sindhu Tolani , Siva Balaji",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2004,Aa Naluguru,Chandra Siddhartha,False,"2004 | Aa Naluguru | Chandra Siddhartha | Sarita Patra | RP Patnaik | Rajendra Prasad , Aamani",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2003,Missamma,Neelakanta,False,"2003 | Missamma | Neelakanta | B. Satyanarayana | Vandemataram Srinivas | Sivaji , Bhoomika Chawla , Laya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2002,Manmadhudu,K. Vijaya Bhaskar,False,"2002 | Manmadhudu | K. Vijaya Bhaskar | Nagarjuna | Devi Sri Prasad | Nagarjuna Akkineni , Sonali Bendre",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2001,Preminchu,Boyina Subba Rao,False,"2001 | Preminchu | Boyina Subba Rao | D. Ramanaidu | M. M. Srilekha | Laya , Sai Kiran",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2000,Chirunavvutho,G. Ramprasad,False,"2000 | Chirunavvutho | G. Ramprasad | P. V. Syam Prasad | Mani Sharma | Venu Thottempudi , Shaheen",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1999,Kalisundam Raa,Uday Shankar,False,"1999 | Kalisundam Raa | Uday Shankar | Daggubati Suresh Babu | S. A. Rajkumar | Venkatesh , Simran",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1998,Tholi Prema,A. Karunakaran,False,"1998 | Tholi Prema | A. Karunakaran | G. V. G. Raju | Deva | Pawan Kalyan , Kirti Reddy",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1997,Annamayya,K. Raghavendra Rao,False,"1997 | Annamayya | K. Raghavendra Rao | Doraswamy Raju | M. M. Keeravani | Nagarjuna , Ramya Krishna , Kasturi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1996,Pavithra Bandham,Muthyala Subbaiah,False,"1996 | Pavithra Bandham | Muthyala Subbaiah | G. Sivaraju C. Venkata Raju | M. M. Keeravani | Venkatesh , Soundarya , S. P. Balasubrahmanyam",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1995,Sogasu Chooda Tharamaa,Gunasekhar,False,"1995 | Sogasu Chooda Tharamaa | Gunasekhar | Ram Gopal | Ramani Prasad [ 3 ] | Naresh , Indraja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1994,Bangaru Kutumbam,Dasari Narayana Rao,False,"1994 | Bangaru Kutumbam | Dasari Narayana Rao | Kaikala Nageswara Rao | Raj–Koti | ANR , Jayasudha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
