year,film,person,is_winner,raw_text,source_url
,Indicates the year in which the film was censored by the Central Board of Film Certification,,False,Year | Indicates the year in which the film was censored by the Central Board of Film Certification (CBFC),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
,Indicates a joint award for that year,,False,† | Indicates a joint award for that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
,Indicates that the winner won the award for two performances in that year,,False,‡ | Indicates that the winner won the award for two performances in that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
,Amitabh Bachchan,,False,4 | Amitabh Bachchan,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
,"Kamal Haasan , Mammootty , Ajay Devgn",,False,"3 | Kamal Haasan , Mammootty , Ajay Devgn",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
,"Om Puri , Naseeruddin Shah , Mithun Chakraborty , Sanjeev Kumar , Mohanlal , Dhanush",,False,"2 | Om Puri , Naseeruddin Shah , Mithun Chakraborty , Sanjeev Kumar , Mohanlal , Dhanush",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1967,Uttam Kumar,Anthony Firingee,False,1967 (15th) ‡ | Uttam Kumar | Anthony Firingee | Antony Firingee | Bengali | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1967,Chiriyakhana,,False,Byomkesh Bakshi | Chiriyakhana,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1968,Ashok Kumar,"Shivnath ""Joggi Thakur"" Choudhary",False,"1968 (16th) | Ashok Kumar | Shivnath ""Joggi Thakur"" Choudhary | Aashirwad | Hindi | [ 10 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1969,Utpal Dutt,Bhuvan Shome,False,1969 (17th) | Utpal Dutt | Bhuvan Shome | Bhuvan Shome | Hindi | [ 11 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1970,Sanjeev Kumar,Hamid Ahmed,False,1970 (18th) | Sanjeev Kumar | Hamid Ahmed | Dastak | Hindi | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1971,M. G. Ramachandran,Selvam,False,1971 (19th) | M. G. Ramachandran | Selvam | Rickshawkaran | Tamil | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1972,Sanjeev Kumar,Hari Charan Mathur,False,1972 (20th) | Sanjeev Kumar | Hari Charan Mathur | Koshish | Hindi | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1973,P. J. Antony,Velichapad,False,1973 (21st) | P. J. Antony | Velichapad | Nirmalyam | Malayalam | [ 2 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1974,Sadhu Meher,Kishtayya,False,1974 (22nd) | Sadhu Meher | Kishtayya | Ankur | Hindi | [ 3 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1975,M. V. Vasudeva Rao,Choma,False,1975 (23rd) | M. V. Vasudeva Rao | Choma | Chomana Dudi | Kannada | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1976,Mithun Chakraborty,Ghinua,False,1976 (24th) | Mithun Chakraborty | Ghinua | Mrigayaa | Hindi | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1977,Bharath Gopi,Shankaran Kutty,False,1977 (25th) | Bharath Gopi | Shankaran Kutty | Kodiyettam | Malayalam | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1978,Arun Mukherjee,Parasuram,False,1978 (26th) | Arun Mukherjee | Parasuram | Parasuram | Bengali | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1979,Naseeruddin Shah,Anirudh Parmar,False,1979 (27th) | Naseeruddin Shah | Anirudh Parmar | Sparsh | Hindi | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1980,Balan K. Nair,Govindan,False,1980 (28th) | Balan K. Nair | Govindan | Oppol | Malayalam | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
1981,Om Puri,Hari Mondal,False,1981 (29th) | Om Puri | Hari Mondal | Arohan | Hindi | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actor
