year,film,person,is_winner,raw_text,source_url
,Indicates the year in which the film was censored by the Central Board of Film Certification,,False,Year | Indicates the year in which the film was censored by the Central Board of Film Certification (CBFC),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
,Indicates a joint award for that year,,False,† | Indicates a joint award for that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
,Indicates that the winner won the award for two performances in that year,,False,‡ | Indicates that the winner won the award for two performances in that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1967,Nargis Dutt,Varuna / Peggy,False,1967 (15th) | Nargis Dutt | Varuna / Peggy [ c ] | Raat Aur Din | Hindi | [ 13 ] [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1968,Sharada,Vijaya,False,1968 (16th) | Sharada | Vijaya | Thulabharam | Malayalam | [ 15 ] [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1969,Madhabi Mukherjee,Supriya,False,1969 (17th) | Madhabi Mukherjee | Supriya | Dibratrir Kabya | Bengali | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1970,Rehana Sultan,Salma Ahmed,False,1970 (18th) | Rehana Sultan | Salma Ahmed | Dastak | Hindi | [ 17 ] [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1971,Waheeda Rehman,Reshma,False,1971 (19th) | Waheeda Rehman | Reshma | Reshma Aur Shera | Hindi | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1972,Sharada,Sita,False,1972 (20th) | Sharada | Sita | Swayamvaram | Malayalam | [ 20 ] [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1973,Nandini Bhaktavatsala,Kamali,False,1973 (21st) | Nandini Bhaktavatsala | Kamali | Kaadu | Kannada | [ 3 ] [ 22 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1974,Shabana Azmi,Lakshmi,False,1974 (22nd) | Shabana Azmi | Lakshmi | Ankur | Hindi | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1975,Sharmila Tagore,"Chanda Thapa, Kajli",False,"1975 (23rd) | Sharmila Tagore | Chanda Thapa, Kajli [ d ] | Mausam | [ 24 ] [ 25 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1976,Lakshmi,Ganga,False,1976 (24th) | Lakshmi | Ganga | Sila Nerangalil Sila Manithargal | Tamil | [ 26 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1977,Smita Patil,Urvashi / Usha,False,1977 (25th) | Smita Patil | Urvashi / Usha [ e ] | Bhumika | Hindi | [ 27 ] [ 28 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1978,Sharada,Bharathi,False,1978 (26th) | Sharada | Bharathi | Nimajjanam | Telugu | [ 29 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1979,Shoba,Kuppamma,False,1979 (27th) | Shoba | Kuppamma | Pasi | Tamil | [ 30 ] [ 31 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1980,Smita Patil,Amma,False,1980 (28th) | Smita Patil | Amma | Chakra | Hindi | [ 32 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1981,Rekha,Amiran,False,1981 (29th) | Rekha | Amiran (Umrao Jaan) [ f ] | Umrao Jaan | Urdu | [ 34 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1982,Shabana Azmi,Pooja Inder Malhotra,False,1982 (30th) | Shabana Azmi | Pooja Inder Malhotra | Arth | Hindi | [ 35 ] [ 36 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1983,Jamini,Khandhar,False,1983 (31st) | Jamini | Khandhar | [ 37 ] [ 38 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1984,Rama,Paar,False,1984 (32nd) | Rama | Paar | [ 39 ] [ 40 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1985,Suhasini,Sindhu,False,1985 (33rd) | Suhasini | Sindhu | Sindhu Bhairavi | Tamil | [ 41 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1986,Monisha Unni,Gouri,False,1986 (34th) | Monisha Unni | Gouri | Nakhakshathangal | Malayalam | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1987,Archana,Sudha,False,1987 (35th) | Archana | Sudha | Veedu | Tamil | [ 42 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1988,Kamalakshi,Daasi,False,1988 (36th) | Kamalakshi | Daasi | Telugu | [ 43 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1989,Sreelekha Mukherji,Lakkhi,False,1989 (37th) | Sreelekha Mukherji | Lakkhi | Parshuramer Kuthar | Bengali | [ 44 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1990,Vijayashanti,Vyjayanthi,False,1990 (38th) | Vijayashanti | Vyjayanthi | Karthavyam | Telugu | [ 45 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1991,Moloya Goswami,Ritu,False,1991 (39th) | Moloya Goswami | Ritu | Firingoti | Assamese | [ 46 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1992,Dimple Kapadia,Shanichari,False,1992 (40th) | Dimple Kapadia | Shanichari | Rudaali | Hindi | [ 47 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1993,Shobana,Ganga / Nagavalli,False,1993 (41st) | Shobana | Ganga / Nagavalli [ g ] | Manichitrathazhu | Malayalam | [ 48 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1994,Debashree Roy,Dr. Aditi Sen,False,1994 (42nd) | Debashree Roy | Dr. Aditi Sen | Unishe April | Bengali | [ 49 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
1995,Seema Biswas,Phoolan Devi,False,1995 (43rd) | Seema Biswas | Phoolan Devi | Bandit Queen | Hindi | [ 50 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Actress
