year,film,person,is_winner,raw_text,source_url
,Recipient,Film,False,Year | Recipient(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1979,Jayoo Patwardhan,22 June 1897,False,1979 (27th) | Jayoo Patwardhan | 22 June 1897 | Marathi | [ 3 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1980,Meera Lakhia,Bhavni Bhavai,False,1980 (28th) | Meera Lakhia | Bhavni Bhavai | Gujarati | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1981,Manzur,Umrao Jaan,False,1981 (29th) | Manzur | Umrao Jaan | Urdu | [ 5 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1982,Nitish Roy,Kharij,False,1982 (30th) | Nitish Roy | Kharij | Bengali | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1983,Nitish Roy,Mandi,False,1983 (31st) | Nitish Roy | Mandi | Hindi | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1984,Nachiket Patwardhan,Utsav,False,1984 (32nd) | Nachiket Patwardhan | Utsav | Hindi | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1984,Jayoo Patwardhan,,False,Jayoo Patwardhan,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1985,Sham Bhutker,Rao Saheb,False,1985 (33rd) | Sham Bhutker | Rao Saheb | Hindi | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1986,P. Krishnamoorthy,Madhvacharya,False,1986 (34th) | P. Krishnamoorthy | Madhvacharya | Kannada | [ 10 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1987,Thota Tharani,Nayakan,False,1987 (35th) | Thota Tharani | Nayakan | Tamil | [ 11 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1988,Thota Vaikuntam,Daasi,False,1988 (36th) | Thota Vaikuntam | Daasi | Telugu | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1989,P. Krishnamoorthy,Oru Vadakkan Veeragatha,False,1989 (37th) | P. Krishnamoorthy | Oru Vadakkan Veeragatha | Malayalam | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1990,Nitish Roy,Lekin...,False,1990 (38th) | Nitish Roy | Lekin... | Hindi | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1991,Samir Chanda,Rukmavati Ki Haveli,False,1991 (39th) | Samir Chanda | Rukmavati Ki Haveli | Hindi | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1992,Samir Chanda,Rudaali,False,1992 (40th) | Samir Chanda | Rudaali | Hindi | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1993,Suresh Sawant,Muhafiz,False,1993 (41st) | Suresh Sawant | Muhafiz | • Hindi • Urdu | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1994,Sabu Cyril,Thenmavin Kombath,False,1994 (42nd) | Sabu Cyril | Thenmavin Kombath | Malayalam | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1995,Sabu Cyril,Kalapani,False,1995 (43rd) | Sabu Cyril | Kalapani | Malayalam | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1996,Thota Tharani,Indian,False,1996 (44th) | Thota Tharani | Indian | Tamil | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
1997,Ramesh Desai,Thaayi Saheba,False,1997 (45th) | Ramesh Desai | Thaayi Saheba | Kannada | [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Art_Direction
