year,film,person,is_winner,raw_text,source_url
,Location Sound Recordist,,False,* | Location Sound Recordist (2009–2021),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
,Sound Designer,,False,* | Sound Designer (2009–2021),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
,Re-recordist of the Final Mixed Track,,False,* | Re-recordist of the Final Mixed Track (2009–2021),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
,Recipient,Film,False,Year | Recipient(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1976,S. P. Ramanathan,Bhakta Kannappa,False,1976 (24th) | S. P. Ramanathan | Bhakta Kannappa | Telugu | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1977,S. P. Ramanathan,Godhuli,False,1977 (25th) | S. P. Ramanathan | Godhuli | Hindi | [ 5 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1978,Hitendra Ghosh,Junoon,False,1978 (26th) | Hitendra Ghosh | Junoon | Hindi | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1979,No Award,,False,1979 (27th) | No Award | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1980,S. P. Ramanathan,Nenjathai Killathe,False,1980 (28th) | S. P. Ramanathan | Nenjathai Killathe | Tamil | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1981,P. Devdas,Elippathayam,False,1981 (29th) | P. Devdas | Elippathayam | Malayalam | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1982,Essabhai M. Suratwala,Namkeen,False,1982 (30th) | Essabhai M. Suratwala | Namkeen | Hindi | [ 10 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1983,S. P. Ramanathan,Adi Shankaracharya,False,1983 (31st) | S. P. Ramanathan | Adi Shankaracharya | Sanskrit | [ 11 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1984,P. Devdas,Mukhamukham,False,1984 (32nd) | P. Devdas | Mukhamukham | Malayalam | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1985,Hitendra Ghosh,Ek Pal,False,1985 (33rd) | Hitendra Ghosh | Ek Pal | Hindi | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1986,Durga Mitra,Path Bhola,False,1986 (34th) | Durga Mitra | Path Bhola | Bengali | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1986,Jyoti Prasad Chatterjee,,False,Jyoti Prasad Chatterjee,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1987,P. Devadas,Anantaram,False,1987 (35th) | P. Devadas | Anantaram | Malayalam | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1987,T. Krishnanunni,,False,T. Krishnanunni,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1987,N. Harikumar,,False,N. Harikumar,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1988,T. Krishnan Unni,Piravi,False,1988 (36th) | T. Krishnan Unni | Piravi | Malayalam | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1989,N. Harikumar,Mathilukal,False,1989 (37th) | N. Harikumar | Mathilukal | Malayalam | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1990,N. Pandurangan,Anjali,False,1990 (38th) | N. Pandurangan | Anjali | Tamil | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1991,Ajay Munjan,Rukmavati Ki Haveli,False,1991 (39th) | Ajay Munjan | Rukmavati Ki Haveli | Hindi | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1991,M. M. Padmanabhan,,False,M. M. Padmanabhan,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1992,N. Pandurangan,Thevar Magan,False,1992 (40th) | N. Pandurangan | Thevar Magan | Tamil | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1993,H. Sridhar,Mahanadi,False,1993 (41st) | H. Sridhar | Mahanadi | Tamil | [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1993,K. M. Surya Narayan,,False,K. M. Surya Narayan (M/s Media Artiste Pvt. Ltd),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1994,A. S. Laxmi Narayanan,Kaadhalan,False,1994 (42nd) | A. S. Laxmi Narayanan | Kaadhalan | Tamil | [ 22 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1994,V. S. Murthy,,False,V. S. Murthy,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1995,Deepan Chatterji,Kalapani,False,1995 (43rd) | Deepan Chatterji | Kalapani | Malayalam | [ 23 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1995,Hindi,,False,Halo | Hindi,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1996,Krishnan Unni,Desadanam,False,1996 (44th) | Krishnan Unni | Desadanam | Malayalam | [ 24 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1997,Sampath,Ennu Swantham Janakikutty,False,1997 (45th) | Sampath | Ennu Swantham Janakikutty | Malayalam | [ 25 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1998,H. Sridhar,Dil Se..,False,1998 (46th) | H. Sridhar | Dil Se.. | Hindi | [ 26 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
1999,Anup Mukhopadhyay,Uttara,False,1999 (47th) | Anup Mukhopadhyay | Uttara | Bengali | [ 27 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2000,Anup Dev,Moksha,False,2000 (48th) | Anup Dev | Moksha | Hindi | [ 28 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2001,H. Sridhar,Lagaan,False,2001 (49th) | H. Sridhar | Lagaan | Hindi | [ 29 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2001,Nakul Kamte,,False,Nakul Kamte,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2002,A. S. Laxmi Narayanan,Kannathil Muthamittal,False,2002 (50th) | A. S. Laxmi Narayanan | Kannathil Muthamittal | Tamil | [ 30 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2002,H. Sridhar,,False,H. Sridhar,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2003,Anup Mukhopadhyay,Bhalo Theko,False,2003 (51st) | Anup Mukhopadhyay | Bhalo Theko | Bengali | [ 31 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2003,Deepon Chatterjee,,False,Deepon Chatterjee,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2004,Anup Mukhopadhyay,Iti Srikanta,False,2004 (52nd) | Anup Mukhopadhyay | Iti Srikanta | Bengali | [ 32 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2004,Alok De,,False,Alok De,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2005,Nakul Kamte,Rang De Basanti,False,2005 (53rd) | Nakul Kamte | Rang De Basanti | Hindi | [ 33 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2006,Shajith Koyeri,Omkara,False,2006 (54th) | Shajith Koyeri | Omkara | Hindi | [ 34 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2006,Subhash Sahoo,,False,Subhash Sahoo,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2006,K. J. Singh,,False,K. J. Singh,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2007,Kunal Sharma,1971,False,2007 (55th) | Kunal Sharma | 1971 | Hindi | [ 35 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2008,Pramod J. Thomas,Gandha,False,2008 (56th) | Pramod J. Thomas | Gandha | Marathi | [ 36 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
2008,Anmol Bhave,,False,Anmol Bhave,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Audiography
