year,film,person,is_winner,raw_text,source_url
,Swarna Kamal for the Best Children's Film,,False,* | Swarna Kamal (Gold Medal) for the Best Children's Film,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
,Certificate of Merit for the Second Best Children's Film,,False,* | Certificate of Merit for the Second Best Children's Film,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
,Certificate of Merit for the Third Best Children's Film,,False,* | Certificate of Merit for the Third Best Children's Film,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
,Certificate of Merit for the Best Children's Film,,False,* | Certificate of Merit for the Best Children's Film,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
,Indicates a joint award for that year,,False,* | Indicates a joint award for that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
,Film,Language,False,Year | Film(s) | Language(s) | Producer(s) | Director(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1953,Khela Ghar,Bengali,False,1953 (1st) | Khela Ghar | Bengali | Aurora Films | – | [ 1 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1954,No Award,,False,1954 (2nd) | No Award | [ 2 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1955,No Award,,False,1955 (3rd) | No Award | [ 3 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1956,Jaldeep,Bengali,False,1956 (4th) | Jaldeep | Bengali | Children's Film Society | Kidar Sharma | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1957,Hum Panchhi Ek Daal Ke,Hindi,False,1957 (5th) | Hum Panchhi Ek Daal Ke | Hindi | AVM Productions | P. L. Santoshi | [ 5 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1957,Bengali,R. B. Films,False,Janmatithi | Bengali | R. B. Films | Dilip Mukherjee,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1958,Virsa and the Magic Doll,English,False,1958 (6th) | Virsa and the Magic Doll | English | Little Cinema Pvt Ltd. | Santi P. Chowdhury | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
1959,Banyan Deer,English,False,1959 (7th) | Banyan Deer | English | Films Division | • Ahmed Lateef • Shanti Verma • G. G. Saraiya | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Children%27s_Film
