year,film,person,is_winner,raw_text,source_url
,Recipient,Film,False,Year | Recipient(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1984,Harudas,Ghare Baire,False,1984 (32nd) | Harudas | Ghare Baire | Bengali | [ 1 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1984,Bapuldas,,False,Bapuldas,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1985,Saba Zaidi,Trikal,False,1985 (33rd) | Saba Zaidi | Trikal | Hindi | [ 2 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1986,Prabhat Jha,Parinati,False,1986 (34th) | Prabhat Jha | Parinati | Hindi | [ 3 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1987,Ramilla Patel,Pestonjee,False,1987 (35th) | Ramilla Patel | Pestonjee | Hindi | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1987,Mani Rabadi,,False,Mani Rabadi,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1988,Sudharshan,Daasi,False,1988 (36th) | Sudharshan | Daasi | Telugu | [ 5 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1989,P. Krishnamoorthy,Oru Vadakkan Veeragatha,False,1989 (37th) | P. Krishnamoorthy | Oru Vadakkan Veeragatha | Malayalam | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1990,Bhanu Athaiya,Lekin...,False,1990 (38th) | Bhanu Athaiya | Lekin... | Hindi | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1991,Neeta Lulla,Lamhe,False,1991 (39th) | Neeta Lulla | Lamhe | Hindi | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1991,Kachins,,False,Kachins,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1991,Leena Daru,,False,Leena Daru,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1992,Mala Dey,Rudaali,False,1992 (40th) | Mala Dey | Rudaali | Hindi | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
1992,Simple Kapadia,,False,Simple Kapadia,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Costume_Design
