year,film,person,is_winner,raw_text,source_url
,Recipient,Film,False,Year | Recipient(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1976,K. Babu Rao,Siri Siri Muvva,False,1976 (24th) | K. Babu Rao | Siri Siri Muvva | Telugu | [ 1 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1977,Waman Bhonsle,Inkaar,False,1977 (25th) | Waman Bhonsle | Inkaar | Hindi | [ 2 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1977,Gurudutt Shirali,,False,Gurudutt Shirali,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1978,Gangadhar Naskar,Parasuram,False,1978 (26th) | Gangadhar Naskar | Parasuram | Bengali | [ 3 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1979,Gangadhar Naskar,Ek Din Pratidin,False,1979 (27th) | Gangadhar Naskar | Ek Din Pratidin | Bengali | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1980,Gangadhar Naskar,Akaler Shandhaney,False,1980 (28th) | Gangadhar Naskar | Akaler Shandhaney | Bengali | [ 5 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1981,Bhanudas Divakar,Arohan,False,1981 (29th) | Bhanudas Divakar | Arohan | Hindi | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1982,Keshav Hirani,Arth,False,1982 (30th) | Keshav Hirani | Arth | Hindi | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1983,Mrinmoy Chakraborty,Khandhar,False,1983 (31st) | Mrinmoy Chakraborty | Khandhar | Hindi | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1984,Anil Malnad,Sitaara,False,1984 (32nd) | Anil Malnad | Sitaara | Telugu | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1985,Babu Sheikh,Hum Naujawan,False,1985 (33rd) | Babu Sheikh | Hum Naujawan | Hindi | [ 10 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1986,Sanjiv Shah,Mirch Masala,False,1986 (34th) | Sanjiv Shah | Mirch Masala | Hindi | [ 11 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1987,P. Mohanraj,Vedham Pudhithu,False,1987 (35th) | P. Mohanraj | Vedham Pudhithu | Tamil | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1988,A. Sreekar Prasad,Raakh,False,1988 (36th) | A. Sreekar Prasad | Raakh | Hindi | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1989,Renu Saluja,Parinda,False,1989 (37th) | Renu Saluja | Parinda | Hindi | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1990,M. S. Mani,Iyer the Great,False,1990 (38th) | M. S. Mani | Iyer the Great | Malayalam | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1991,Renu Saluja,Dharavi,False,1991 (39th) | Renu Saluja | Dharavi | Hindi | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1992,M. S. Mani,Sargam,False,1992 (40th) | M. S. Mani | Sargam | Malayalam | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1993,Renu Saluja,Sardar,False,1993 (41st) | Renu Saluja | Sardar | Hindi | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1994,B. Lenin,Kaadhalan,False,1994 (42nd) | B. Lenin | Kaadhalan | Tamil | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1994,V. T. Vijayan,,False,V. T. Vijayan,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1995,Suresh Urs,Bombay,False,1995 (43rd) | Suresh Urs | Bombay | Tamil | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1996,A. Sreekar Prasad,Rag Birag,False,1996 (44th) | A. Sreekar Prasad | Rag Birag | Assamese | [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1997,A. Sreekar Prasad,The Terrorist,False,1997 (45th) | A. Sreekar Prasad | The Terrorist | Tamil | [ 22 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1998,Renu Saluja,Godmother,False,1998 (46th) | Renu Saluja | Godmother | Hindi | [ 23 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
1999,A. Sreekar Prasad,Vanaprastham,False,1999 (47th) | A. Sreekar Prasad | Vanaprastham | Malayalam | [ 24 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2000,Suresh Pai,Snip!,False,2000 (48th) | Suresh Pai | Snip! | English | [ 25 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2000,Apurva Asrani,,False,Apurva Asrani,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2001,Beena Paul,"Mitr, My Friend",False,"2001 (49th) | Beena Paul | Mitr, My Friend | English | [ 26 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2002,A. Sreekar Prasad,Kannathil Muthamittal,False,2002 (50th) | A. Sreekar Prasad | Kannathil Muthamittal | Tamil | [ 27 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2003,Aarif Sheikh,Samay: When Time Strikes,False,2003 (51st) | Aarif Sheikh | Samay: When Time Strikes | Hindi | [ 28 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2004,Suresh Pai,Page 3,False,2004 (52nd) | Suresh Pai | Page 3 | Hindi | [ 29 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2005,P. S. Bharati,Rang De Basanti,False,2005 (53rd) | P. S. Bharati | Rang De Basanti | Hindi | [ 30 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2006,Raja Mohammad,Paruthiveeran,False,2006 (54th) | Raja Mohammad | Paruthiveeran | Tamil | [ 31 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2007,B. Ajith Kumar,Naalu Pennungal,False,2007 (55th) | B. Ajith Kumar | Naalu Pennungal | Malayalam | [ 32 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2008,A. Sreekar Prasad,Firaaq,False,2008 (56th) | A. Sreekar Prasad | Firaaq | Hindi | [ 33 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2009,Arghyakamal Mitra,Abohomaan,False,2009 (57th) | Arghyakamal Mitra | Abohomaan | Bengali | [ 34 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2010,Kishore Te.,Aadukalam,False,2010 (58th) | Kishore Te. | Aadukalam | Tamil | [ 35 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2011,Praveen K. L.,Aaranya Kaandam,False,2011 (59th) | Praveen K. L. | Aaranya Kaandam | Tamil | [ 36 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2011,N. B. Srikanth,,False,N. B. Srikanth,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2012,Namrata Rao,Kahaani,False,2012 (60th) | Namrata Rao | Kahaani | Hindi | [ 37 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2013,V. J. Sabu Joseph,Vallinam,False,2013 (61st) | V. J. Sabu Joseph | Vallinam | Tamil | [ 38 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2014,Vivek Harshan,Jigarthanda,False,2014 (62nd) | Vivek Harshan | Jigarthanda | Tamil | [ 39 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2015,Kishore Te,Visaranai,False,2015 (63rd) | Kishore Te | Visaranai | Tamil | [ 40 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2016,Rameshwar S. Bhagat,Ventilator,False,2016 (64th) | Rameshwar S. Bhagat | Ventilator | Marathi | [ 41 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
2017,Rima Das,Village Rockstars,False,2017 (65th) | Rima Das | Village Rockstars | Assamese | ,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Editing
