year,film,person,is_winner,raw_text,source_url
,Film,Language,False,Year | Film(s) | Language(s) | Producer(s) | Director(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1953,Shyamchi Aai,Marathi,False,1953 (1st) | Shyamchi Aai | Marathi | Pralhad Keshav Atre | Pralhad Keshav Atre | [ 1 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1954,Mirza Ghalib,Hindi,False,1954 (2nd) | Mirza Ghalib | Hindi | Sohrab Modi | Sohrab Modi | [ 29 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1955,Pather Panchali,Bengali,False,1955 (3rd) | Pather Panchali | Bengali | Government of West Bengal | Satyajit Ray | [ 30 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1956,Kabuliwala,Bengali,False,1956 (4th) | Kabuliwala | Bengali | Charuchitra | Tapan Sinha | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1957,Do Aankhen Barah Haath,Hindi,False,1957 (5th) | Do Aankhen Barah Haath | Hindi | V. Shantaram | V. Shantaram | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1958,Sagar Sangamey,Bengali,False,1958 (6th) | Sagar Sangamey | Bengali | De Luxe Film Distributors | Debaki Bose | [ 31 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1959,Apur Sansar,Bengali,False,1959 (7th) | Apur Sansar | Bengali | Satyajit Ray Productions | Satyajit Ray | [ 32 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1960,Anuradha,Hindi,False,1960 (8th) | Anuradha | Hindi | Hrishikesh Mukherjee and L. B. Thakur | Hrishikesh Mukherjee | [ 33 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1961,Bhagini Nivedita,Bengali,False,1961 (9th) | Bhagini Nivedita | Bengali | Aurora Film Corporation | Bijoy Bose | [ 34 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
1962,Dada Thakur,Bengali,False,1962 (10th) | Dada Thakur | Bengali | Shyamlal Jalan | Sudhir Mukherjee | [ 35 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Feature_Film
