year,film,person,is_winner,raw_text,source_url
,Indicates the year in which the film was censored by the Central Board of Film Certification,,False,Year | Indicates the year in which the film was censored by the Central Board of Film Certification (CBFC),https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
,Indicates a joint award for that year,,False,† | Indicates a joint award for that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
,Indicates that the winner won the award for two renditions from the same or two different films in that year,,False,‡ | Indicates that the winner won the award for two renditions from the same or two different films in that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
,Indicates that the winner won the award for various renditions in that year,,False,⸸ | Indicates that the winner won the award for various renditions in that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
,6,"1985 , 1986 , 1988 , 1996 , 1997 , 2004",False,"K. S. Chithra | 6 | 1985 , 1986 , 1988 , 1996 , 1997 , 2004",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
,5,"1968 , 1971 , 1976 , 1982 , 1983",False,"P. Susheela | 5 | 1968 , 1971 , 1976 , 1982 , 1983",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
2002,"2002 , 2005 , 2007 , 2008 , 2021",,False,"2002 , 2005 , 2007 , 2008 , 2021",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
2002,4,"1977 , 1980 , 1984 , 1992",False,"S. Janaki | 4 | 1977 , 1980 , 1984 , 1992",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1968,P. Susheela,Paal Polave,False,"1968 (16th) | P. Susheela | ""Paal Polave"" | Uyarndha Manithan | Tamil | [ 5 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1969,K. B. Sundarambal,Pazhanimalai Meethile,False,"1969 (17th) | K. B. Sundarambal | ""Pazhanimalai Meethile"" | Thunaivan | Tamil | [ 6 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1970,Sandhya Mukhopadhyay,Amader Chhuti Chhuti,False,"1970 (18th) ‡ | Sandhya Mukhopadhyay | ""Amader Chhuti Chhuti"" | Jay Jayanti [ b ] | Bengali | [ 7 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1970,Nishi Padma,,False,"""Ore Sakol Sona Molin Holo"" | Nishi Padma",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1971,P. Susheela,Chittukuruvikkena Kattupaadu,False,"1971 (19th) | P. Susheela | ""Chittukuruvikkena Kattupaadu"" | Savaale Samali | Tamil | [ 8 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1972,Lata Mangeshkar,Beeti Naa Bitaai Raina,False,"1972 (20th) | Lata Mangeshkar | ""Beeti Naa Bitaai Raina"" | Parichay | Hindi | [ 9 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1973,No awards,,False,1973 (21st) | No awards | [ 10 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1974,Lata Mangeshkar,Roothe Roothe Piya,False,"1974 (22nd) | Lata Mangeshkar | ""Roothe Roothe Piya"" | Kora Kagaz | Hindi | [ 11 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1975,Vani Jairam,Yezhu Swarangalukkul,False,"1975 (23rd) | Vani Jairam | ""Yezhu Swarangalukkul"" | Apoorva Raagangal | Tamil | [ 12 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1976,P. Susheela,Jhummandi Naadham,False,"1976 (24th) | P. Susheela | ""Jhummandi Naadham"" | Siri Siri Muvva | Telugu | [ 8 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1977,S. Janaki,Senthoora Poove,False,"1977 (25th) | S. Janaki | ""Senthoora Poove"" | 16 Vayathinile | Tamil | [ 13 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1978,Chhaya Ganguly,Aap Ki Yaad Aati Rahi Raat Bhar,False,"1978 (26th) | Chhaya Ganguly | ""Aap Ki Yaad Aati Rahi Raat Bhar"" | Gaman | Hindi | [ 14 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1979,Vani Jairam,,False,1979 (27th) ⸸ | Vani Jairam | – [ c ] | Sankarabharanam | Telugu | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
1980,S. Janaki,Ettumanoor Ambalathil Ezhunnallathu,False,"1980 (28th) | S. Janaki | ""Ettumanoor Ambalathil Ezhunnallathu"" | Oppol | Malayalam | [ 16 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Female_Playback_Singer
