year,film,person,is_winner,raw_text,source_url
,Recipient,Song,False,Year | Recipient(s) | Song(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1968,Kannadasan,,False,1968 (16th) | Kannadasan | – | Kuzhanthaikkaga | Tamil | [ 4 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1969,Kaifi Azmi,Aandhi Aaye Ki Toofan,False,"1969 (17th) | Kaifi Azmi | ""Aandhi Aaye Ki Toofan"" | Saat Hindustani | Hindi | [ 5 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1970,No Award,,False,1970 (18th) | No Award | [ 6 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1971,Prem Dhawan,,False,1971 (19th) | Prem Dhawan | – | Nanak Dukhiya Sub Sansar | Punjabi | [ 7 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1972,Vayalar Ramavarma,,False,1972 (20th) | Vayalar Ramavarma | – | Achanum Bappayum | Malayalam | [ 8 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1973,No Award,,False,1973 (21st) | No Award | [ 9 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1974,Sri Sri,Telugu Veera Levara,False,"1974 (22nd) | Sri Sri | ""Telugu Veera Levara"" | Alluri Seetharamaraju | Telugu | [ 10 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1975,No Award,,False,1975 (23rd) | No Award | [ 11 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1976,No Award,,False,1976 (24th) | No Award | [ 12 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1977,No Award,,False,1977 (25th) | No Award | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1978,No Award,,False,1978 (26th) | No Award | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1979,No Award,,False,1979 (27th) | No Award | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1980,No Award,,False,1980 (28th) | No Award | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1981,No Award,,False,1981 (29th) | No Award | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1982,No Award,,False,1982 (30th) | No Award | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1983,No Award,,False,1983 (31st) | No Award | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1984,Vasant Dev,,False,1984 (32nd) | Vasant Dev | – | Saaransh | Hindi | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1985,Vairamuthu,,False,1985 (33rd) | Vairamuthu | – | Muthal Mariyathai | Tamil | [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1986,No Award,,False,1986 (34th) | No Award | [ 22 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1987,Gulzar,Mera Kuchh Saamaan,False,"1987 (35th) | Gulzar | "" Mera Kuchh Saamaan "" | Ijaazat | Hindi | [ 23 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1988,O. N. V. Kurup,,False,1988 (36th) | O. N. V. Kurup | – | Vaishali | Malayalam | [ 24 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
1989,Satarupa Sanyal,,False,1989 (37th) | Satarupa Sanyal | – | Chhandaneer | Bengali | [ 25 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Lyrics
