year,film,person,is_winner,raw_text,source_url
,Indicates a joint award for that year,,False,† | Indicates a joint award for that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
,Indicates that the winner won the award for two performances in that year,,False,‡ | Indicates that the winner won the award for two performances in that year,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1984,Victor Banerjee,Nikhilesh Choudhury,False,1984 (32nd) | Victor Banerjee | Nikhilesh Choudhury | Ghare Baire | Bengali | [ 13 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1985,Dipankar De,Husband,False,1985 (33rd) | Dipankar De | Husband | Parama | Bengali | [ 14 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1986,Suresh Oberoi,Mukhi,False,1986 (34th) | Suresh Oberoi | Mukhi | Mirch Masala | Hindi | [ 15 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1987,Thilakan,Neduvancheril Achunni Nair,False,1987 (35th) | Thilakan | Neduvancheril Achunni Nair (Mooppil Nair) | Rithubhedam | Malayalam | [ 16 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1988,Pankaj Kapur,Inspector P. K.,False,1988 (36th) | Pankaj Kapur | Inspector P. K. | Raakh | Hindi | [ 17 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1989,Nana Patekar,Anna Seth,False,1989 (37th) | Nana Patekar | Anna Seth | Parinda | Hindi | [ 18 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1990,Nedumudi Venu,Maharaja Udayavarma Thampuran,False,1990 (38th) | Nedumudi Venu | Maharaja Udayavarma Thampuran | His Highness Abdullah | Malayalam | [ 19 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1991,P. L. Narayana,Appala Nayudu,False,1991 (39th) | P. L. Narayana | Appala Nayudu | Yagnam | Telugu | [ 20 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1992,Sunny Deol,Govind Srivatsav,False,1992 (40th) | Sunny Deol | Govind Srivatsav | Damini – Lightning | Hindi | [ 21 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1993,Paresh Rawal,• Lalitram Mohan Roy • Velji,False,1993 (41st) ‡ | Paresh Rawal | • Lalitram Mohan Roy • Velji | • Woh Chokri • Sir | Hindi | [ 22 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1994,Ashish Vidyarthi,Commander Bhadra,False,1994 (42nd) † | Ashish Vidyarthi | Commander Bhadra | Drohkaal | Hindi | [ 23 ],https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
1994,Prabhakar Rao,Nammavar,False,Nagesh | Prabhakar Rao | Nammavar | Tamil,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Supporting_Actor
