year,film,person,is_winner,raw_text,source_url
,Vidya Balan Priyanka Chopra,3,False,Actress with most awards | Vidya Balan Priyanka Chopra | 3,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
,Deepika Padukone,8,False,Actress with most nominations | Deepika Padukone | 8,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
,Aishwarya Rai Kangana Ranaut,3,False,Actress with most nominations without ever winning | Aishwarya Rai Kangana Ranaut | 3,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
,Deepika Padukone,3,False,Actress with most nominations in a single year | Deepika Padukone (2014) | 3,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,2004,,True,2004,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,Bhoot,Swati,True,Urmila Matondkar ‡ | Bhoot | Swati,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,Tere Naam,Nirjala Bhardwaj,False,Bhoomika Chawla ‡ | Tere Naam | Nirjala Bhardwaj,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,Joggers' Park,Jenny Suratwala,False,Perizaad Zorabian | Joggers' Park | Jenny Suratwala,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,Kal Ho Naa Ho,Naina Catherine Kapur,False,Preity Zinta † | Kal Ho Naa Ho | Naina Catherine Kapur,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2004,Pinjar,Puro/Hamida,False,Urmila Matondkar | Pinjar | Puro/Hamida,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2005,No award,--,True,2005 | No award | -- | --,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,2006,,True,2006,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,Black,Michelle McNally,True,Rani Mukerji † | Black | Michelle McNally,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,Hazaaron Khwaishein Aisi,Geeta Rao,False,Chitrangada Singh | Hazaaron Khwaishein Aisi | Geeta Rao,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,Hum Tum,Rhea Prakash,False,Rani Mukerji † | Hum Tum | Rhea Prakash,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,Maine Gandhi Ko Nahin Mara,Trisha Chaudhary,False,Urmila Matondkar | Maine Gandhi Ko Nahin Mara | Trisha Chaudhary,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2006,Parineeta,Lalita,False,Vidya Balan ‡ | Parineeta | Lalita,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2007,No award,--,True,2007 | No award | -- | --,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,2008,,True,2008,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,Jab We Met,Geet Dhillon,True,Kareena Kapoor † | Jab We Met | Geet Dhillon,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,Guru,Sujata Desai,False,Aishwarya Rai ‡ | Guru | Sujata Desai,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,Laaga Chunari Mein Daag,"Vibhavari ""Badki"" S. Sahay",False,"Rani Mukerji ‡ | Laaga Chunari Mein Daag | Vibhavari ""Badki"" S. Sahay",https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,Life in a... Metro,Shikha,False,Shilpa Shetty | Life in a... Metro | Shikha,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2008,Cheeni Kum,Nina Verma,False,Tabu | Cheeni Kum | Nina Verma,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,2009,,True,2009,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,Fashion,Meghna Mathur,True,Priyanka Chopra † | Fashion | Meghna Mathur,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,Jodhaa Akbar,Rajkumari Jodhaa,False,Aishwarya Rai Bachchan ‡ | Jodhaa Akbar | Rajkumari Jodhaa,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,Race,Sonia,False,Bipasha Basu | Race | Sonia,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,Jaane Tu... Ya Jaane Na,Aditi,False,Genelia D'Souza | Jaane Tu... Ya Jaane Na | Aditi ('Meow'),https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
2009,Khoya Khoya Chand,Nikhat,False,Soha Ali Khan | Khoya Khoya Chand | Nikhat,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Actress_in_a_Leading_Role
