year,film,person,is_winner,raw_text,source_url
,"Priyanka Chopra , Ronit Roy",,False,"2 | Priyanka Chopra , Ronit Roy",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
1996,Mithun Chakraborty,Jallad,False,1996 | Mithun Chakraborty | Jallad,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
1997,Ashish Vidyarthi,Is Raat Ki Subah Nahin,False,1997 | Ashish Vidyarthi | Is Raat Ki Subah Nahin,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
1997,Khiladiyon Ka Khiladi,,False,Rekha | Khiladiyon Ka Khiladi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
1998,Mohan Joshi,Mrityudand,False,1998 | Mohan Joshi | Mrityudand,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
1999,Ashutosh Rana,Dushman,False,1999 | Ashutosh Rana | Dushman,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2000,Sayaji Shinde,Shool,False,2000 | Sayaji Shinde | Shool,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2001,Rajpal Yadav,Jungle,False,2001 | Rajpal Yadav | Jungle,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2002,Manoj Bajpai,Aks,False,2002 | Manoj Bajpai | Aks,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2003,Ajay Devgan,Deewangee,False,2003 | Ajay Devgan | Deewangee,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2004,-,-,False,2004 | - | -,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2005,Priyanka Chopra,Aitraaz,False,2005 | Priyanka Chopra | Aitraaz,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2006,Nana Patekar,Apaharan,False,2006 | Nana Patekar | Apaharan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2007,Saif Ali Khan,Omkara,False,2007 | Saif Ali Khan | Omkara,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2008,Pankaj Kapoor,The Blue Umbrella,False,2008 | Pankaj Kapoor | The Blue Umbrella,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2009,Akshaye Khanna,Race,False,2009 | Akshaye Khanna | Race,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2010,Boman Irani,3 Idiots,False,2010 | Boman Irani | 3 Idiots,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2011,Ronit Roy,Udaan,False,2011 | Ronit Roy | Udaan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2012,Prashant Narayanan,Murder 2,False,2012 | Prashant Narayanan | Murder 2,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2012,7 Khoon Maaf,,False,Priyanka Chopra | 7 Khoon Maaf,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2013,Tigmanshu Dhulia,Gangs of Wasseypur,False,2013 | Tigmanshu Dhulia | Gangs of Wasseypur,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2014,Rishi Kapoor,D-Day,False,2014 | Rishi Kapoor | D-Day,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2014,B.A. Pass,,False,Shilpa Shukla | B.A. Pass,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2015,Huma Qureshi,Dedh Ishqiya,False,2015 | Huma Qureshi | Dedh Ishqiya,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2015,Mardaani,,False,Tahir Raj Bhasin | Mardaani,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
2016,Ronit Roy,Guddu Rangeela,False,2016 | Ronit Roy | Guddu Rangeela [ 1 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor_in_a_Negative_Role
