year,film,person,is_winner,raw_text,source_url
,"Shah Rukh Khan , Hrithik Roshan , Ranveer Singh , Amitabh Bachchan",,False,"4 | Shah Rukh Khan , Hrithik Roshan , Ranveer Singh , Amitabh Bachchan",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
,"Ajay Devgan , Ranbir Kapoor , Irrfan Khan",,False,"2 | Ajay Devgan , Ranbir Kapoor , Irrfan Khan",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
1995,Nana Patekar,Krantiveer,False,1995 | Nana Patekar | Krantiveer | Pratap Narayan Tilak,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
1996,Shah Rukh Khan,Dilwale Dulhania Le Jayenge,False,1996 | Shah Rukh Khan | Dilwale Dulhania Le Jayenge | Raj Malhotra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
1997,Aamir Khan,Raja Hindustani,False,1997 | Aamir Khan | Raja Hindustani | Raja Hindustani,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
1998,Anil Kapoor,Virasat,False,1998 | Anil Kapoor | Virasat | Shakti Thakur,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
1999,Ajay Devgan,Zakhm,False,1999 | Ajay Devgan | Zakhm | Ajay R. Desai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2000,Sanjay Dutt,Vaastav,False,2000 | Sanjay Dutt | Vaastav | Raghunath Namdev Shivalkar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2001,Hrithik Roshan,Kaho Naa... Pyaar Hai,False,2001 | Hrithik Roshan | Kaho Naa... Pyaar Hai | Rohit/Raj Chopra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2002,Sunny Deol,Gadar: Ek Prem Katha,False,2002 | Sunny Deol | Gadar: Ek Prem Katha | Tara Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2003,• Ajay Devgan • Shah Rukh Khan,• Company • Devdas,False,2003 | • Ajay Devgan • Shah Rukh Khan | • Company • Devdas | • Malik • Devdas Mukherjee,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2004,Hrithik Roshan,Koi... Mil Gaya,False,2004 | Hrithik Roshan | Koi... Mil Gaya | Rohit Mehra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2005,Shah Rukh Khan,Veer-Zaara,False,2005 | Shah Rukh Khan | Veer-Zaara | Veer Pratap Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
2006,Amitabh Bachchan,Black,False,2006 | Amitabh Bachchan | Black | Debraj Sahai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actor
