year,film,person,is_winner,raw_text,source_url
,Vidya Balan,5,False,Actress with most awards | Vidya Balan | 5,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,4,,False,Actress with most consecutive awards | 4,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,Kajol Aishwarya Rai,9,False,Actress with most nominations | Kajol Aishwarya Rai | 9,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,"Karisma Kapoor , Preity Zinta , Kangana Ranaut",5,False,"Actress with most nominations without ever winning | Karisma Kapoor , Preity Zinta , Kangana Ranaut | 5",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,"Kajol , Aishwarya Rai , Priyanka Chopra , Vidya Balan , Deepika Padukone Alia Bhatt , Anushka Sharma",2,False,"Actress with most nominations in a single year | Kajol (1999) , Aishwarya Rai (2000) , Priyanka Chopra (2010) , Vidya Balan (2012) , Deepika Padukone (2014) Alia Bhatt (2017) , Anushka Sharma (2017) | 2",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,Vidya Balan,38,False,Eldest winner | Vidya Balan | 38,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,Sharmila Tagore,61,False,Eldest nominee | Sharmila Tagore | 61,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,Alia Bhatt,23,False,Youngest winner | Alia Bhatt | 23,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
,"Kajol, Ayesha Takia",20,False,"Youngest nominee | Kajol, Ayesha Takia | 20",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1995,Hum Aapke Hain Koun...!,Nisha Choudhury,True,Madhuri Dixit † | Hum Aapke Hain Koun...! | Nisha Choudhury,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1995,Yeh Dillagi,Sapna Bannerjee,False,Kajol ‡ | Yeh Dillagi | Sapna Bannerjee,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1996,1996,,True,1996,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1996,Raja,Madhu Garewal,True,Madhuri Dixit | Raja | Madhu Garewal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1996,Dilwale Dulhania Le Jayenge,Simran Singh,False,Kajol † | Dilwale Dulhania Le Jayenge | Simran Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1997,Khamoshi: The Musical,Annie J. Braganza,True,Manisha Koirala ‡ | Khamoshi: The Musical | Annie J. Braganza,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1997,Daraar,Priya Bhatia,False,Juhi Chawla ‡ | Daraar | Priya Bhatia,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1997,Raja Hindustani,Aarti Sehgal,False,Karisma Kapoor † | Raja Hindustani | Aarti Sehgal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1998,Mrityudand,Ketki,True,Madhuri Dixit | Mrityudand | Ketki,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1998,Yes Boss,Seema Kapoor,False,Juhi Chawla ‡ | Yes Boss | Seema Kapoor,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1998,Aastha,Mansi,False,Rekha | Aastha | Mansi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1998,Judaai,Kaajal Verma,False,Sridevi ‡ | Judaai | Kaajal Verma,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1998,Virasat,Gehna,False,Tabu ‡ | Virasat | Gehna,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1999,Dushman,Sonia / Naina Saigal,True,Kajol ‡ | Dushman | Sonia / Naina Saigal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1999,Kuch Kuch Hota Hai,Anjali Sharma,False,Kajol † | Kuch Kuch Hota Hai | Anjali Sharma,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1999,Dil Se..,Meghna,False,Manisha Koirala ‡ | Dil Se.. | Meghna,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1999,Zakhm,Mrs. Desai,False,Pooja Bhatt | Zakhm | Mrs. Desai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
1999,Ghulam,Alisha,False,Rani Mukerji | Ghulam | Alisha,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Hum Dil De Chuke Sanam,Nandini Durbar,True,Aishwarya Rai † | Hum Dil De Chuke Sanam | Nandini Durbar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Taal,Mansi Shankar,False,Aishwarya Rai ‡ | Taal | Mansi Shankar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Hum Aapke Dil Mein Rehte Hain,Megha,False,Kajol ‡ | Hum Aapke Dil Mein Rehte Hain | Megha,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Biwi No.1,Pooja Mehra,False,Karisma Kapoor ‡ | Biwi No.1 | Pooja Mehra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Godmother,Rambhi,False,Shabana Azmi | Godmother | Rambhi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2000,Hu Tu Tu,Paana Barve,False,Tabu ‡ | Hu Tu Tu | Paana Barve,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2001,Astitva,Aditi Pandit,True,Tabu ‡ | Astitva | Aditi Pandit,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2001,Hamara Dil Aapke Paas Hai,Preeti Vyas,False,Aishwarya Rai ‡ | Hamara Dil Aapke Paas Hai | Preeti Vyas,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2001,Fiza,Fiza Ikramullah,False,Karisma Kapoor † | Fiza | Fiza Ikramullah,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2001,Pukar,Anjali,False,Madhuri Dixit ‡ | Pukar | Anjali,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2001,Kya Kehna,Priya Bakshi,False,Preity Zinta ‡ | Kya Kehna | Priya Bakshi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2002,Kabhi Khushi Kabhie Gham,Anjali Sharma,True,Kajol † | Kabhi Khushi Kabhie Gham | Anjali Sharma,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2002,Gadar: Ek Prem Katha,Sakina,False,Amisha Patel ‡ | Gadar: Ek Prem Katha | Sakina,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2002,Zubeidaa,Zubeida Begum,False,Karisma Kapoor ‡ | Zubeidaa | Zubeida Begum,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2002,Chandni Bar,Mumtaz Ali Ansari,False,Tabu ‡ | Chandni Bar | Mumtaz Ali Ansari,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2002,Pyaar Tune Kya Kiya,Ria Jaiswal,False,Urmila Matondkar | Pyaar Tune Kya Kiya | Ria Jaiswal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2003,Devdas,"Parvati ""Paro"" Chakraborty",True,"Aishwarya Rai † | Devdas | Parvati ""Paro"" Chakraborty",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2003,Shakti – The Power,Nandini,False,Karisma Kapoor ‡ | Shakti – The Power | Nandini,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2003,Dil Hai Tumhaara,Shalu,False,Preity Zinta | Dil Hai Tumhaara | Shalu,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2003,Saathiya,Suhani Sharma,False,Rani Mukerji ‡ | Saathiya | Suhani Sharma,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2003,Filhaal...,Rewa Singh,False,Tabu | Filhaal... | Rewa Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2004,Bhoot,Swati,True,Urmila Matondkar ‡ | Bhoot | Swati,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
2004,Tere Naam,Nirjara Bharadwaj,False,Bhoomika Chawla ‡ | Tere Naam | Nirjara Bharadwaj,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Actress
