year,film,person,is_winner,raw_text,source_url
2020,Jay Oza,Gully Boy,False,2020 | Jay Oza | Gully Boy,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2019,Pankaj Kumar,Tumbbad,False,2019 | Pankaj Kumar | Tumbbad,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2018,Rangoon,,False,2018 | Rangoon,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2017,Aseem Bajaj,Shivaay,False,2017 | Aseem Bajaj | Shivaay,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2015,Sudeep Chatterjee,Bajirao Mastani,False,2015 | Sudeep Chatterjee | Bajirao Mastani,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2014,Ravi Varman,Goliyon Ki Raasleela Ram-Leela,False,2014 | Ravi Varman | Goliyon Ki Raasleela Ram-Leela,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2012,Carlos Catalan,Zindagi Na Milegi Dobara,False,2012 | Carlos Catalan | Zindagi Na Milegi Dobara,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2008,Sudeep Chatterjee,Chak De India,False,2008 | Sudeep Chatterjee | Chak De India,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2006,Ravi K. Chandran,Black,False,2006 | Ravi K. Chandran | Black,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2005,Santosh Sivan,Meenaxi: A Tale of Three Cities,False,2005 | Santosh Sivan | Meenaxi: A Tale of Three Cities,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2004,Nirav Shah,Dhoom,False,2004 | Nirav Shah | Dhoom,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2003,Binod Pradhan,Devdas,False,2003 | Binod Pradhan | Devdas,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
2002,Rajeev Jain,Badhaai Ho Badhaai,False,2002 | Rajeev Jain | Badhaai Ho Badhaai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Cinematography
