year,film,person,is_winner,raw_text,source_url
,Shreya Ghoshal,8,False,Most awards | Shreya Ghoshal | 8,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,22,,False,Most nominations | 22,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,3,,False,"Most awards in a decade | 3 (2000s, 2010s)",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,4,,False,Most nominations in a year | 4 (2020),https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,2,,False,Most consecutive awards | 2 (2011-2012),https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,11,,False,Most consecutive nominations | 11 (2006-2014),https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,8,"2004, 2006, 2008, 2011, 2012, 2014, 2020, 2026",False,"Shreya Ghoshal | 8 | 2004, 2006, 2008, 2011, 2012, 2014, 2020, 2026",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
,2,"1997, 2000",False,"Kavita Krishnamurthy | 2 | 1997, 2000",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1996,"1996, 2001",,False,"1996, 2001",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
2005,"2005, 2007",,False,"2005, 2007",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1995,1995,,True,1995,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1995,Mayi Ni Mayi,Hum Aapke Hain Koun..!,True,Lata Mangeshkar | Mayi Ni Mayi | Hum Aapke Hain Koun..!,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1996,1996,,True,1996,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1996,Dil Ne Dil Se,Haqeeqat,True,Alka Yagnik | Dil Ne Dil Se | Haqeeqat,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1997,1997,,True,1997,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1997,Aaj Main Upar,Khamoshi: The Musical,True,Kavita Krishnamurthy | Aaj Main Upar | Khamoshi: The Musical,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1998,1998,,True,1998,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1998,Paayale Chhun Mun,Virasat,True,K. S. Chithra | Paayale Chhun Mun | Virasat,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
1999,1999,,True,1999,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Female_Playback
