year,film,person,is_winner,raw_text,source_url
,Javed Akhtar,,False,5 | Javed Akhtar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
,Gulzar,,False,4 | Gulzar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
,"Anand Bakshi , Prasoon Joshi ,",,False,"3 | Anand Bakshi , Prasoon Joshi ,",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
,Amitabh Bhattacharya,,False,2 | Amitabh Bhattacharya,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
1995,1942: A Love Story – Ek Ladki Ko Dekha To,Javed Akhtar,False,1995 | 1942: A Love Story – Ek Ladki Ko Dekha To | Javed Akhtar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
1996,Kartavya – Dhadkta Pehla Dil Mera,Rani Malik,False,1996 | Kartavya – Dhadkta Pehla Dil Mera | Rani Malik,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
1997,Khamoshi: The Musical – Aaj Mein Upar,Majrooh Sultanpuri,False,1997 | Khamoshi: The Musical – Aaj Mein Upar | Majrooh Sultanpuri,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
1998,Border – Sandese Aate Hai,Javed Akhtar,False,1998 | Border – Sandese Aate Hai | Javed Akhtar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
1999,Zakhm – Gali Mein Chand Nikla,Anand Bakshi,False,1999 | Zakhm – Gali Mein Chand Nikla | Anand Bakshi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2000,Taal – Taal Se Taal,,False,2000 | Taal – Taal Se Taal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2001,Mohabbatein – Humko Humise Churaalo,,False,2001 | Mohabbatein – Humko Humise Churaalo,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2002,Dil Chahta Hai – Jaane Kyun,Javed Akhtar,False,2002 | Dil Chahta Hai – Jaane Kyun | Javed Akhtar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2003,Sur – Aa Bhi Ja,Nida Fazli,False,2003 | Sur – Aa Bhi Ja | Nida Fazli,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2004,L.O.C. Kargil – Ek Saathi Aur Bhi Tha,Javed Akhtar,False,2004 | L.O.C. Kargil – Ek Saathi Aur Bhi Tha | Javed Akhtar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
2005,Hum Tum – Hum Tum,Prasoon Joshi,False,2005 | Hum Tum – Hum Tum | Prasoon Joshi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Lyricist
