year,film,person,is_winner,raw_text,source_url
,A. R. Rahman,,False,5 | A. R. Rahman,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,Pritam,,False,4 | Pritam,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,Shankar–Ehsaan–Loy,,False,3 | Shankar–Ehsaan–Loy,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,"Nadeem-Shravan , Rajesh Roshan , Amaal Malik , Ankit Tiwari",,False,"2 | Nadeem-Shravan , Rajesh Roshan , Amaal Malik , Ankit Tiwari",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,"Anu Malik , A. R. Rahman , Pritam , Shankar–Ehsaan–Loy",,False,"5 | Anu Malik , A. R. Rahman , Pritam , Shankar–Ehsaan–Loy",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,Amit Trivedi,,False,4 | Amit Trivedi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,"Jatin–Lalit , Mithoon , Yo Yo Honey Singh",,False,"3 | Jatin–Lalit , Mithoon , Yo Yo Honey Singh",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
,"Rajesh Roshan , Sajid–Wajid , Ankit Tiwari",,False,"2 | Rajesh Roshan , Sajid–Wajid , Ankit Tiwari",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
1995,,R. D. Burman,True,1995 (1st) |  | R. D. Burman (posthumous) † | 1942: A Love Story | [ 1 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
1996,,Rajesh Roshan,True,1996 (2nd) |  | Rajesh Roshan † | Karan Arjun | [ 2 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
1997,,Nadeem–Shravan,True,1997 (3rd) | – | Nadeem–Shravan † | Raja Hindustani | [ 3 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
1998,Pardes,,True,1998 (4th) | Pardes | [ 4 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
1999,,Jatin–Lalit,True,1999 (5th) |  | Jatin–Lalit † | Kuch Kuch Hota Hai | [ 5 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2000,,A. R. Rahman,True,2000 (6th) |  | A. R. Rahman † | Taal | [ 6 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2001,,Rajesh Roshan,True,2001 (7th) |  | Rajesh Roshan † | Kaho Naa... Pyaar Hai | [ 7 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2001,Fiza,,False,Anu Malik ‡ | Fiza,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2001,Josh,,False,Josh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2001,Mohabbatein,,False,Jatin–Lalit ‡ | Mohabbatein,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2001,Dhadkan,,False,Nadeem–Shravan ‡ | Dhadkan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2002,,Shankar–Ehsaan–Loy,True,2002 (8th) |  | Shankar–Ehsaan–Loy ‡ | Dil Chahta Hai | [ 8 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2002,Lagaan,,False,A. R. Rahman † | Lagaan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2002,Mujhe Kucch Kehna Hai,,False,Anu Malik ‡ | Mujhe Kucch Kehna Hai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2002,Pyaar Tune Kya Kiya,,False,Sandeep Chowta | Pyaar Tune Kya Kiya,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2002,Gadar: Ek Prem Katha,,False,Uttam Singh ‡ | Gadar: Ek Prem Katha,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2003,,Ismail Darbar,True,2003 (9th) |  | Ismail Darbar ‡ | Devdas | [ 9 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2004,,Himesh Reshammiya,True,2004 (10th) |  | Himesh Reshammiya ‡ | Tere Naam | [ 10 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2004,Chalte Chalte,,False,"Jatin–Lalit , Aadesh Shrivastava ‡ | Chalte Chalte",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2004,Jism,,False,M. M. Keeravani | Jism,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2004,Koi... Mil Gaya,,False,Rajesh Roshan ‡ | Koi... Mil Gaya,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2004,Kal Ho Naa Ho,,False,Shankar–Ehsaan–Loy † | Kal Ho Naa Ho,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2005,,Anu Malik,True,2005 (11th) |  | Anu Malik † | Main Hoon Na | [ 11 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2005,Dil Maange More,,False,Himesh Reshammiya | Dil Maange More,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2005,Hum Tum,,False,Jatin–Lalit ‡ | Hum Tum,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2005,Dhoom,,False,Pritam ‡ | Dhoom,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2005,Mujhse Shaadi Karogi,,False,"Sajid–Wajid , Anu Malik | Mujhse Shaadi Karogi",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2006,,Shankar–Ehsaan–Loy,True,2006 (12th) |  | Shankar–Ehsaan–Loy † | Bunty Aur Babli | [ 12 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2007,,Vishal Bhardwaj,True,2007 (13th) |  | Vishal Bhardwaj ‡ | Omkara | [ 13 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2008,,A. R. Rahman,True,2008 (14th) |  | A. R. Rahman † | Guru | [ 14 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2009,Jaane Tu... Ya Jaane Na,,True,2009 (15th) | Jaane Tu... Ya Jaane Na | [ 15 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2009,Jodhaa Akbar,,False,A. R. Rahman ‡ | Jodhaa Akbar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2009,Jannat,,False,Pritam | Jannat,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
2009,Rock On!!,,False,Shankar–Ehsaan–Loy ‡ | Rock On!!,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Music_Director
