year,film,person,is_winner,raw_text,source_url
1995,Sooraj Barjatya,Hum Aapke Hain Koun..!,False,1995 | Sooraj Barjatya | Hum Aapke Hain Koun..! | [ 1 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
1996,"Rajesh Kaul, Praful Parikh",Haqeeqat,False,"1996 | Rajesh Kaul, Praful Parikh | Haqeeqat | [ 2 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
1997,Robin Bhatt,Raja Hindustani,False,1997 | Robin Bhatt | Raja Hindustani | [ 3 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
1998,J. P. Dutta,Border,False,1998 | J. P. Dutta | Border | [ 4 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
1999,"Saurabh Shukla , Anurag Kashyap",Satya,False,"1999 | Saurabh Shukla , Anurag Kashyap | Satya | [ 5 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2000,"Sanjay Leela Bhansali , Kenneth Philips",Hum Dil De Chuke Sanam,False,"2000 | Sanjay Leela Bhansali , Kenneth Philips | Hum Dil De Chuke Sanam | [ 6 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2001,"Honey Irani , Ravi Kapoor",Kaho Naa... Pyaar Hai,False,"2001 | Honey Irani , Ravi Kapoor | Kaho Naa... Pyaar Hai | [ 7 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2002,"Ashutosh Gowarikar , Kumar Dave, Sanjay Dayma",Lagaan,False,"2002 | Ashutosh Gowarikar , Kumar Dave, Sanjay Dayma | Lagaan | [ 8 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2003,Jaideep Sahni,Company,False,2003 | Jaideep Sahni | Company | [ 9 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2004,Karan Johar,Kal Ho Naa Ho,False,2004 | Karan Johar | Kal Ho Naa Ho | [ 10 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2005,Pooja Ladha Surti,Ek Hasina Thi,False,2005 | Pooja Ladha Surti | Ek Hasina Thi | [ 11 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2006,Sanjay Leela Bhansali,Black,False,2006 | Sanjay Leela Bhansali | Black | [ 12 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2007,"Rensil D'Silva , Rakeysh Omprakash Mehra",Rang De Basanti,False,"2007 | Rensil D'Silva , Rakeysh Omprakash Mehra | Rang De Basanti | [ 13 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2008,Anurag Basu,Life In A... Metro,False,2008 | Anurag Basu | Life In A... Metro | [ 14 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2009,Shiraz Ahmed,Race,False,2009 | Shiraz Ahmed | Race | [ 15 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2010,"Abhijat Joshi , Rajkumar Hirani , Vidhu Vinod Chopra",3 Idiots,False,"2010 | Abhijat Joshi , Rajkumar Hirani , Vidhu Vinod Chopra | 3 Idiots | [ 16 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2011,"Anjum Rajabali , Prakash Jha",Raajneeti,False,"2011 | Anjum Rajabali , Prakash Jha | Raajneeti | [ 17 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2012,Akshat Verma,Delhi Belly,False,2012 | Akshat Verma | Delhi Belly | [ 18 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2013,"Sanjay Chouhan, Tigmanshu Dhulia",Paan Singh Tomar,False,"2013 | Sanjay Chouhan, Tigmanshu Dhulia | Paan Singh Tomar | [ 19 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2014,"Hansal Mehta , Apurva Asrani",Shahid,False,"2014 | Hansal Mehta , Apurva Asrani | Shahid | [ 20 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2015,Sandeep A. Varma,Manjunath,False,2015 | Sandeep A. Varma | Manjunath | [ 21 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2016,Vishal Bhardwaj,Talvar,False,2016 | Vishal Bhardwaj | Talvar | [ 22 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2017,Saiwyn Quadras,Neerja,False,2017 | Saiwyn Quadras | Neerja | [ 23 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2018,"Sriram Raghavan , Pooja Ladha Surti, Hemanth Rao , Arijit Biswas, Yogesh Chandekar",Andhadhun,False,"2018 | Sriram Raghavan , Pooja Ladha Surti, Hemanth Rao , Arijit Biswas, Yogesh Chandekar | Andhadhun | [ 24 ]",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
2019,Anubhav Sinha & Gaurav Solanki,Article 15,False,2019 | Anubhav Sinha & Gaurav Solanki | Article 15 | [ 25 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Screenplay
